month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,171,63~365,中度污染,135,203,3.027,141,74,28
2014-01,179,58~378,中度污染,139,200,3.458,155,71,30
2014-02,184,52~487,中度污染,147,200,3.418,141,67,48
2014-03,165,63~298,中度污染,126,204,3.171,105,72,82
2014-04,134,82~215,轻度污染,93,180,2.377,69,63,128
2014-05,125,55~223,轻度污染,77,153,2.11,63,61,157
2014-06,113,61~198,轻度污染,74,129,1.877,44,49,148
2014-07,132,70~265,轻度污染,94,152,1.739,43,40,150
2014-08,93,52~218,良,63,112,1.561,36,40,127
2014-09,90,32~235,良,63,104,1.487,34,46,91
2014-10,141,49~281,轻度污染,106,175,2.071,43,64,66
2014-11,155,60~434,中度污染,118,191,2.407,66,83,44
2014-12,141,50~347,轻度污染,106,164,2.855,82,73,39
2015-01,141,55~361,轻度污染,106,171,2.774,85,75,41
2015-02,132,48~273,轻度污染,95,163,2.1,63,65,64
2015-03,135,56~318,轻度污染,94,186,2.242,62,65,93
2015-04,130,58~234,轻度污染,92,164,1.88,46,60,128
2015-05,124,64~200,轻度污染,84,144,1.452,37,51,155
2015-06,104,33~191,轻度污染,70,114,1.863,36,52,139
2015-07,102,54~172,轻度污染,69,108,2.161,39,48,148
2015-08,95,45~166,良,51,92,1.9,31,47,118
2015-09,82,37~130,良,40,80,1.873,38,55,107
2015-10,101,37~268,轻度污染,70,123,1.755,38,61,79
2015-11,140,45~332,轻度污染,104,152,2.457,48,70,35
2015-12,174,38~372,中度污染,136,188,3.055,61,74,29
2016-01,109,38~392,轻度污染,79,122,2.665,61,65,46
2016-02,87,39~220,良,59,95,1.862,44,48,73
2016-03,125,44~316,轻度污染,85,164,2.065,55,69,91
2016-04,108,42~226,轻度污染,61,152,2.003,49,57,118
2016-05,105,58~203,轻度污染,50,113,1.558,37,50,153
2016-06,127,54~201,轻度污染,70,119,1.957,39,49,173
2016-07,88,53~131,良,55,91,2.081,28,39,126
2016-08,71,34~130,良,34,59,2.077,30,44,101
2016-09,100,35~156,良,64,107,1.973,39,57,132
2016-10,103,44~234,轻度污染,73,122,2.119,43,64,67
2016-11,143,47~319,轻度污染,108,176,2.84,56,72,32
2016-12,189,63~488,中度污染,147,215,4.039,68,84,28
2017-01,153,48~348,中度污染,119,162,3.306,55,72,42
2017-02,129,45~342,轻度污染,96,143,2.554,54,67,72
2017-03,98,44~194,良,70,119,1.916,47,66,96
2017-04,104,60~208,轻度污染,66,141,1.57,44,60,111
2017-05,138,64~500,轻度污染,45,115,1.745,41,55,153
2017-06,132,55~210,轻度污染,49,97,1.897,40,52,193
2017-07,113,55~202,轻度污染,46,88,2.019,32,47,160
2017-08,94,52~193,良,36,72,1.832,31,47,139
2017-09,112,52~175,轻度污染,54,113,1.743,34,55,159
2017-10,101,51~271,轻度污染,70,122,1.926,28,62,68
2017-11,92,49~203,良,62,118,1.63,33,59,48
2017-12,109,46~322,轻度污染,75,127,2.026,38,63,25
2018-01,87,36~172,良,59,108,1.629,34,55,44
2018-02,97,0~193,良,68,111,1.886,36,48,66
2018-03,119,0~382,轻度污染,88,144,1.916,35,64,88
2018-04,87,0~210,良,48,107,1.417,34,52,122
2018-05,78,0~149,良,40,87,1.548,34,50,139
2018-06,121,67~199,轻度污染,48,90,1.55,26,45,178
2018-07,85,32~158,良,44,73,1.681,24,36,128
2018-08,87,33~176,良,32,63,1.445,27,40,132
2018-09,73,38~124,良,38,74,1.19,26,46,103
2018-10,84,41~182,良,54,103,1.429,30,57,75
2018-11,113,0~332,轻度污染,83,136,1.89,38,68,39
2018-12,90,0~200,良,61,117,1.532,32,56,37
2019-01,118,51~329,轻度污染,86,142,1.748,28,64,39
2019-02,101,44~242,轻度污染,72,119,1.639,26,49,63
2019-03,92,42~209,良,59,110,1.213,21,54,89
2019-04,89,49~173,良,51,113,1.217,23,44,112
2019-05,98,44~180,良,43,98,0.974,23,45,150
2019-06,115,57~206,轻度污染,47,92,1.64,33,44,171
2019-07,104,52~179,轻度污染,42,77,1.348,16,38,158
2019-08,70,29~189,良,26,54,1.052,14,37,113
2019-09,105,40~191,轻度污染,46,94,1.357,20,51,150
2019-10,91,42~200,良,52,103,1.31,16,60,69
2019-11,90,43~198,良,54,110,1.677,26,58,34
2019-12,97,40~234,良,66,112,1.665,23,58,29
2020-01,124,52~295,轻度污染,93,138,2.019,30,61,46
2020-02,97,37~244,良,68,100,1.69,20,38,62
2020-03,73,37~140,良,45,86,1.019,16,42,83
2020-04,81,44~203,良,40,90,0.997,19,44,122
2020-05,83,48~176,良,39,83,1.1,19,40,121
2020-06,119,59~203,轻度污染,41,91,1.203,23,41,172
2020-07,109,53~169,轻度污染,42,75,1.026,17,37,168
2020-08,90,42~167,良,36,63,1.094,14,35,137
2020-09,68,34~137,良,31,62,1.057,14,44,103
2020-10,89,34~165,良,54,104,0.932,15,58,78
2020-11,80,32~166,良,49,96,1.05,16,56,46
2020-12,77,30~166,良,49,90,1.132,17,55,40
2021-01,90,28~186,良,51,99,1.358,18,50,47
2021-02,106,38~228,轻度污染,71,116,1.504,18,49,68
2021-03,138,43~500,轻度污染,62,94,1.145,13,53,78
2021-04,76,43~130,良,39,76,0.81,12,43,106
2021-05,94,49~389,良,29,58,0.684,8,29,125
2021-06,87,50~202,良,31,61,0.827,8,28,140
2021-07,83,28~147,良,26,44,0.765,5,19,134
2021-08,83,48~158,良,25,52,0.835,5,26,138
2021-09,72,34~127,良,27,56,0.913,7,32,117
2021-10,75,27~209,良,46,80,0.874,8,46,68
2021-11,77,29~198,良,50,84,1.023,8,45,47
2021-12,70,29~125,良,43,79,0.929,9,45,40
2022-01,82,34~204,良,56,87,1.116,11,44,49
2022-02,65,36~179,良,41,67,0.782,8,35,74
2022-03,72,41~139,良,44,69,0.845,8,30,88
2022-04,78,31~130,良,36,65,0.673,9,27,124
2022-05,95,45~186,良,31,69,0.661,9,28,147
2022-06,90,38~208,良,29,57,0.917,8,21,146
2022-07,88,17~170,良,22,41,0.69,5,17,143
2022-08,76,34~138,良,21,41,0.674,4,20,127
2022-09,91,33~161,良,32,74,0.683,7,33,145
2022-10,67,29~175,良,40,72,0.677,7,44,77
2022-11,80,32~178,良,52,86,0.95,8,43,46
2022-12,73,27~474,良,35,84,0.723,8,40,47
2023-01,84,33~182,良,52,101,1.019,12,40,53
2023-02,89,38~211,良,60,94,0.921,10,48,63
2023-03,122,44~500,轻度污染,69,157,0.971,10,48,94
2023-04,112,45~495,轻度污染,43,143,0.63,8,29,103
2023-05,91,38~179,良,36,87,0.703,7,26,138
2023-06,116,52~204,轻度污染,28,59,0.83,7,20,177
2023-07,98,20~203,良,24,47,0.745,4,16,151
2023-08,77,35~139,良,25,49,0.79,5,20,130
2023-09,83,42~138,良,33,64,0.823,5,31,130
2023-10,74,27~165,良,44,83,0.748,6,39,88
2023-11,67,28~165,良,39,79,0.807,7,35,52
2023-12,85,19~237,良,56,98,1.016,9,45,21
2024-01,72,33~152,良,46,81,0.919,7,38,48
2024-02,86,37~198,良,58,95,1.028,9,27,70
2024-03,84,40~195,良,48,108,0.813,7,28,85
2024-04,77,34~133,良,39,94,0.777,7,27,109
2024-05,94,35~193,良,34,80,0.642,5,21,141
2024-06,126,55~188,轻度污染,34,72,0.86,6,16,183
2024-07,93,29~192,良,30,48,0.774,4,13,149
2024-08,76,29~127,良,25,42,0.823,3,14,130
2024-09,62,22~115,良,21,46,0.713,5,21,106
2024-10,70,30~139,良,45,76,0.771,7,40,87
2024-11,61,26~105,良,36,66,0.82,9,40,50
2024-12,57,31~103,良,32,61,0.69,9,42,52
2025-01,66,29~144,良,41,71,0.852,11,40,61
2025-02,67,37~205,良,40,70,0.732,10,32,76
2025-03,76,41~166,良,41,86,0.619,7,27,92
2025-04,63,47~75,良,29,66,0.633,9,27,111
