month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-05,65,42~82,良,0,81,0,11,18,0
2013-06,73,32~102,良,0,96,0,12,24,0
2013-07,56,28~99,良,0,65,0,6,19,0
2013-08,49,27~65,优,0,53,0,15,18,0
2013-09,67,47~107,良,0,80,0,14,28,0
2013-10,97,37~134,良,0,143,0,38,38,0
2013-11,84,55~140,良,0,115,0,48,51,0
2013-12,202,72~395,重度污染,137,201,1.142,89,68,45
2014-01,146,71~310,轻度污染,110,164,1.013,45,58,55
2014-02,113,56~252,轻度污染,83,116,0.593,35,34,72
2014-03,112,74~269,轻度污染,77,143,0.577,38,27,108
2014-04,106,59~188,轻度污染,70,132,0.747,40,28,125
2014-05,120,75~199,轻度污染,73,112,0.523,25,25,159
2014-06,109,65~238,轻度污染,64,80,0.707,19,17,130
2014-07,71,41~105,良,40,82,0.581,14,19,108
2014-08,73,49~104,良,48,92,0.69,18,23,100
2014-09,93,26~246,良,62,101,0.817,12,24,91
2014-10,119,49~225,轻度污染,84,120,0.868,22,47,111
2014-11,132,60~352,轻度污染,100,147,1.333,30,57,55
2014-12,108,62~186,轻度污染,77,124,1.074,52,56,44
2015-01,139,65~278,轻度污染,105,149,1.016,50,49,44
2015-02,114,52~207,轻度污染,85,124,1.011,42,35,79
2015-03,108,54~168,轻度污染,77,129,0.81,24,31,86
2015-04,106,55~193,轻度污染,75,122,0.71,20,27,119
2015-05,125,69~186,轻度污染,86,135,0.732,25,27,145
2015-06,96,40~153,良,61,108,0.657,17,26,136
2015-07,78,33~114,良,51,71,0.577,14,20,118
2015-08,75,49~119,良,43,70,0.616,15,19,122
2015-09,77,42~137,良,45,80,0.667,21,28,119
2015-10,88,53~149,良,57,108,0.852,33,51,96
2015-11,106,38~288,轻度污染,79,117,0.823,23,38,50
2015-12,180,80~500,中度污染,142,210,1.513,59,58,45
2016-01,175,68~388,中度污染,135,200,1.303,46,50,51
2016-02,148,42~288,轻度污染,110,174,1.128,41,33,83
2016-03,131,65~240,轻度污染,94,179,0.942,34,36,113
2016-04,122,68~216,轻度污染,85,165,0.86,35,33,124
2016-05,109,77~195,轻度污染,68,127,0.665,28,20,142
2016-06,98,58~147,良,54,98,0.673,17,22,146
2016-07,80,42~144,良,53,79,0.658,11,16,107
2016-08,78,49~122,良,43,72,0.745,12,19,119
2016-09,90,53~128,良,38,71,0.717,16,31,140
2016-10,68,49~112,良,41,76,0.665,12,35,70
2016-11,102,52~236,轻度污染,74,126,0.893,18,41,59
2016-12,155,59~416,中度污染,120,173,1.352,22,50,52
2017-01,117,0~231,轻度污染,87,136,1.197,17,43,43
2017-02,101,0~201,轻度污染,74,125,0.9,19,37,75
2017-03,76,0~145,良,50,99,0.619,20,40,90
2017-04,84,0~150,良,54,100,0.82,14,29,121
2017-05,83,0~150,良,37,81,0.603,11,27,153
2017-06,103,0~173,轻度污染,44,84,0.64,8,25,175
2017-07,81,38~165,良,43,77,0.687,6,16,118
2017-08,78,35~120,良,34,70,0.69,6,21,130
2017-09,86,44~142,良,39,79,0.727,8,31,136
2017-10,77,30~124,良,50,100,0.874,9,48,90
2017-11,64,0~162,良,44,80,0.897,16,55,69
2017-12,114,0~298,轻度污染,85,125,1.197,17,58,62
2018-01,146,0~338,轻度污染,111,159,1.268,12,44,51
2018-02,105,0~263,轻度污染,76,121,0.971,12,33,73
2018-03,84,0~150,良,59,88,0.877,10,34,104
2018-04,61,0~125,良,36,66,0.88,10,28,122
2018-05,71,0~166,良,37,72,0.787,9,23,130
2018-06,102,0~167,轻度污染,33,70,0.71,7,17,159
2018-07,61,28~110,良,26,57,0.668,6,13,105
2018-08,72,34~140,良,33,59,0.823,5,18,120
2018-09,75,30~113,良,32,71,0.777,8,29,124
2018-10,90,56~157,良,51,104,0.729,11,46,120
2018-11,103,0~303,轻度污染,79,97,0.947,8,41,70
2018-12,125,0~253,轻度污染,92,134,1.01,10,48,37
2019-01,144,64~290,轻度污染,107,141,1.129,12,46,52
2019-02,141,0~312,轻度污染,108,132,0.979,10,29,81
2019-03,85,55~132,良,55,100,0.639,9,33,106
2019-04,77,0~134,良,47,81,0.727,8,25,114
2019-05,87,45~126,良,35,90,0.616,8,25,138
2019-06,109,56~135,轻度污染,30,69,0.617,7,20,169
2019-07,90,50~148,良,25,52,0.61,8,16,147
2019-08,78,34~130,良,22,51,0.626,11,19,129
2019-09,94,40~137,良,34,73,0.637,13,28,147
2019-10,90,32~380,良,50,106,0.648,14,39,95
2019-11,102,43~230,轻度污染,69,118,0.813,15,42,72
2019-12,119,49~225,轻度污染,88,105,1,8,42,48
2020-01,167,53~330,中度污染,129,140,1.335,7,35,59
2020-02,79,32~155,良,56,70,0.862,5,18,75
2020-03,76,40~132,良,48,80,0.697,8,29,88
2020-04,80,56~126,良,41,79,0.617,10,30,121
2020-05,98,40~163,良,33,83,0.619,7,21,152
2020-06,97,36~159,良,30,72,0.73,5,16,152
2020-07,77,40~151,良,26,49,0.742,3,16,131
2020-08,65,26~124,良,23,44,0.742,3,14,113
2020-09,87,56~125,良,31,65,0.607,7,28,143
2020-10,83,49~135,良,55,94,0.639,10,45,83
2020-11,95,37~215,良,66,94,0.747,9,38,69
2020-12,128,40~272,轻度污染,95,111,0.855,9,43,54
2021-01,140,62~328,轻度污染,86,108,0.99,8,44,58
2021-02,80,42~139,良,53,78,0.718,6,20,86
2021-03,111,39~500,轻度污染,45,49,0.661,6,25,87
2021-04,79,38~345,良,37,49,0.55,6,22,108
2021-05,91,32~500,良,28,37,0.594,5,14,123
2021-06,115,37~187,轻度污染,26,61,0.55,6,16,175
2021-07,58,28~120,良,16,31,0.568,4,7,105
2021-08,67,24~107,良,20,37,0.668,6,10,118
2021-09,66,24~115,良,20,43,0.67,8,17,114
2021-10,82,19~202,良,52,78,0.758,11,35,101
2021-11,95,30~205,良,64,105,0.703,13,41,79
2021-12,102,34~248,轻度污染,72,103,0.884,13,40,57
2022-01,143,59~216,轻度污染,108,119,1.039,8,34,59
2022-02,76,46~119,良,54,82,0.707,8,20,86
2022-03,93,48~177,良,38,48,0.652,9,22,93
2022-04,79,55~101,良,39,64,0.523,10,18,126
2022-05,86,56~122,良,31,61,0.513,9,19,137
2022-06,114,42~181,轻度污染,24,62,0.573,7,16,174
2022-07,73,37~128,良,19,39,0.471,4,12,126
2022-08,69,30~95,良,19,39,0.439,4,10,120
2022-09,93,50~130,良,29,69,0.55,9,22,148
2022-10,70,18~129,良,43,66,0.539,7,28,108
2022-11,82,34~156,良,58,72,0.657,7,28,77
2022-12,117,49~288,轻度污染,83,114,0.597,8,36,63
2023-01,145,43~365,轻度污染,109,155,0.697,10,33,74
2023-02,91,43~244,良,66,85,0.479,8,27,83
2023-03,108,40~500,轻度污染,54,148,0.565,8,24,111
2023-04,113,39~500,轻度污染,42,137,0.517,8,15,117
2023-05,75,19~103,良,26,58,0.503,7,13,122
2023-06,108,32~166,轻度污染,22,53,0.487,7,16,165
2023-07,75,27~146,良,16,34,0.497,6,10,127
2023-08,82,48~131,良,23,42,0.584,5,13,138
2023-09,81,39~124,良,27,47,0.603,7,17,135
2023-10,90,48~163,良,63,88,0.542,9,35,116
2023-11,80,40~170,良,53,84,0.52,8,32,69
2023-12,101,40~251,轻度污染,73,95,0.697,7,32,29
2024-01,132,33~268,轻度污染,99,121,0.797,9,37,57
2024-02,116,33~488,轻度污染,89,111,0.693,12,18,89
2024-03,83,54~134,良,52,92,0.461,10,19,105
2024-04,81,29~120,良,37,79,0.45,8,18,130
2024-05,110,44~180,轻度污染,31,87,0.326,8,15,164
2024-06,124,76~173,轻度污染,27,70,0.387,8,13,185
2024-07,63,29~118,良,16,30,0.4,6,6,111
2024-08,78,40~120,良,20,42,0.513,6,9,132
2024-09,70,30~128,良,25,43,0.473,7,13,118
2024-10,94,36~147,良,65,82,0.581,6,26,120
2024-11,83,39~175,良,57,77,0.523,5,30,78
2024-12,97,42~195,良,71,97,0.794,7,41,60
2025-01,119,49~290,轻度污染,87,117,0.813,7,34,72
2025-02,90,50~155,良,63,86,0.461,4,23,86
2025-03,84,40~166,良,52,94,0.423,4,20,110
2025-04,79,57~94,良,43,95,0.411,5,17,130
