month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,63,63~63,良,23,75,2.2,7,18,75
2015-01,100,48~218,良,69,111,1.977,26,34,66
2015-02,88,57~145,良,61,103,1.254,22,26,92
2015-03,79,34~177,良,53,90,1.674,19,25,91
2015-04,75,35~164,良,35,83,2.24,23,22,108
2015-05,73,51~104,良,34,68,1.855,20,23,122
2015-06,70,34~140,良,33,62,1.107,17,22,115
2015-07,76,52~116,良,35,60,0.823,23,19,128
2015-08,69,41~135,良,27,50,1.213,19,17,117
2015-09,66,45~88,良,36,54,2.063,23,22,109
2015-10,73,42~142,良,38,64,2.526,19,29,91
2015-11,53,34~89,良,29,46,1.48,23,32,48
2015-12,114,52~219,轻度污染,76,129,1.8,25,40,64
2016-01,99,45~192,良,68,108,2.487,23,38,76
2016-02,90,58~195,良,48,105,2.814,21,23,96
2016-03,99,53~219,良,55,120,1.061,27,34,116
2016-04,77,33~103,良,35,70,1.08,19,25,126
2016-05,81,39~126,良,31,59,0.81,15,19,130
2016-06,76,48~106,良,24,44,0.627,19,19,131
2016-07,64,38~96,良,21,37,0.658,18,16,115
2016-08,62,28~102,良,22,44,0.865,23,17,112
2016-09,69,39~118,良,31,52,0.79,14,25,114
2016-10,49,25~107,优,23,46,0.784,17,24,64
2016-11,78,30~155,良,47,97,0.84,18,33,55
2016-12,87,51~165,良,61,94,1.139,21,39,63
2017-01,89,49~190,良,55,80,1.152,18,32,72
2017-02,73,38~127,良,49,79,1.136,20,31,88
2017-03,64,38~114,良,35,69,0.755,13,29,101
2017-04,69,33~211,良,25,53,0.827,14,27,107
2017-05,87,55~311,良,26,51,0.703,15,24,124
2017-06,77,41~107,良,29,48,0.85,18,23,130
2017-07,58,33~102,良,24,41,0.781,18,21,105
2017-08,60,30~94,良,25,43,0.829,11,22,106
2017-09,50,24~76,良,25,43,0.787,14,24,85
2017-10,42,18~68,优,23,40,0.787,16,26,58
2017-11,62,50~96,良,39,72,0.84,12,37,69
2017-12,84,53~278,良,48,89,0.881,18,40,39
2018-01,72,0~160,良,50,73,0.848,14,33,61
2018-02,62,0~158,良,40,64,0.768,12,23,85
2018-03,57,33~79,良,31,60,0.642,21,28,96
2018-04,54,0~90,良,24,56,0.557,15,23,99
2018-05,55,0~87,良,24,54,0.519,11,22,93
2018-06,62,31~96,良,25,46,0.557,15,20,111
2018-07,48,26~84,优,23,43,0.61,12,17,85
2018-08,59,31~90,良,25,48,0.568,11,17,108
2018-09,52,19~90,良,18,35,0.56,10,19,92
2018-10,60,40~85,良,28,55,0.526,11,29,96
2018-11,53,0~150,良,32,56,0.663,11,34,60
2018-12,63,0~134,良,42,71,0.755,19,36,48
2019-01,101,40~216,轻度污染,74,98,1.103,15,38,61
2019-02,80,40~132,良,56,82,0.986,15,23,72
2019-03,60,36~109,良,31,67,0.642,12,30,98
2019-04,64,30~118,良,25,58,0.713,17,23,108
2019-05,97,44~500,良,37,98,0.594,11,20,115
2019-06,74,29~113,良,21,39,0.57,13,18,127
2019-07,69,37~103,良,17,33,0.458,15,15,120
2019-08,64,33~97,良,18,35,0.529,13,14,113
2019-09,57,29~102,良,19,34,0.547,12,17,104
2019-10,42,20~103,优,19,40,0.606,11,20,63
2019-11,57,33~102,良,34,60,0.747,15,28,68
2019-12,63,40~103,良,42,57,0.706,11,34,59
2020-01,86,40~159,良,63,69,0.984,17,29,67
2020-02,64,36~132,良,38,59,0.679,10,12,87
2020-03,68,27~183,良,33,74,0.506,9,20,102
2020-04,65,32~96,良,26,53,0.463,11,26,113
2020-05,71,39~106,良,22,58,0.487,9,19,123
2020-06,60,33~103,良,20,46,0.613,9,19,105
2020-07,55,31~92,良,17,36,0.516,12,16,101
2020-08,48,28~77,优,15,31,0.513,8,16,90
2020-09,56,34~80,良,20,40,0.557,7,23,102
2020-10,50,27~96,优,23,53,0.503,6,27,64
2020-11,60,25~94,良,36,63,0.56,6,32,79
2020-12,66,42~129,良,44,66,0.606,10,35,58
2021-01,74,37~175,良,40,63,0.719,10,37,74
2021-02,61,28~139,良,39,59,0.554,8,22,86
2021-03,78,38~219,良,23,43,0.513,10,23,92
2021-04,60,28~119,良,16,27,0.483,8,23,100
2021-05,69,28~128,良,20,42,0.39,7,18,117
2021-06,71,27~112,良,17,34,0.417,7,16,121
2021-07,59,29~109,良,13,27,0.435,7,13,108
2021-08,52,19~87,良,15,30,0.497,7,13,94
2021-09,46,21~83,优,11,22,0.54,7,13,88
2021-10,39,16~59,优,17,32,0.552,7,17,70
