month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,222,222~222,重度污染,172,296,3,94,61,53
2015-01,173,86~286,中度污染,131,247,2.877,47,46,58
2015-02,164,87~328,中度污染,109,234,1.993,30,34,69
2015-03,265,95~496,重度污染,120,375,1.3,17,30,91
2015-04,187,51~500,中度污染,97,424,0.767,17,27,98
2015-05,154,59~500,中度污染,117,364,0.545,18,18,98
2015-06,135,52~402,轻度污染,55,194,0.46,15,16,118
2015-07,188,70~500,中度污染,96,276,0.577,12,30,121
2015-08,165,50~500,中度污染,84,250,0.571,11,22,98
2015-09,131,56~500,轻度污染,57,189,0.657,13,24,87
2015-10,245,87~500,重度污染,140,359,1.2,15,41,65
2015-11,214,122~282,重度污染,165,259,2.443,14,53,47
2015-12,223,95~308,重度污染,177,204,2.868,18,52,44
2016-01,211,156~293,重度污染,160,244,2.81,20,48,44
2016-02,320,120~500,严重污染,206,513,2.572,15,38,61
2016-03,330,88~500,严重污染,511,1457,2.019,16,37,71
2016-04,266,61~500,重度污染,165,597,1.407,13,23,99
2016-05,261,73~500,重度污染,226,793,0.477,14,21,109
2016-06,143,75~500,轻度污染,63,212,0.47,13,22,122
2016-07,124,65~365,轻度污染,46,178,0.477,14,22,131
2016-08,97,51~199,良,38,139,0.645,10,27,116
2016-09,102,59~189,轻度污染,46,153,0.73,9,35,100
2016-10,216,90~500,重度污染,106,331,1.29,13,49,77
2016-11,198,103~451,中度污染,130,277,2.317,17,55,58
2016-12,239,133~332,重度污染,189,301,3.345,14,59,37
2017-01,169,62~277,中度污染,133,175,2.439,10,52,53
2017-02,225,66~500,重度污染,70,117,1.975,10,42,51
2017-03,208,61~500,重度污染,10,17,0.9,7,35,68
2017-04,173,43~500,中度污染,15,35,0.823,8,45,83
2017-05,181,54~500,中度污染,14,39,0.819,11,59,96
2017-06,118,64~347,轻度污染,27,88,0.587,11,18,136
2017-07,109,58~500,轻度污染,24,84,0.539,10,16,147
2017-08,114,51~401,轻度污染,20,74,0.465,9,18,142
2017-09,147,70~500,轻度污染,21,71,0.613,9,24,134
2017-10,198,62~500,中度污染,42,93,0.877,10,27,105
2017-11,147,91~242,轻度污染,91,194,2.073,16,46,98
2017-12,196,67~409,中度污染,117,210,3.145,16,46,46
2018-01,152,0~355,中度污染,95,239,2.348,10,37,68
2018-02,104,0~189,轻度污染,65,169,1.864,9,24,87
2018-03,29,0~131,优,14,44,1.139,7,21,105
2018-04,23,0~126,优,9,29,0.673,7,21,104
2018-05,35,0~95,优,9,31,0.51,6,18,121
2018-06,66,0~101,良,14,51,0.443,7,20,137
2018-07,56,0~110,良,14,42,0.49,9,22,143
2018-08,64,0~119,良,23,71,0.497,9,22,123
2018-09,61,0~137,良,32,88,0.52,6,28,104
2018-10,55,0~146,良,32,86,0.881,8,44,91
2018-11,89,0~200,良,61,136,1.597,8,42,65
2018-12,127,0~250,轻度污染,83,210,2.152,11,46,68
2019-01,167,100~412,中度污染,114,237,2.6,11,47,63
2019-02,259,117~418,重度污染,133,376,2.154,12,48,80
2019-03,211,94~500,重度污染,128,357,1.119,11,40,100
2019-04,173,53~500,中度污染,91,283,0.6,8,29,110
2019-05,122,65~500,轻度污染,63,155,0.461,6,22,125
2019-06,79,59~149,良,22,67,0.397,6,21,131
2019-07,143,68~500,轻度污染,83,234,0.539,6,29,136
2019-08,89,48~178,良,46,119,0.51,6,25,112
2019-09,87,54~169,良,42,121,0.527,7,29,107
2019-10,165,56~500,中度污染,87,251,0.735,8,33,84
2019-11,197,77~500,中度污染,120,294,1.683,13,48,71
2019-12,176,94~238,中度污染,134,206,2.868,15,64,66
2020-01,138,72~234,轻度污染,105,133,2.368,11,46,72
2020-02,242,102~500,重度污染,102,319,2.055,14,30,94
2020-03,307,63~500,严重污染,165,578,0.994,11,25,90
2020-04,223,44~500,重度污染,122,374,0.597,8,25,93
2020-05,131,56~500,轻度污染,55,174,0.442,6,22,110
2020-06,116,46~500,轻度污染,62,186,0.417,6,18,121
2020-07,89,56~355,良,30,105,0.368,6,23,122
2020-08,64,0~170,良,48,113,0.232,7,9,102
2020-09,163,49~500,中度污染,85,271,0.583,6,31,93
2020-10,144,54~481,轻度污染,81,220,0.968,8,35,84
2020-11,92,65~130,良,68,106,1.787,9,34,83
2020-12,96,43~173,良,71,97,1.474,5,36,58
2021-01,144,83~399,轻度污染,89,139,2.387,8,50,66
2021-02,184,73~500,中度污染,44,70,1.832,10,43,81
2021-03,226,59~500,重度污染,18,45,0.997,7,32,80
2021-04,128,44~500,轻度污染,20,52,0.753,6,24,104
2021-05,162,63~500,中度污染,17,49,0.426,5,19,111
2021-06,74,46~98,良,18,61,0.31,5,14,127
2021-07,85,60~131,良,28,77,0.542,6,20,140
2021-08,101,60~263,轻度污染,30,76,0.49,5,21,126
2021-09,124,51~212,轻度污染,19,57,0.66,6,36,107
2021-10,208,63~500,重度污染,25,55,0.981,6,36,78
2021-11,283,103~500,重度污染,148,441,2.09,8,55,62
2021-12,160,113~207,中度污染,120,211,2.713,10,69,66
2022-01,157,92~233,中度污染,119,182,2.684,11,67,72
2022-02,201,69~500,重度污染,96,298,1.561,10,42,81
2022-03,204,64~500,重度污染,101,409,0.903,7,39,95
2022-04,170,64~500,中度污染,82,261,0.61,8,30,111
2022-05,87,52~149,良,40,113,0.552,8,23,117
2022-06,77,54~106,良,22,74,0.567,8,23,129
2022-07,198,79~500,中度污染,95,321,0.726,9,28,135
2022-08,72,48~142,良,21,75,0.458,5,16,110
2022-09,131,57~500,轻度污染,51,183,0.453,5,29,106
2022-10,141,43~500,轻度污染,65,211,0.739,4,24,88
2022-11,125,47~500,轻度污染,65,209,1.403,5,28,78
2022-12,286,139~500,重度污染,140,435,2.213,7,51,58
2023-01,192,72~480,中度污染,107,281,2.152,9,55,74
2023-02,124,82~165,轻度污染,69,194,1.671,8,43,80
2023-03,214,77~500,重度污染,93,372,0.706,6,34,98
2023-04,221,69~500,重度污染,151,519,0.437,6,24,101
2023-05,140,59~500,轻度污染,49,201,0.397,5,19,120
2023-06,95,65~223,良,32,107,0.433,5,20,136
2023-07,104,75~359,轻度污染,32,115,0.406,3,19,141
2023-08,113,56~500,轻度污染,42,140,0.445,4,24,122
2023-09,99,55~319,良,44,141,0.53,4,32,109
2023-10,93,52~121,良,42,134,0.745,4,38,90
2023-11,148,58~313,轻度污染,85,237,1.873,7,55,79
2023-12,294,115~500,重度污染,164,625,2.223,7,55,39
2024-01,150,92~188,中度污染,89,249,2.51,7,56,69
2024-02,288,59~500,重度污染,165,605,1.414,4,31,73
2024-03,186,59~498,中度污染,59,270,0.813,3,30,97
2024-04,187,43~500,中度污染,72,263,0.46,4,22,107
2024-05,132,60~500,轻度污染,56,208,0.371,4,25,116
2024-06,81,62~117,良,16,86,0.257,4,16,131
2024-07,91,68~134,良,20,94,0.332,3,19,138
2024-08,88,55~163,良,28,117,0.497,4,21,111
2024-09,123,64~299,轻度污染,42,186,0.517,4,26,98
2024-10,106,66~135,轻度污染,39,162,0.835,4,42,89
2024-11,102,41~138,轻度污染,46,154,1.393,4,48,74
2024-12,89,56~140,良,60,119,1.577,3,46,61
2025-01,148,91~500,轻度污染,90,214,2.568,6,59,69
2025-02,221,72~500,重度污染,80,329,1.596,8,42,80
2025-03,246,58~500,重度污染,137,500,0.942,5,35,86
2025-04,278,74~500,重度污染,97,362,0.656,4,33,104
