month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,181,35~412,中度污染,144,197,1.877,68,87,56
2014-01,122,43~252,轻度污染,92,128,1.629,39,64,71
2014-02,79,32~258,良,57,70,1.061,22,39,83
2014-03,83,45~145,良,59,86,1.045,32,50,112
2014-04,74,36~137,良,48,69,0.68,22,43,109
2014-05,104,43~204,轻度污染,64,108,0.797,24,43,151
2014-06,96,42~203,良,46,67,0.703,16,32,151
2014-07,91,40~179,良,44,65,0.706,13,28,143
2014-08,85,41~127,良,43,58,0.729,17,32,130
2014-09,82,25~164,良,37,54,0.79,17,25,133
2014-10,87,43~169,良,48,74,0.716,25,41,132
2014-11,87,43~196,良,64,89,0.903,32,55,78
2014-12,99,56~155,良,73,113,1,51,71,50
2015-01,116,39~213,轻度污染,87,123,1.032,42,66,56
2015-02,85,31~184,良,62,88,0.843,21,45,82
2015-03,76,42~156,良,50,73,0.755,21,48,102
2015-04,96,45~169,良,51,81,0.853,24,48,140
2015-05,90,50~147,良,43,66,0.626,15,35,141
2015-06,77,41~145,良,39,59,0.637,10,31,125
2015-07,75,20~145,良,34,51,0.555,13,23,125
2015-08,90,30~191,良,40,59,0.632,14,23,142
2015-09,98,36~164,良,39,57,0.58,17,33,155
2015-10,90,53~157,良,48,77,0.703,20,46,138
2015-11,81,39~134,良,55,73,0.903,20,56,59
2015-12,116,55~255,轻度污染,85,114,1.058,32,64,53
2016-01,99,48~199,良,71,97,1.003,24,54,58
2016-02,83,43~172,良,59,87,0.855,19,35,93
2016-03,81,38~143,良,56,87,0.755,19,43,108
2016-04,82,43~155,良,41,65,0.88,14,36,131
2016-05,88,45~142,良,44,70,0.813,12,31,136
2016-06,80,38~178,良,34,54,0.71,10,29,130
2016-07,93,29~189,良,34,56,0.716,7,20,146
2016-08,80,29~153,良,24,43,0.574,10,19,131
2016-09,75,23~148,良,33,52,0.63,11,24,121
2016-10,53,27~75,良,30,53,0.794,12,35,69
2016-11,76,35~145,良,47,80,0.973,16,56,64
2016-12,89,47~148,良,59,97,1.087,18,65,59
2017-01,72,38~130,良,47,71,1.01,11,43,65
2017-02,78,36~129,良,55,78,0.971,13,41,98
2017-03,74,43~148,良,49,76,0.832,14,42,113
2017-04,102,56~182,轻度污染,46,79,0.85,11,40,155
2017-05,102,36~196,轻度污染,36,67,0.9,9,31,157
2017-06,78,36~186,良,30,47,0.93,6,25,128
2017-07,103,32~202,轻度污染,31,54,0.668,8,24,161
2017-08,86,34~170,良,27,47,0.884,7,22,141
2017-09,74,33~172,良,28,48,0.947,8,30,120
2017-10,60,36~139,良,28,50,0.858,11,33,97
2017-11,74,36~122,良,47,77,1.033,14,54,73
2017-12,111,52~286,轻度污染,74,108,1.206,17,64,36
2018-01,98,31~269,良,71,91,0.971,13,47,52
2018-02,83,41~210,良,59,83,0.904,11,33,83
2018-03,71,38~117,良,45,67,0.848,9,37,102
2018-04,91,44~183,良,42,83,0.92,11,35,135
2018-05,82,32~134,良,35,58,1.01,9,24,132
2018-06,80,31~141,良,27,40,0.753,9,20,134
2018-07,63,20~159,良,21,35,0.681,5,16,109
2018-08,65,23~159,良,18,28,0.716,4,16,111
2018-09,69,28~152,良,25,41,0.753,5,29,114
2018-10,65,42~112,良,29,53,0.69,7,38,106
2018-11,59,33~105,良,35,59,0.813,6,46,65
2018-12,73,27~130,良,45,76,0.865,8,50,39
2019-01,84,42~165,良,57,90,0.981,8,51,46
2019-02,66,33~149,良,46,63,0.829,6,28,70
2019-03,71,42~107,良,44,73,0.797,8,35,102
2019-04,68,33~130,良,36,55,0.67,8,31,108
2019-05,87,38~160,良,32,55,0.623,8,26,141
2019-06,86,26~182,良,26,34,0.61,5,20,139
2019-07,76,29~138,良,24,32,0.532,3,21,128
2019-08,73,17~146,良,23,32,0.623,4,19,119
2019-09,80,25~163,良,25,39,0.713,6,28,128
2019-10,67,26~138,良,33,61,0.748,8,36,98
2019-11,63,27~101,良,31,68,0.627,8,43,75
2019-12,77,34~147,良,49,73,0.861,9,56,51
2020-01,71,32~169,良,47,57,0.945,8,34,62
2020-02,50,23~75,优,28,40,0.652,7,18,90
2020-03,53,35~92,良,24,43,0.668,7,32,92
2020-04,82,43~130,良,31,58,0.613,8,37,136
2020-05,86,40~160,良,31,53,0.687,7,28,141
2020-06,63,30~142,良,20,30,0.587,4,23,109
2020-07,63,29~149,良,20,31,0.558,4,24,106
2020-08,71,26~127,良,20,34,0.474,6,20,123
2020-09,87,43~195,良,23,38,0.617,6,35,135
2020-10,61,35~101,良,19,41,0.59,7,37,105
2020-11,57,40~85,良,24,49,0.737,7,43,76
2020-12,80,38~143,良,47,78,0.858,9,58,51
2021-01,76,54~130,良,44,88,0.823,10,52,60
2021-02,53,28~88,良,31,54,0.643,7,28,83
2021-03,64,39~125,良,28,56,0.716,8,41,86
2021-04,65,40~105,良,23,51,0.66,8,36,100
2021-05,79,39~140,良,22,42,0.7,7,28,131
2021-06,71,34~152,良,19,31,0.603,7,24,123
2021-07,62,17~122,良,16,27,0.51,5,17,107
2021-08,71,24~127,良,18,29,0.597,5,20,120
2021-09,82,16~168,良,20,34,0.693,7,23,134
2021-10,58,28~117,良,19,36,0.655,7,33,96
2021-11,63,35~103,良,29,57,0.707,9,46,82
2021-12,76,28~129,良,45,76,0.755,10,58,63
2022-01,73,32~142,良,48,71,0.594,9,43,65
2022-02,55,31~129,良,35,51,0.579,9,30,78
2022-03,60,32~114,良,27,51,0.6,10,33,100
2022-04,78,29~131,良,25,47,0.587,9,25,130
2022-05,81,33~158,良,21,35,0.465,8,23,134
2022-06,85,33~160,良,19,32,0.513,6,20,139
