month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,56,56~56,良,31,63,1,56,17,39
2015-01,109,52~212,轻度污染,81,120,1.442,61,50,44
2015-02,104,42~246,轻度污染,72,114,1.375,49,39,72
2015-03,89,45~188,良,57,115,1.155,35,34,95
2015-04,96,46~143,良,57,116,1.033,16,29,119
2015-05,94,41~197,良,36,109,0.777,14,26,130
2015-06,80,47~125,良,36,74,0.803,8,38,131
2015-07,84,32~128,良,38,88,0.694,9,26,137
2015-08,70,28~146,良,30,51,0.603,10,19,119
2015-09,64,35~118,良,33,62,0.793,11,32,100
2015-10,110,27~301,轻度污染,79,100,0.974,18,35,73
2015-11,151,59~500,中度污染,124,138,1.777,36,49,44
2015-12,129,49~323,轻度污染,100,117,1.303,56,50,31
2016-01,90,48~189,良,66,86,1.081,50,41,42
2016-02,69,34~133,良,45,66,0.797,37,32,64
2016-03,96,33~209,良,61,120,1.126,28,34,76
2016-04,76,46~178,良,39,98,0.827,12,28,95
2016-05,76,45~131,良,36,73,0.652,11,24,124
2016-06,77,35~150,良,32,59,0.79,10,25,130
2016-07,69,24~115,良,32,53,0.823,11,23,116
2016-08,55,13~87,良,27,51,0.787,7,25,97
2016-09,53,23~83,良,29,51,0.843,9,28,86
2016-10,69,28~147,良,46,74,0.939,12,37,65
2016-11,84,35~259,良,61,85,1.003,26,35,54
2016-12,97,38~190,良,70,103,1.261,47,44,47
2017-01,98,38~267,良,69,104,1.435,52,39,57
2017-02,73,41~161,良,50,78,1.264,42,32,70
2017-03,89,33~194,良,65,108,1.255,40,38,90
2017-04,77,40~158,良,42,90,1.16,19,28,96
2017-05,92,34~500,良,24,67,0.684,13,22,119
2017-06,81,42~159,良,30,58,0.687,15,29,131
2017-07,86,45~142,良,33,54,0.752,9,22,142
2017-08,56,29~104,良,23,43,0.665,9,19,99
2017-09,60,34~100,良,27,52,0.777,17,36,102
2017-10,85,41~192,良,57,94,1.229,27,49,87
2017-11,86,41~175,良,59,96,1.073,25,37,58
2017-12,93,39~247,良,69,100,1.326,42,49,28
2018-01,91,52~180,良,66,89,1.1,36,44,52
2018-02,83,45~158,良,57,88,1.046,28,30,66
2018-03,88,0~189,良,63,94,0.945,22,29,97
