month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,123,123~123,轻度污染,82,196,1.4,73,51,47
2015-01,78,54~144,良,51,94,1.223,31,29,49
2015-02,94,48~206,良,59,108,1.186,21,19,53
2015-03,84,35~155,良,53,108,1.068,18,22,60
2015-04,98,43~445,良,50,129,0.653,9,21,73
2015-05,72,38~143,良,36,94,0.584,8,21,83
2015-06,67,34~140,良,28,82,0.543,6,17,89
2015-07,78,52~137,良,28,71,0.51,7,19,127
2015-08,71,47~144,良,25,67,0.584,8,23,117
2015-09,55,29~94,良,21,55,0.457,5,19,90
2015-10,71,21~168,良,35,92,0.719,10,29,70
2015-11,64,25~91,良,37,76,1.03,15,27,46
2015-12,66,33~150,良,37,73,1.123,21,35,53
2016-01,76,34~125,良,47,94,1.106,26,32,50
2016-02,119,43~406,轻度污染,47,168,0.883,15,22,58
2016-03,93,35~191,良,43,134,0.839,13,26,69
2016-04,76,52~153,良,28,101,0.58,10,25,67
2016-05,76,23~166,良,28,94,0.587,7,20,69
2016-06,78,58~121,良,20,64,0.49,6,25,130
2016-07,76,47~100,良,19,53,0.481,5,24,130
2016-08,61,39~102,良,24,48,0.694,6,19,109
2016-09,57,44~72,良,21,51,0.633,6,29,101
2016-10,61,29~149,良,30,70,0.732,6,24,76
2016-11,102,52~500,轻度污染,49,147,1.4,18,36,65
2016-12,83,57~202,良,51,101,1.435,18,36,55
2017-01,87,34~500,良,39,82,1.223,17,29,49
2017-02,79,44~151,良,35,56,1.221,14,29,71
2017-03,72,44~149,良,25,44,1.045,9,28,95
2017-04,77,42~183,良,22,69,0.83,8,30,114
2017-05,109,65~491,轻度污染,25,71,1.081,9,29,132
2017-06,85,57~123,良,23,67,0.763,8,25,142
2017-07,81,56~112,良,27,75,0.613,7,22,137
2017-08,61,29~91,良,22,53,0.755,6,24,108
2017-09,64,49~91,良,31,78,0.81,6,31,90
2017-10,54,23~90,良,21,51,0.881,7,27,64
2017-11,76,59~107,良,38,97,1.053,15,40,73
2017-12,106,42~646,轻度污染,32,61,1.297,16,37,50
2018-01,62,0~134,良,36,66,0.894,12,28,77
2018-02,57,0~83,良,29,64,0.8,11,22,91
2018-03,39,0~89,优,17,40,0.7,8,27,109
2018-04,51,0~92,良,21,59,0.62,7,25,106
2018-05,51,0~94,良,15,43,0.555,6,20,121
2018-06,70,0~94,良,17,44,0.597,6,20,127
2018-07,52,0~77,良,15,36,0.626,5,14,101
2018-08,54,39~72,良,16,42,0.729,7,17,100
2018-09,50,23~68,良,16,47,0.71,5,24,89
2018-10,51,0~76,良,22,55,0.761,8,32,83
2018-11,49,0~94,优,24,58,0.91,9,31,73
2018-12,59,0~121,良,28,71,0.942,12,28,65
2019-01,69,42~107,良,40,81,1.248,16,34,72
2019-02,74,50~119,良,39,91,0.961,11,22,87
2019-03,78,56~145,良,33,102,0.913,11,35,102
2019-04,82,50~161,良,23,104,0.79,10,30,118
2019-05,113,45~500,轻度污染,33,150,0.719,9,26,112
2019-06,67,41~82,良,16,53,0.593,7,22,118
2019-07,68,45~103,良,15,44,0.694,8,23,119
2019-08,59,37~79,良,14,36,0.719,9,25,108
2019-09,50,33~64,优,16,31,0.657,9,25,96
2019-10,50,29~94,良,21,49,0.697,8,29,78
2019-11,54,29~131,良,28,56,0.833,10,31,66
2019-12,56,35~112,良,34,56,1.055,13,36,67
2020-01,68,39~107,良,48,55,1.116,12,29,78
2020-02,60,39~110,良,29,62,0.834,10,19,87
2020-03,72,30~292,良,28,88,0.655,7,26,94
2020-04,71,44~97,良,21,60,0.613,7,30,119
2020-05,72,47~180,良,21,72,0.513,7,20,115
2020-06,66,45~85,良,17,42,0.627,8,21,117
2020-07,55,31~85,良,13,30,0.594,6,18,103
2020-08,46,24~74,优,12,25,0.616,6,17,89
2020-09,43,30~62,优,14,30,0.587,7,21,82
2020-10,48,25~96,优,21,50,0.597,8,24,78
2020-11,68,36~128,良,43,59,0.793,10,32,80
2020-12,58,37~92,良,35,57,1.155,13,35,68
2021-01,65,42~129,良,27,61,0.832,9,28,75
2021-02,59,39~126,良,23,51,0.95,7,21,86
2021-03,128,38~500,轻度污染,19,43,0.619,5,26,89
2021-04,72,34~183,良,15,30,0.51,5,18,96
2021-05,74,44~145,良,17,47,0.358,4,17,115
2021-06,74,44~161,良,16,41,0.343,4,17,124
2021-07,73,34~105,良,11,27,0.358,3,16,126
2021-08,70,36~114,良,12,29,0.487,4,16,122
2021-09,57,34~82,良,12,27,0.507,5,18,103
2021-10,46,19~79,优,19,40,0.6,4,20,79
2021-11,56,36~143,良,24,63,0.73,6,25,80
2021-12,49,33~67,优,28,49,0.732,6,27,74
2022-01,72,42~144,良,49,60,0.894,6,27,77
2022-02,57,42~84,良,32,54,0.668,5,19,93
2022-03,83,48~144,良,34,116,0.542,6,20,97
2022-04,77,38~174,良,31,95,0.42,5,16,105
2022-05,75,39~196,良,21,53,0.377,5,15,121
2022-06,72,42~95,良,14,36,0.36,5,14,125
2022-07,66,34~105,良,14,33,0.487,6,13,117
2022-08,52,37~66,良,15,34,0.516,7,13,98
2022-09,53,37~77,良,16,36,0.457,6,16,99
2022-10,53,20~95,良,26,54,0.552,7,17,85
2022-11,62,23~112,良,29,72,0.677,6,22,67
2022-12,82,49~185,良,37,114,0.774,6,25,72
2023-01,101,55~491,轻度污染,44,137,0.713,7,22,80
2023-02,67,43~103,良,39,76,0.764,6,23,85
2023-03,90,32~500,良,35,118,0.577,6,19,93
2023-04,113,34~500,轻度污染,51,178,0.443,7,14,101
2023-05,66,39~145,良,23,63,0.335,6,14,109
2023-06,78,55~101,良,16,42,0.36,6,13,132
2023-07,71,46~103,良,14,33,0.403,6,13,123
2023-08,68,35~143,良,15,34,0.419,6,13,116
2023-09,54,34~77,良,15,30,0.43,6,14,101
2023-10,46,27~56,优,16,31,0.516,5,22,88
2023-11,63,39~157,良,27,77,0.543,6,24,77
2023-12,65,32~153,良,29,80,0.671,5,25,42
2024-01,60,32~124,良,33,67,0.765,7,26,76
2024-02,94,43~500,良,49,114,0.69,6,17,78
