month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,74,74~74,良,43,50,1.9,14,31,129
2015-01,66,47~88,良,33,46,2,21,31,118
2015-02,52,31~81,良,24,45,1.861,19,26,86
2015-03,43,27~75,优,20,31,1.181,17,14,81
2015-04,51,31~76,良,24,49,1.317,14,13,86
2015-05,47,36~67,优,16,31,0.968,13,12,92
2015-06,45,34~81,优,17,37,0.767,7,8,86
2015-07,49,30~94,优,19,45,1.187,11,8,88
2015-08,50,38~80,良,18,41,0.977,5,9,88
2015-09,46,29~67,优,16,32,0.843,6,13,88
2015-10,56,42~73,良,24,42,1.135,7,17,103
2015-11,52,41~70,良,25,40,1.1,6,19,93
2015-12,52,42~67,良,26,39,1.413,6,18,91
2016-01,53,35~120,良,27,53,1.197,7,18,82
2016-02,50,35~68,优,19,36,1.238,8,17,89
2016-03,50,31~93,良,15,30,1.345,8,13,91
2016-04,52,34~78,良,12,27,0.88,6,12,100
2016-05,59,42~92,良,16,38,0.758,5,10,108
2016-06,54,42~83,良,17,36,0.81,9,8,100
2016-07,47,32~63,优,18,30,1.145,10,8,92
2016-08,47,36~62,优,20,42,0.897,8,13,87
2016-09,56,32~84,良,20,53,0.95,7,11,97
2016-10,43,30~75,优,16,40,1.2,6,16,75
2016-11,58,41~88,良,22,45,1.467,7,17,102
2016-12,59,45~85,良,19,38,1.606,8,16,107
2017-01,65,48~79,良,26,47,1.774,7,17,116
2017-02,53,35~72,良,22,46,1.454,7,14,95
2017-03,47,35~69,优,17,44,1.081,9,10,81
2017-04,51,34~81,良,11,34,1.027,7,9,96
2017-05,56,36~90,良,11,32,0.858,6,8,105
2017-06,54,29~80,良,11,37,1.037,8,10,98
2017-07,57,40~84,良,12,44,1.11,7,11,107
2017-08,53,38~86,良,11,40,1.113,4,17,99
2017-09,57,27~85,良,12,41,0.97,4,23,101
2017-10,60,44~90,良,17,49,1.1,5,22,107
2017-11,48,22~95,优,21,44,1.127,5,20,72
2017-12,54,28~128,良,25,46,1.526,5,16,43
2018-01,47,0~74,优,28,44,1.339,6,17,73
2018-02,52,0~75,良,21,42,1.493,5,14,97
2018-03,45,0~69,优,11,25,1.077,4,24,86
2018-04,61,0~90,良,10,31,0.997,4,17,110
2018-05,54,0~100,良,8,31,0.777,4,16,93
2018-06,43,0~82,优,6,23,0.613,5,10,82
2018-07,44,26~66,优,7,24,0.971,3,9,85
2018-08,53,0~81,良,6,29,0.816,4,8,100
2018-09,60,0~77,良,6,26,0.637,4,9,110
