month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,45,45~45,优,15,45,0.7,38,25,51
2015-01,55,25~152,良,30,60,0.784,45,27,48
2015-02,53,31~84,良,29,56,0.825,52,17,62
2015-03,48,34~100,优,24,46,0.613,41,13,83
2015-04,55,35~194,良,21,52,0.5,29,15,92
2015-05,42,24~83,优,10,31,0.545,25,20,82
2015-06,41,28~56,优,14,41,0.773,14,11,66
2015-07,55,27~128,良,22,57,0.61,15,12,70
2015-08,47,32~69,优,13,48,0.71,15,13,59
2015-09,42,26~65,优,13,42,0.837,18,12,43
2015-10,58,25~225,良,30,62,0.887,23,22,47
2015-11,93,32~239,良,61,89,1.207,27,21,39
2015-12,56,27~139,良,28,63,1.032,35,16,33
2016-01,44,24~72,优,21,47,0.568,28,13,43
2016-02,51,28~147,良,32,50,0.755,32,17,54
2016-03,49,32~159,优,28,43,0.61,24,13,70
2016-04,40,33~52,优,15,30,0.813,21,11,74
2016-05,52,35~114,良,26,48,1.116,20,11,82
2016-06,42,32~65,优,10,28,1.223,29,17,70
2016-07,52,35~104,良,13,43,1.674,25,18,84
2016-08,51,29~127,良,9,46,1.4,24,17,56
2016-09,44,28~103,优,18,40,1.303,25,20,59
2016-10,38,30~55,优,16,33,1.026,31,24,69
2016-11,48,31~70,优,27,46,0.807,36,28,49
2016-12,53,30~79,良,34,50,0.855,39,29,47
2017-01,51,26~115,良,33,48,0.987,31,23,54
2017-02,42,34~62,优,22,38,0.882,24,18,74
2017-03,39,31~48,优,15,30,0.726,29,17,77
2017-04,39,29~47,优,11,26,0.92,32,17,76
2017-05,45,26~228,优,8,21,0.658,32,13,78
2017-06,36,26~47,优,12,23,0.71,23,13,70
2017-07,35,21~88,优,13,22,0.606,18,13,68
2017-08,36,18~147,优,14,23,0.677,21,14,60
2017-09,32,20~49,优,10,23,0.723,18,14,64
2017-10,49,30~277,优,26,41,0.726,31,23,66
2017-11,42,27~55,优,23,39,0.74,29,25,49
2017-12,47,20~79,优,34,48,0.703,33,28,33
2018-01,54,0~140,良,35,55,0.71,27,23,58
2018-02,58,34~98,良,39,58,0.614,27,27,68
2018-03,49,0~92,优,23,43,0.481,19,21,83
2018-04,53,44~103,良,14,33,0.423,13,15,100
2018-05,49,32~71,优,12,25,0.377,10,12,95
2018-06,37,21~74,优,9,20,0.427,12,11,71
2018-07,33,17~70,优,9,16,0.435,4,6,64
2018-08,27,17~36,优,9,16,0.313,4,7,54
2018-09,37,17~84,优,13,20,0.277,5,10,72
2018-10,38,23~75,优,16,33,0.406,16,13,61
2018-11,38,26~61,优,19,36,0.42,21,14,52
2018-12,40,25~70,优,24,36,0.381,26,15,50
2019-01,46,25~64,优,28,48,0.506,25,18,54
2019-02,52,37~180,良,31,46,0.475,28,16,75
2019-03,49,41~65,优,22,39,0.435,23,16,92
2019-04,52,46~70,良,18,34,0.43,25,15,101
2019-05,47,30~66,优,12,26,0.39,10,9,90
2019-06,36,14~49,优,12,21,0.37,8,10,70
2019-07,36,15~50,优,13,24,0.39,8,9,69
2019-08,34,18~64,优,19,28,0.442,5,7,53
2019-09,32,20~65,优,16,27,0.4,8,12,59
2019-10,34,20~67,优,19,30,0.406,21,15,57
2019-11,35,26~73,优,21,31,0.313,27,17,50
2019-12,46,25~87,优,29,40,0.713,38,21,39
2020-01,50,28~106,优,33,40,0.713,37,21,53
2020-02,44,28~114,优,27,30,0.621,22,13,70
2020-03,46,34~80,优,23,30,0.616,18,12,88
2020-04,49,30~61,优,19,29,0.5,19,10,94
2020-05,46,33~97,优,14,23,0.513,10,7,90
2020-06,37,21~62,优,10,14,0.38,6,8,73
2020-07,60,38~102,良,11,28,0.474,6,11,110
2020-08,31,13~60,优,7,16,0.435,6,8,58
2020-09,28,19~50,优,7,18,0.39,6,9,55
2020-10,33,24~57,优,8,26,0.419,13,12,56
2020-11,32,19~90,优,10,23,0.533,13,12,50
2020-12,27,19~48,优,10,20,0.568,12,12,51
2021-01,34,23~57,优,14,30,0.726,20,18,45
2021-02,36,28~61,优,11,24,0.65,14,13,68
2021-03,45,0~61,优,10,22,0.581,12,13,91
2021-04,63,42~169,良,23,27,0.37,8,10,108
2021-05,55,27~89,良,16,20,0.368,6,9,103
2021-06,55,0~139,良,15,22,0.347,3,9,103
2021-07,45,0~88,优,17,19,0.394,3,6,84
2021-08,29,14~47,优,12,15,0.355,4,5,56
2021-09,31,0~47,优,13,15,0.343,4,9,63
2021-10,31,24~40,优,14,18,0.477,6,12,59
2021-11,33,25~59,优,19,24,0.44,7,11,54
2021-12,36,23~107,优,24,27,0.435,8,14,50
2022-01,41,24~78,优,27,27,0.5,12,17,49
2022-02,39,31~103,优,22,31,0.446,9,13,70
2022-03,42,34~50,优,15,24,0.377,6,10,83
2022-04,45,39~62,优,10,18,0.417,4,7,90
2022-05,44,28~65,优,10,18,0.41,5,7,87
2022-06,41,26~68,优,12,17,0.38,5,8,80
2022-07,37,20~65,优,10,14,0.294,5,7,73
2022-08,26,17~47,优,6,9,0.319,3,6,52
2022-09,29,18~50,优,9,7,0.343,4,8,57
2022-10,36,21~103,优,18,20,0.403,5,12,57
2022-11,30,20~53,优,18,18,0.373,7,14,45
2022-12,30,24~43,优,18,15,0.374,9,14,52
2023-01,44,29~88,优,28,39,0.403,12,16,53
2023-02,42,30~60,优,24,23,0.382,10,14,72
2023-03,45,40~59,优,16,18,0.294,9,9,89
2023-04,56,42~238,良,21,28,0.38,7,8,95
2023-05,50,35~84,优,13,14,0.277,5,5,96
2023-06,42,23~75,优,9,12,0.2,5,5,82
2023-07,45,21~80,优,19,27,0.287,6,7,79
2023-08,32,22~45,优,9,12,0.281,4,5,64
2023-09,30,13~56,优,8,14,0.27,5,6,59
2023-10,34,20~87,优,17,22,0.213,6,11,60
2023-11,33,25~69,优,17,20,0.42,5,12,58
2023-12,28,15~50,优,16,17,0.426,5,12,32
2024-01,35,28~52,优,19,24,0.452,8,14,60
2024-02,43,33~137,优,23,28,0.372,11,11,73
2024-03,44,37~86,优,17,24,0.426,9,10,84
2024-04,51,29~134,良,19,28,0.44,7,7,85
2024-05,42,31~52,优,13,16,0.323,5,6,84
