month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,98,34~279,良,68,110,1.803,111,54,20
2014-01,94,32~280,良,67,109,2.997,94,55,36
2014-02,106,28~253,轻度污染,77,117,2.804,73,43,52
2014-03,73,31~129,良,31,97,2.523,59,39,73
2014-04,79,50~197,良,38,107,2.2,37,37,97
2014-05,102,44~252,轻度污染,45,148,1.148,26,26,104
2014-06,61,44~86,良,29,61,1.123,21,23,106
2014-07,72,30~135,良,40,73,1.113,24,26,111
2014-08,63,40~114,良,33,66,1.29,24,27,107
2014-09,60,31~108,良,34,64,1.267,20,26,83
2014-10,63,28~97,良,32,74,1.316,16,24,69
2014-11,64,31~102,良,34,81,1.74,50,22,49
2014-12,91,48~199,良,53,123,2.419,76,24,43
2015-01,89,46~173,良,60,118,2.639,76,35,47
2015-02,87,43~175,良,51,116,1.629,55,27,48
2015-03,86,37~149,良,41,121,1.416,41,24,80
2015-04,77,49~164,良,29,100,1.08,33,22,110
2015-05,93,57~201,良,33,99,0.794,25,19,141
2015-06,82,44~124,良,30,68,0.733,20,17,135
2015-07,87,53~145,良,38,72,0.839,23,20,143
2015-08,61,41~150,良,24,62,0.748,20,20,104
2015-09,52,28~94,良,27,55,1.057,23,25,79
2015-10,62,32~123,良,32,71,1.303,41,30,69
2015-11,73,40~129,良,49,77,2.207,68,39,48
2015-12,94,31~179,良,65,101,2.065,80,43,44
2016-01,64,36~107,良,39,63,2.016,67,29,53
2016-02,70,45~140,良,40,70,2.145,71,26,66
2016-03,77,43~151,良,39,100,1.926,50,31,88
2016-04,70,45~111,良,24,86,0.907,27,25,109
2016-05,81,52~138,良,34,93,1.103,24,25,128
2016-06,70,48~107,良,30,65,1.307,24,22,121
2016-07,78,41~108,良,30,56,1.181,20,22,132
2016-08,59,30~89,良,23,50,1.235,18,21,102
2016-09,57,38~82,良,26,63,1.553,28,29,83
2016-10,58,33~86,良,31,66,1.413,28,31,74
2016-11,88,38~173,良,53,109,1.757,83,38,59
2016-12,105,40~210,轻度污染,73,119,2.503,130,43,47
2017-01,99,38~496,良,47,72,2.103,101,40,62
2017-02,77,43~200,良,41,62,1.364,82,34,76
2017-03,69,40~137,良,41,72,1.306,59,32,97
2017-04,71,48~120,良,28,81,1.12,31,28,112
2017-05,110,57~500,轻度污染,25,89,1.139,20,25,137
2017-06,90,52~130,良,25,68,1.523,23,27,146
2017-07,94,36~165,良,31,57,1.471,25,29,149
2017-08,72,39~102,良,26,48,1.529,23,28,126
2017-09,70,38~106,良,35,75,1.753,36,35,108
2017-10,63,22~114,良,41,69,1.877,30,36,66
