month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-01,101,37~303,轻度污染,76,90,0.972,34,35,46
2014-02,97,30~282,良,73,89,0.846,28,30,62
2014-03,64,35~153,良,45,65,0.639,19,25,83
2014-04,65,44~170,良,34,77,0.423,16,20,101
2014-05,46,29~97,优,22,40,0.352,9,16,83
2014-06,50,33~104,良,24,46,0.38,10,18,92
2014-07,75,21~237,良,53,71,0.571,11,18,92
2014-08,45,32~61,优,19,33,0.452,11,17,89
2014-09,41,24~60,优,19,35,0.35,11,18,77
2014-10,76,29~233,良,53,76,0.681,16,28,75
2014-11,66,26~202,良,45,65,0.787,22,27,54
2014-12,78,27~172,良,56,71,0.816,28,26,45
2015-01,92,30~207,良,68,84,0.806,34,33,53
2015-02,77,32~322,良,51,75,0.754,25,28,71
2015-03,62,37~116,良,41,63,0.661,19,24,91
2015-04,67,38~162,良,41,78,0.587,12,21,87
2015-05,49,29~92,优,31,45,0.532,9,20,80
2015-06,57,32~127,良,38,48,0.553,12,19,90
2015-07,61,36~96,良,34,48,0.603,10,19,107
2015-08,50,31~77,良,28,41,0.497,10,17,93
2015-09,48,27~86,优,23,41,0.437,10,23,88
2015-10,62,29~205,良,37,62,0.513,12,24,84
2015-11,116,32~350,轻度污染,90,108,0.797,22,32,64
2015-12,76,30~180,良,52,66,1,39,43,50
2016-01,67,37~149,良,48,61,0.739,30,34,54
2016-02,62,34~130,良,44,58,0.7,22,28,77
2016-03,77,38~285,良,46,83,0.561,16,25,99
2016-04,74,45~168,良,32,72,0.553,13,21,113
2016-05,88,47~190,良,30,67,0.529,11,25,142
2016-06,64,34~117,良,21,35,0.543,9,26,115
2016-07,68,43~110,良,25,41,0.635,10,29,117
2016-08,52,23~89,良,17,36,0.619,10,25,95
2016-09,43,22~79,优,21,36,0.717,11,25,73
2016-10,49,28~129,优,29,48,0.79,13,29,64
2016-11,93,39~500,良,78,101,1.14,20,36,52
2016-12,79,31~198,良,57,79,1.039,25,35,45
2017-01,102,30~250,轻度污染,76,99,1.358,23,42,53
2017-02,54,28~178,良,37,53,0.868,14,26,66
2017-03,58,31~122,良,39,56,0.8,14,28,89
2017-04,69,45~146,良,33,71,0.673,11,23,109
2017-05,100,37~500,良,16,44,0.552,6,20,114
2017-06,66,31~131,良,18,34,0.527,7,18,117
2017-07,63,36~120,良,20,31,0.587,7,18,114
2017-08,46,25~71,优,19,27,0.635,6,14,87
2017-09,40,27~68,优,17,30,0.593,7,19,77
2017-10,60,30~204,良,37,56,0.665,10,32,75
2017-11,67,25~261,良,46,65,0.71,22,33,53
2017-12,62,22~109,良,44,54,0.939,24,36,27
2018-01,72,26~218,良,52,63,0.794,21,31,52
2018-02,56,36~117,良,38,54,0.657,19,25,70
2018-03,56,0~170,良,37,50,0.626,16,25,95
2018-04,50,0~99,优,26,46,0.567,10,24,99
2018-05,59,29~108,良,22,44,0.439,9,16,108
2018-06,59,28~111,良,16,29,0.447,8,16,107
2018-07,53,25~110,良,20,28,0.542,7,10,96
2018-08,36,18~77,优,11,19,0.477,6,12,71
2018-09,39,25~95,优,12,26,0.47,6,17,76
2018-10,42,20~107,优,18,41,0.519,8,20,62
2018-11,42,0~63,优,26,43,0.547,15,27,49
2018-12,51,26~134,良,32,49,0.548,16,29,47
2019-01,65,32~227,良,41,68,0.603,16,32,51
2019-02,77,33~250,良,54,76,0.55,16,27,72
2019-03,61,40~115,良,35,63,0.442,10,22,90
2019-04,73,41~235,良,25,86,0.407,5,15,101
2019-05,60,33~167,良,18,54,0.403,6,14,99
2019-06,55,13~116,良,13,22,0.387,5,13,100
2019-07,56,26~84,良,17,28,0.494,4,13,104
2019-08,35,15~66,优,13,22,0.487,4,12,70
2019-09,43,25~83,优,15,31,0.557,5,19,81
2019-10,45,25~107,优,22,45,0.516,7,23,68
2019-11,42,22~137,优,26,42,0.49,10,22,47
2019-12,87,26~244,良,64,84,0.839,16,34,43
2020-01,127,40~287,轻度污染,97,121,1.055,20,35,71
2020-02,63,35~144,良,43,55,0.638,12,16,87
2020-03,59,40~108,良,34,54,0.545,10,17,98
2020-04,70,35~168,良,36,53,0.497,8,17,111
2020-05,67,39~129,良,20,40,0.445,6,15,119
2020-06,56,21~155,良,14,24,0.49,6,14,102
2020-07,69,40~129,良,14,33,0.542,6,13,121
2020-08,41,15~83,优,10,21,0.516,5,12,80
2020-09,36,19~58,优,11,25,0.427,6,15,70
2020-10,41,20~144,优,14,44,0.435,7,20,62
2020-11,39,22~73,优,18,41,0.477,9,20,46
2020-12,44,29~90,优,23,45,0.613,10,22,45
2021-01,66,29~162,良,47,60,0.626,15,26,61
2021-02,62,37~139,良,40,57,0.564,14,18,83
2021-03,65,45~169,良,31,49,0.581,10,20,102
2021-04,80,43~233,良,38,58,0.51,9,17,118
2021-05,70,39~146,良,16,29,0.465,7,12,118
2021-06,74,38~149,良,18,28,0.463,7,13,127
2021-07,54,37~89,良,15,24,0.535,6,11,103
2021-08,39,15~75,优,15,22,0.461,7,10,75
2021-09,37,25~58,优,13,23,0.45,6,14,72
2021-10,38,22~73,优,19,37,0.458,7,20,61
2021-11,51,25~103,良,34,50,0.547,9,26,48
2021-12,52,27~102,良,37,49,0.603,10,25,49
2022-01,94,36~228,良,70,85,0.868,16,34,53
2022-02,54,35~117,良,38,48,0.604,10,21,74
2022-03,49,35~122,优,27,40,0.584,7,17,83
2022-04,60,37~173,良,33,59,0.737,6,14,96
2022-05,50,27~80,优,17,31,0.413,5,12,94
2022-06,53,27~90,良,12,22,0.41,4,12,100
2022-07,48,27~80,优,10,19,0.39,4,9,92
2022-08,37,24~67,优,8,18,0.332,4,9,74
2022-09,42,26~80,优,11,24,0.47,4,7,81
2022-10,39,21~69,优,20,35,0.594,5,18,58
2022-11,61,22~224,良,42,51,0.573,7,21,45
2022-12,40,23~135,优,25,37,0.432,8,18,49
2023-01,72,27~208,良,51,67,0.671,10,24,53
2023-02,63,34~142,良,43,60,0.596,9,26,70
2023-03,66,33~500,良,31,71,0.448,7,17,86
2023-04,82,39~314,良,36,96,0.433,6,15,93
2023-05,72,36~393,良,19,68,0.323,5,13,102
2023-06,67,34~128,良,12,25,0.31,5,12,117
2023-07,54,23~114,良,16,24,0.339,4,11,99
2023-08,34,21~60,优,8,14,0.326,4,9,68
2023-09,40,23~77,优,12,23,0.357,5,12,76
2023-10,45,22~232,优,24,42,0.484,6,22,65
2023-11,51,24~142,良,34,47,0.487,6,22,49
2023-12,51,23~142,良,35,48,0.587,8,25,28
2024-01,67,29~209,良,48,62,0.665,9,28,52
2024-02,67,33~221,良,44,70,0.586,9,20,73
2024-03,53,34~288,良,28,53,0.461,8,18,83
2024-04,69,31~183,良,43,71,0.453,8,16,101
2024-05,55,36~97,良,20,38,0.281,7,12,102
2024-06,57,25~120,良,15,28,0.28,6,12,103
2024-07,61,33~92,良,25,40,0.452,6,12,109
2024-08,40,18~60,优,12,25,0.377,6,11,80
2024-09,38,25~69,优,14,31,0.363,5,13,75
2024-10,42,24~77,优,24,40,0.387,6,18,64
2024-11,96,26~291,良,72,91,0.61,7,26,50
2024-12,48,27~113,优,33,46,0.597,7,28,47
2025-01,108,33~260,轻度污染,81,99,0.845,8,37,55
2025-02,55,34~159,良,36,49,0.557,7,21,71
2025-03,58,39~173,良,33,56,0.468,7,16,89
2025-04,65,49~115,良,46,66,0.556,7,18,100
