month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,58,58~58,良,41,48,0.7,19,30,72
2015-01,51,40~71,良,36,16,0.647,13,18,79
2015-02,58,44~79,良,41,17,0.525,5,19,93
2015-03,71,47~159,良,49,23,0.489,6,22,115
2015-04,57,43~79,良,36,28,0.693,5,21,93
2015-05,77,59~93,良,53,15,0.306,8,20,115
2015-06,55,29~87,良,34,12,0.403,6,14,73
2015-07,38,22~67,优,14,21,0.397,7,12,73
2015-08,27,17~45,优,14,20,0.432,7,12,50
2015-09,24,18~30,优,12,20,0.303,5,10,45
2015-10,35,29~46,优,14,26,0.626,9,14,66
2015-11,33,23~40,优,13,27,0.637,9,11,65
2015-12,37,26~49,优,22,32,0.552,10,12,61
2016-01,37,24~57,优,21,33,0.487,11,12,66
2016-02,50,31~88,优,34,42,0.41,8,11,69
2016-03,49,36~109,优,30,44,0.335,8,13,90
2016-04,45,35~62,优,23,39,0.53,9,15,87
2016-05,44,26~63,优,23,36,0.581,7,16,85
2016-06,29,0~46,优,18,23,0.51,5,14,51
2016-07,24,15~54,优,15,20,0.532,5,13,32
2016-08,35,22~49,优,22,31,0.629,7,21,58
2016-09,30,19~52,优,17,25,0.567,6,15,50
2016-10,31,18~43,优,14,25,0.642,7,15,59
2016-11,34,18~47,优,15,25,0.65,8,13,64
2016-12,37,25~54,优,19,34,0.887,13,18,65
2017-01,48,28~71,优,23,26,0.913,10,16,93
2017-02,59,42~80,良,33,34,0.868,9,15,109
2017-03,63,38~87,良,37,37,0.977,9,17,114
2017-04,65,42~112,良,36,40,0.943,8,18,114
2017-05,60,44~77,良,31,41,0.968,8,18,109
2017-06,46,25~85,优,16,28,0.723,6,15,88
2017-07,40,21~72,优,18,29,0.8,9,20,74
2017-08,36,18~60,优,13,26,0.787,7,19,70
2017-09,35,24~56,优,17,28,0.723,7,19,65
2017-10,37,21~63,优,19,31,0.735,7,20,69
2017-11,44,29~53,优,16,34,0.853,9,22,85
2017-12,44,29~58,优,17,43,0.865,6,21,52
2018-01,40,26~65,优,15,29,0.706,4,16,76
2018-02,51,45~63,良,19,38,0.75,5,11,100
2018-03,64,48~80,良,23,45,0.781,6,17,117
2018-04,64,38~90,良,20,43,0.603,5,18,116
2018-05,51,18~72,良,13,31,0.442,5,14,98
2018-06,38,16~74,优,8,21,0.49,3,12,73
2018-07,33,16~49,优,7,19,0.571,4,14,66
2018-08,40,22~57,优,9,23,0.623,5,18,79
2018-09,30,22~41,优,8,21,0.653,4,14,60
2018-10,34,21~42,优,9,21,0.648,4,14,68
2018-11,44,39~57,优,13,30,0.637,6,16,87
2018-12,39,30~46,优,9,22,0.661,5,15,77
2019-01,42,29~54,优,12,29,0.6,5,14,84
2019-02,46,35~60,优,16,28,0.604,4,8,92
2019-03,56,36~85,良,24,42,0.626,5,13,105
2019-04,64,48~91,良,25,42,0.673,5,13,116
2019-05,68,43~89,良,26,50,0.61,6,11,121
2019-06,41,23~67,优,15,19,0.593,5,10,80
2019-07,30,19~57,优,15,17,0.561,4,11,60
2019-08,45,23~76,优,15,25,0.603,5,15,87
2019-09,33,21~47,优,13,20,0.663,5,12,65
2019-10,35,25~43,优,13,19,0.677,5,12,70
2019-11,35,25~43,优,12,23,0.7,6,14,71
2019-12,38,27~45,优,15,25,0.706,7,15,77
2020-01,42,28~49,优,15,18,0.626,7,9,83
2020-02,53,41~76,良,21,24,0.6,6,6,102
2020-03,63,45~105,良,25,35,0.526,7,11,114
2020-04,60,31~94,良,25,38,0.747,7,13,110
2020-05,53,30~77,良,16,26,0.539,6,10,101
2020-06,34,23~50,优,10,14,0.44,5,9,68
2020-07,27,15~59,优,9,14,0.439,4,10,53
2020-08,31,15~51,优,10,15,0.581,4,12,60
2020-09,28,15~46,优,11,16,0.517,4,12,55
2020-10,28,20~45,优,13,17,0.694,6,13,53
2020-11,39,22~47,优,17,25,0.66,6,17,76
2020-12,40,33~46,优,16,23,0.719,6,13,81
2021-01,42,36~47,优,19,27,0.642,6,14,80
2021-02,47,36~62,优,22,30,0.7,7,10,92
2021-03,66,46~102,良,38,60,0.723,7,14,117
2021-04,69,48~85,良,33,55,0.703,7,15,122
2021-05,51,34~75,良,15,24,0.713,7,11,98
2021-06,34,19~55,优,9,15,0.57,5,10,68
2021-07,37,20~77,优,9,14,0.555,5,11,72
2021-08,34,19~76,优,9,13,0.571,5,9,65
2021-09,33,22~41,优,10,16,0.52,5,11,66
2021-10,32,18~44,优,11,17,0.652,6,11,63
2021-11,37,27~45,优,12,17,0.623,6,12,73
2021-12,38,27~50,优,14,20,0.645,6,14,75
2022-01,39,28~49,优,14,16,0.577,6,10,78
2022-02,48,40~58,优,17,26,0.604,6,7,95
2022-03,62,45~84,良,25,44,0.632,6,14,114
2022-04,58,29~80,良,23,43,0.607,5,12,106
2022-05,43,25~67,优,15,26,0.532,5,10,85
