month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,86,33~219,良,59,95,0.893,57,40,35
2014-01,99,41~269,良,71,107,0.981,61,41,38
2014-02,99,35~200,良,71,101,0.861,61,40,55
2014-03,96,52~191,良,68,111,0.761,43,44,66
2014-04,83,45~192,良,56,106,0.777,15,51,81
2014-05,67,45~110,良,38,82,0.616,8,41,90
2014-06,62,30~166,良,41,67,0.58,5,31,75
2014-07,70,37~150,良,46,68,0.735,7,31,101
2014-08,68,38~133,良,42,63,0.894,9,29,109
2014-09,57,36~108,良,29,52,0.777,8,34,93
2014-10,73,31~173,良,49,82,0.703,12,35,68
2014-11,97,43~227,良,69,106,1.057,51,47,49
2014-12,74,32~343,良,48,80,0.91,59,44,36
2015-01,79,32~181,良,55,82,0.874,60,38,46
2015-02,98,34~435,良,59,109,0.889,57,32,58
2015-03,84,42~193,良,56,105,0.806,44,42,78
2015-04,79,42~148,良,46,87,0.637,15,35,113
2015-05,84,45~141,良,31,70,0.555,15,33,136
2015-06,77,43~105,良,31,59,0.627,12,25,131
2015-07,73,42~120,良,25,50,0.555,8,20,126
2015-08,88,39~151,良,36,61,0.765,10,22,144
2015-09,80,42~119,良,24,47,0.703,12,30,134
2015-10,68,33~121,良,34,68,0.774,13,34,101
2015-11,123,38~460,轻度污染,93,121,1.083,43,41,67
2015-12,113,35~315,轻度污染,82,113,1.216,65,42,56
2016-01,80,37~284,良,53,87,1.039,60,34,62
2016-02,64,42~158,良,39,65,0.945,54,29,79
2016-03,77,43~190,良,48,92,1.061,38,34,99
2016-04,85,44~150,良,46,106,0.937,17,33,118
2016-05,90,53~153,良,38,72,1,16,35,144
2016-06,99,50~182,良,30,49,0.907,13,23,156
2016-07,74,36~165,良,24,39,0.958,9,19,127
2016-08,70,32~126,良,19,36,0.945,10,21,123
2016-09,81,41~187,良,28,47,1.027,11,25,135
2016-10,61,32~132,良,31,57,0.99,15,32,95
2016-11,73,36~218,良,49,78,1.05,32,38,73
2016-12,85,32~216,良,59,84,1.145,36,40,66
2017-01,76,36~223,良,53,76,1.165,37,35,70
2017-02,73,42~172,良,49,72,0.957,30,30,86
2017-03,74,40~135,良,50,78,0.968,27,38,100
2017-04,76,49~114,良,40,76,0.88,14,30,122
2017-05,88,45~252,良,24,54,0.732,11,23,134
2017-06,95,40~206,良,29,49,0.883,10,23,154
2017-07,86,46~192,良,27,43,0.994,9,20,142
2017-08,61,32~108,良,16,29,0.848,8,17,110
2017-09,90,36~140,良,27,50,1.003,11,21,147
2017-10,56,30~95,良,26,48,0.958,11,28,97
2017-11,53,30~124,良,28,58,0.937,17,32,71
2017-12,61,34~182,良,33,60,1.068,24,37,34
2018-01,63,34~227,良,37,71,0.955,21,32,54
2018-02,67,32~165,良,43,70,0.896,19,28,73
2018-03,65,43~133,良,41,69,0.845,14,33,93
2018-04,65,42~107,良,28,67,0.713,8,26,109
2018-05,73,35~140,良,25,53,0.635,8,22,126
2018-06,75,41~161,良,24,39,0.647,7,18,128
2018-07,47,26~91,优,17,28,0.577,5,13,89
2018-08,67,26~144,良,17,33,0.706,7,16,116
2018-09,67,33~125,良,17,34,0.647,7,20,118
2018-10,55,26~110,良,24,45,0.674,7,25,96
2018-11,68,0~149,良,43,71,0.84,14,36,66
2018-12,54,30~120,良,31,56,0.71,15,29,55
2019-01,81,34~293,良,54,85,1.035,20,38,55
2019-02,76,35~185,良,51,76,0.882,19,30,72
2019-03,90,42~251,良,59,90,0.748,13,35,92
2019-04,70,43~135,良,31,67,0.553,9,27,112
2019-05,85,50~129,良,29,65,0.552,9,24,138
2019-06,73,39~131,良,23,41,0.493,7,18,126
2019-07,75,38~151,良,23,37,0.571,6,14,129
2019-08,61,23~104,良,16,28,0.571,6,16,109
2019-09,75,36~141,良,26,46,0.667,9,24,126
2019-10,70,31~155,良,40,71,0.668,8,27,96
2019-11,50,26~93,优,25,51,0.573,11,28,61
2019-12,66,28~196,良,44,64,0.732,14,33,52
2020-01,81,30~232,良,59,77,1.023,19,35,60
2020-02,65,32~183,良,43,62,0.697,12,22,76
2020-03,55,39~90,良,29,54,0.558,11,25,89
2020-04,73,45~122,良,35,67,0.583,10,25,119
2020-05,62,40~105,良,22,42,0.513,7,21,112
2020-06,79,40~166,良,24,44,0.553,8,22,133
2020-07,70,35~117,良,20,32,0.616,8,17,123
2020-08,58,26~95,良,16,27,0.584,7,17,106
2020-09,59,31~104,良,17,31,0.603,8,22,108
2020-10,59,29~117,良,28,53,0.648,9,29,96
2020-11,57,27~190,良,31,56,0.643,12,31,66
2020-12,62,28~127,良,38,63,0.765,14,36,55
2021-01,62,33~172,良,33,58,0.777,14,32,61
2021-02,68,34~130,良,44,70,0.786,13,30,78
2021-03,87,45~233,良,46,69,0.771,12,36,87
2021-04,65,44~94,良,29,58,0.617,8,28,111
2021-05,76,37~179,良,19,43,0.565,8,23,121
2021-06,66,33~113,良,18,31,0.57,7,21,117
2021-07,53,24~93,良,13,21,0.568,6,15,99
2021-08,78,47~128,良,18,30,0.723,7,17,133
2021-09,64,38~113,良,15,29,0.663,7,18,115
2021-10,53,28~113,良,24,45,0.619,8,26,91
2021-11,61,28~186,良,36,62,0.693,11,32,71
2021-12,53,30~110,良,30,54,0.655,12,33,58
2022-01,57,29~137,良,36,53,0.771,14,34,59
2022-02,54,33~132,良,30,45,0.618,13,29,78
2022-03,57,37~112,良,29,48,0.632,9,28,88
2022-04,62,39~114,良,27,46,0.537,9,24,109
2022-05,74,42~138,良,24,45,0.639,9,23,126
2022-06,58,33~145,良,14,23,0.57,6,15,106
2022-07,63,22~129,良,16,25,0.613,7,15,111
2022-08,64,33~100,良,13,22,0.565,6,16,114
2022-09,69,36~132,良,16,30,0.523,7,18,121
2022-10,54,28~144,良,23,40,0.613,7,25,89
2022-11,59,27~123,良,35,59,0.787,9,29,71
2022-12,48,30~130,优,24,51,0.735,12,26,59
2023-01,68,32~228,良,40,73,0.819,13,26,63
2023-02,70,37~160,良,47,70,0.821,13,31,72
2023-03,73,42~150,良,42,87,0.719,9,30,97
2023-04,83,47~160,良,35,97,0.617,7,25,111
2023-05,80,49~188,良,26,62,0.574,7,21,129
2023-06,81,48~111,良,19,33,0.537,6,17,136
2023-07,70,19~152,良,18,27,0.519,6,14,120
2023-08,72,28~133,良,17,26,0.632,6,14,125
2023-09,74,44~120,良,19,31,0.577,7,18,127
2023-10,63,32~110,良,24,47,0.645,8,23,112
2023-11,51,30~192,良,28,46,0.657,9,23,74
2023-12,61,24~143,良,38,64,0.884,12,30,32
2024-01,55,30~99,良,35,53,0.871,13,27,60
2024-02,77,33~314,良,53,72,0.886,13,21,79
2024-03,66,40~161,良,38,73,0.755,10,25,95
2024-04,65,38~105,良,32,64,0.7,8,23,111
2024-05,72,39~121,良,24,48,0.59,9,20,123
2024-06,77,42~156,良,17,31,0.527,8,16,131
2024-07,70,21~134,良,22,29,0.581,7,13,119
2024-08,70,36~125,良,20,29,0.558,7,13,123
2024-09,64,25~107,良,16,29,0.607,8,18,113
2024-10,56,36~106,良,21,39,0.577,8,22,100
2024-11,44,30~90,优,21,39,0.603,9,22,77
2024-12,41,31~80,优,21,37,0.655,11,22,63
2025-01,56,30~144,良,34,53,0.742,12,23,68
2025-02,55,36~119,良,32,52,0.757,11,19,82
2025-03,64,43~118,良,36,68,0.674,9,23,92
2025-04,57,45~70,良,33,54,0.556,8,26,106
