month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,112,112~112,轻度污染,59,175,0.9,63,59,77
2015-01,118,71~203,轻度污染,89,136,1.255,54,50,60
2015-02,106,66~202,轻度污染,76,125,0.979,43,34,82
2015-03,85,47~184,良,53,104,0.794,24,32,98
2015-04,70,47~104,良,27,71,0.81,13,26,116
2015-05,67,43~103,良,25,65,0.648,11,22,109
2015-06,63,30~108,良,19,49,0.73,12,24,110
2015-07,69,51~97,良,16,36,0.6,10,19,122
2015-08,60,41~128,良,18,43,0.516,10,22,101
2015-09,47,34~74,优,14,25,0.697,6,29,88
2015-10,53,35~84,良,19,40,0.916,10,40,72
2015-11,64,38~95,良,37,68,1.603,45,46,37
2015-12,83,45~139,良,53,88,1.7,84,61,42
2016-01,84,36~140,良,53,85,1.732,71,58,52
2016-02,82,36~147,良,50,105,1.493,55,44,65
2016-03,70,39~128,良,33,82,0.842,26,40,87
2016-04,59,40~73,良,25,58,0.687,10,33,100
2016-05,67,43~127,良,36,70,0.758,11,24,108
2016-06,67,47~87,良,28,52,0.753,11,26,120
2016-07,69,43~106,良,25,46,0.574,8,22,119
2016-08,75,48~113,良,30,50,0.623,8,19,129
2016-09,69,45~94,良,27,49,0.76,10,31,114
2016-10,58,34~108,良,32,58,0.768,13,30,84
2016-11,101,63~168,轻度污染,67,147,1.42,51,49,62
2016-12,131,71~216,轻度污染,97,168,1.671,57,60,57
2017-01,118,58~265,轻度污染,34,60,1.368,58,49,67
2017-02,86,54~157,良,48,88,1.164,45,42,89
2017-03,75,42~118,良,39,74,0.994,28,44,96
2017-04,74,36~176,良,28,68,0.593,10,35,118
2017-05,94,54~326,良,25,63,0.494,10,29,135
2017-06,82,50~196,良,20,47,0.4,9,23,137
2017-07,77,47~122,良,16,38,0.471,10,20,132
2017-08,63,30~99,良,16,34,0.461,9,20,113
2017-09,55,39~72,良,21,51,0.533,8,25,94
2017-10,51,25~87,良,28,58,0.729,11,28,58
2017-11,85,61~130,良,50,104,1.12,37,50,57
2017-12,139,57~684,轻度污染,41,75,1.881,48,57,31
2018-01,82,0~143,良,59,98,1.284,35,44,53
2018-02,69,0~124,良,48,88,1.129,31,39,77
2018-03,35,0~83,优,18,43,0.61,14,38,93
2018-04,45,0~84,优,17,47,0.437,8,25,108
2018-05,52,0~89,良,20,52,0.484,7,22,109
2018-06,61,31~93,良,20,41,0.443,8,20,108
2018-07,54,36~103,良,24,35,0.326,8,19,102
2018-08,61,34~85,良,24,41,0.342,8,18,111
2018-09,52,35~90,良,20,44,0.443,8,24,94
2018-10,60,38~82,良,29,69,0.526,13,34,78
2018-11,53,0~102,良,35,66,0.897,20,39,52
2018-12,71,0~155,良,49,84,1.065,23,45,39
2019-01,89,44~212,良,65,100,1.332,21,45,58
2019-02,75,54~104,良,52,84,1.264,18,28,73
2019-03,66,50~90,良,34,79,0.826,14,32,96
2019-04,63,45~99,良,25,62,0.483,9,26,111
2019-05,87,34~500,良,33,91,0.371,8,23,108
2019-06,55,33~85,良,13,29,0.53,8,23,102
2019-07,64,35~146,良,10,24,0.403,8,20,114
2019-08,61,30~100,良,12,26,0.442,8,22,106
2019-09,45,33~65,优,15,30,0.437,9,27,87
2019-10,44,24~66,优,22,42,0.568,10,31,57
2019-11,61,27~102,良,36,69,0.827,14,40,43
2019-12,83,50~122,良,60,96,1.216,18,55,39
2020-01,84,54~149,良,62,82,1.252,19,39,62
2020-02,64,45~99,良,42,67,0.886,13,22,80
2020-03,67,38~266,良,29,79,0.471,12,30,91
2020-04,64,29~99,良,24,59,0.367,7,34,110
2020-05,68,36~122,良,19,52,0.323,6,25,118
2020-06,57,37~88,良,12,33,0.317,7,23,106
2020-07,56,36~85,良,8,24,0.287,6,18,105
2020-08,46,26~77,优,8,21,0.3,6,20,88
2020-09,46,30~70,优,14,33,0.4,7,26,80
