month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,156,31~371,中度污染,120,203,2.7,129,78,26
2014-01,147,26~357,轻度污染,113,179,2.526,113,71,27
2014-02,129,31~289,轻度污染,96,136,2.079,100,61,44
2014-03,150,57~252,轻度污染,112,173,1.994,69,71,66
2014-04,121,64~199,轻度污染,85,153,1.41,35,56,99
2014-05,102,44~204,轻度污染,70,132,1.348,29,49,116
2014-06,97,47~141,良,58,93,1.387,21,41,146
2014-07,117,63~177,轻度污染,76,114,1.497,22,39,160
2014-08,87,48~134,良,57,100,1.452,20,40,124
2014-09,80,37~150,良,56,87,1.29,21,40,84
2014-10,134,42~285,轻度污染,99,146,1.142,19,53,51
2014-11,145,50~422,轻度污染,111,156,1.887,52,68,43
2014-12,144,43~378,轻度污染,107,154,2.061,76,65,35
2015-01,133,36~364,轻度污染,100,161,2.252,76,70,33
2015-02,116,42~236,轻度污染,80,146,1.746,60,51,49
2015-03,117,54~274,轻度污染,72,166,1.435,37,52,60
2015-04,92,39~145,良,64,109,0.913,15,30,74
2015-05,88,40~156,良,51,90,0.977,14,27,130
2015-06,99,32~175,良,59,92,1.363,15,34,142
2015-07,78,46~122,良,49,88,0.706,7,18,116
2015-08,78,44~149,良,50,94,1,11,25,110
2015-09,68,27~147,良,44,75,0.87,13,25,81
2015-10,86,37~219,良,54,100,1.058,17,42,70
2015-11,119,35~345,轻度污染,88,133,2.037,36,57,36
2015-12,162,28~391,中度污染,125,189,2.058,45,66,22
2016-01,106,49~384,轻度污染,74,124,1.565,37,58,34
2016-02,77,30~189,良,50,85,1.317,27,42,53
2016-03,121,49~267,轻度污染,81,148,1.516,30,54,62
2016-04,100,53~273,轻度污染,64,128,0.993,19,43,98
2016-05,90,57~154,良,51,93,0.942,17,42,133
2016-06,101,51~185,轻度污染,54,77,0.997,12,36,151
2016-07,88,32~136,良,53,71,0.858,7,28,127
2016-08,72,38~135,良,41,65,0.855,9,31,105
2016-09,88,40~165,良,52,83,1.243,15,42,125
2016-10,91,40~225,良,64,90,1.426,18,51,65
2016-11,138,32~307,轻度污染,104,150,2.023,27,66,38
2016-12,175,60~340,中度污染,135,177,2.739,35,84,32
2017-01,142,39~330,轻度污染,109,127,2.439,31,67,44
2017-02,118,43~281,轻度污染,85,115,1.664,28,64,73
2017-03,100,43~251,轻度污染,70,106,1.352,24,64,100
2017-04,98,57~172,良,64,125,1.21,19,57,115
2017-05,139,51~500,轻度污染,41,91,0.981,12,40,158
2017-06,115,49~177,轻度污染,46,78,1.057,10,37,173
2017-07,104,44~188,轻度污染,52,72,1.148,6,30,156
2017-08,90,38~155,良,37,55,1.139,8,31,144
2017-09,102,41~158,轻度污染,54,90,1.22,13,39,154
2017-10,90,33~247,良,62,74,1.355,12,54,66
2017-11,87,40~201,良,53,86,1.21,14,58,46
2017-12,108,40~303,轻度污染,69,100,1.616,18,62,24
2018-01,82,29~190,良,53,84,1.242,17,51,43
2018-02,88,0~189,良,60,85,1.093,15,39,70
2018-03,108,0~322,轻度污染,75,100,1.09,14,54,86
2018-04,88,0~213,良,44,98,0.817,9,41,119
2018-05,80,0~146,良,38,75,0.826,8,38,137
2018-06,121,53~189,轻度污染,40,69,0.85,7,29,182
2018-07,89,32~151,良,38,51,0.835,5,24,141
2018-08,97,24~200,良,29,49,0.994,6,29,148
2018-09,68,38~116,良,30,54,0.787,9,37,106
2018-10,80,35~152,良,44,71,0.926,12,54,82
2018-11,112,0~305,轻度污染,79,98,1.31,16,64,46
2018-12,86,0~293,良,53,91,1.119,16,56,37
2019-01,114,40~298,轻度污染,81,112,1.426,19,62,42
2019-02,110,33~287,轻度污染,78,105,1.221,14,45,69
2019-03,85,39~189,良,54,84,0.865,11,45,94
2019-04,90,43~282,良,49,95,0.793,11,38,112
2019-05,103,52~204,轻度污染,41,88,0.648,11,33,156
2019-06,127,37~202,轻度污染,42,65,0.857,9,29,184
2019-07,121,46~191,轻度污染,41,54,0.89,6,23,181
2019-08,79,28~160,良,26,44,0.806,6,29,129
2019-09,103,43~186,轻度污染,41,71,0.92,11,41,153
2019-10,88,36~193,良,50,82,0.877,10,48,78
2019-11,86,34~207,良,51,90,1.043,13,56,41
2019-12,95,37~225,良,61,77,1.161,10,57,35
2020-01,138,42~289,轻度污染,101,105,1.448,12,60,50
2020-02,87,32~219,良,61,62,0.931,9,33,68
2020-03,70,40~147,良,43,67,0.7,8,37,89
2020-04,80,45~174,良,40,79,0.68,9,34,123
2020-05,84,42~166,良,35,63,0.732,7,32,129
2020-06,116,55~203,轻度污染,38,76,0.83,8,29,171
2020-07,104,49~148,轻度污染,41,53,0.852,5,23,163
2020-08,87,33~143,良,34,45,0.942,5,26,136
2020-09,67,29~161,良,29,44,0.86,7,35,113
2020-10,86,31~176,良,54,80,0.852,10,52,78
2020-11,79,35~160,良,47,76,0.89,10,53,47
2020-12,86,32~199,良,53,78,0.984,12,56,38
2021-01,86,30~168,良,45,74,1.055,11,50,46
2021-02,89,37~219,良,57,85,0.943,10,40,70
2021-03,131,41~500,轻度污染,58,78,0.926,9,47,80
2021-04,73,43~157,良,36,71,0.69,9,39,105
2021-05,82,39~177,良,23,51,0.658,8,27,122
2021-06,90,47~201,良,29,56,0.83,7,26,145
2021-07,85,32~148,良,21,38,0.777,5,18,139
2021-08,87,45~154,良,23,43,0.823,6,24,143
2021-09,69,36~131,良,23,46,0.877,8,30,115
2021-10,72,24~201,良,39,71,0.761,9,46,67
2021-11,77,28~173,良,47,87,0.91,10,48,44
2021-12,79,29~203,良,50,90,0.874,11,51,38
2022-01,77,33~196,良,52,78,0.913,9,41,50
2022-02,62,36~179,良,37,60,0.679,8,33,76
2022-03,74,41~143,良,45,79,0.768,9,37,84
2022-04,75,38~115,良,37,72,0.637,10,27,123
2022-05,88,40~151,良,27,61,0.581,10,24,141
2022-06,101,48~203,轻度污染,29,53,0.76,9,20,159
2022-07,91,30~149,良,23,39,0.7,7,18,147
2022-08,72,31~140,良,22,36,0.652,7,20,124
2022-09,92,38~153,良,29,62,0.663,10,31,148
2022-10,67,26~158,良,40,72,0.639,9,42,78
2022-11,89,30~221,良,60,94,0.867,9,44,49
2022-12,80,28~490,良,40,92,0.671,8,42,48
2023-01,93,32~276,良,60,108,0.826,10,41,52
2023-02,90,35~203,良,61,93,0.789,10,46,64
2023-03,122,53~500,轻度污染,66,161,0.748,9,44,95
2023-04,110,45~490,轻度污染,43,135,0.52,8,29,105
2023-05,92,40~159,良,33,77,0.59,9,27,141
2023-06,120,67~205,轻度污染,24,52,0.587,8,22,181
2023-07,107,21~198,轻度污染,24,43,0.635,6,18,162
2023-08,87,47~156,良,24,41,0.69,6,21,143
2023-09,89,43~154,良,34,58,0.76,8,31,138
2023-10,81,32~178,良,49,88,0.7,8,48,96
2023-11,72,28~195,良,42,79,0.67,6,42,54
2023-12,92,18~242,良,61,103,0.871,7,52,23
2024-01,77,33~202,良,49,81,0.761,6,47,48
2024-02,85,37~220,良,58,92,0.783,8,32,73
2024-03,89,38~212,良,52,116,0.629,7,38,92
2024-04,82,43~147,良,40,91,0.613,8,33,122
2024-05,98,38~155,良,31,73,0.523,7,25,151
2024-06,133,65~193,轻度污染,34,69,0.657,8,24,192
2024-07,93,39~167,良,30,45,0.677,5,17,150
2024-08,85,35~142,良,23,40,0.706,5,19,140
2024-09,69,23~159,良,21,41,0.64,7,28,117
2024-10,82,33~169,良,53,83,0.668,7,46,86
2024-11,65,29~108,良,38,66,0.707,7,46,54
2024-12,61,31~105,良,33,63,0.616,6,45,51
2025-01,75,33~294,良,48,78,0.742,8,40,58
2025-02,72,37~205,良,43,74,0.689,8,36,75
2025-03,77,43~196,良,43,85,0.597,7,33,96
2025-04,62,49~74,良,31,65,0.589,9,31,113
