month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,98,98~98,良,73,141,1.8,66,90,69
2014-01,110,45~229,轻度污染,80,121,1.535,41,52,72
2014-02,77,32~244,良,54,72,1.475,31,35,80
2014-03,88,39~192,良,61,99,1.477,41,40,101
2014-04,82,50~153,良,54,80,1.037,33,41,116
2014-05,103,47~222,轻度污染,66,111,1.023,38,33,148
2014-06,86,38~193,良,53,69,1.05,31,34,134
2014-07,90,35~188,良,49,62,1.19,32,32,132
2014-08,74,34~150,良,39,55,1.3,28,40,119
2014-09,70,39~149,良,36,56,0.707,17,29,117
2014-10,88,53~199,良,52,86,0.758,28,46,122
2014-11,90,45~187,良,62,92,1.057,35,93,83
2014-12,110,48~202,轻度污染,82,127,1.303,43,62,48
2015-01,122,31~259,轻度污染,92,125,1.229,38,59,55
2015-02,88,33~218,良,61,105,0.833,26,35,74
2015-03,75,40~130,良,49,85,0.971,24,35,95
2015-04,90,51~154,良,52,93,1.127,32,38,134
2015-05,83,52~173,良,40,71,0.923,25,36,137
2015-06,83,39~197,良,40,67,0.783,19,39,130
2015-07,77,24~160,良,35,58,0.761,13,32,117
2015-08,78,31~150,良,34,62,0.861,15,30,121
2015-09,74,37~159,良,30,57,0.683,18,32,121
2015-10,79,45~144,良,44,93,0.9,21,53,112
2015-11,80,38~144,良,50,89,0.983,20,54,55
2015-12,111,60~229,轻度污染,73,130,1.165,26,65,41
2016-01,92,33~183,良,61,111,1.061,25,51,56
2016-02,79,39~166,良,49,95,0.803,18,40,72
2016-03,80,42~139,良,49,98,0.771,17,46,96
2016-04,92,48~162,良,47,96,0.917,20,50,127
2016-05,87,47~169,良,41,84,0.842,14,36,134
2016-06,68,40~124,良,32,60,0.777,21,37,107
2016-07,78,22~150,良,34,62,0.752,17,29,120
2016-08,62,27~124,良,22,47,0.69,20,25,107
2016-09,76,27~153,良,34,66,0.82,21,32,120
2016-10,50,32~69,良,23,49,0.694,16,24,85
2016-11,73,34~134,良,47,89,0.953,21,39,65
2016-12,93,0~218,良,65,106,0.784,21,36,63
2017-01,76,37~149,良,50,79,0.79,14,36,72
2017-02,84,39~150,良,55,85,0.857,16,47,93
2017-03,77,49~115,良,47,80,0.697,15,52,108
2017-04,100,45~154,良,46,96,0.77,22,51,139
2017-05,100,42~174,轻度污染,33,82,0.719,22,40,148
2017-06,87,47~179,良,33,61,0.797,15,40,135
2017-07,108,38~205,轻度污染,31,61,0.806,20,36,165
2017-08,90,35~183,良,28,54,0.752,16,30,142
2017-09,74,39~167,良,27,52,0.79,15,36,115
2017-10,60,37~88,良,25,50,0.484,14,32,103
2017-11,80,39~129,良,46,88,0.78,20,56,79
2017-12,98,40~254,良,65,104,1.068,20,66,38
2018-01,98,31~273,良,68,93,0.977,16,54,62
2018-02,75,40~178,良,49,78,0.804,13,39,90
2018-03,74,42~119,良,41,68,0.732,14,49,100
2018-04,93,41~170,良,40,90,0.69,18,51,135
2018-05,91,39~164,良,36,69,0.758,16,40,139
2018-06,92,43~176,良,31,52,0.713,18,35,146
2018-07,71,21~206,良,21,39,0.648,12,29,112
2018-08,61,25~142,良,19,31,0.655,13,25,107
2018-09,79,40~183,良,27,45,0.76,13,37,125
2018-10,77,46~130,良,34,56,0.748,12,47,122
2018-11,72,34~148,良,44,71,0.873,14,51,88
2018-12,70,35~153,良,42,70,0.871,18,45,58
2019-01,85,39~163,良,59,85,0.994,15,48,65
2019-02,74,36~192,良,50,67,0.833,10,27,85
2019-03,80,49~134,良,50,80,0.806,14,46,94
2019-04,69,40~133,良,25,46,0.703,8,42,110
2019-05,88,42~193,良,24,51,0.565,9,36,138
2019-06,82,36~201,良,18,32,0.593,10,25,134
2019-07,83,23~144,良,17,33,0.616,11,27,135
2019-08,91,25~198,良,19,35,0.584,11,23,141
2019-09,71,18~204,良,17,35,0.597,11,26,119
2019-10,66,25~131,良,24,58,0.645,12,38,103
2019-11,60,30~102,良,24,62,0.507,11,41,82
2019-12,70,33~139,良,43,66,0.748,13,50,62
2020-01,78,30~183,良,50,62,0.9,11,32,72
2020-02,53,28~102,良,25,38,0.631,9,21,96
2020-03,63,37~117,良,21,39,0.597,9,30,110
2020-04,59,0~162,良,18,37,0.543,7,21,93
2020-05,92,37~177,良,28,53,0.903,10,28,146
2020-06,68,0~157,良,18,30,0.78,9,30,113
2020-07,72,34~180,良,16,28,0.758,8,28,117
2020-08,69,24~120,良,17,31,0.635,8,25,118
2020-09,82,27~195,良,21,37,0.697,9,36,129
2020-10,61,38~101,良,19,38,0.561,9,35,103
2020-11,55,30~106,良,24,47,0.613,8,40,83
2020-12,82,29~207,良,51,70,0.777,10,52,58
2021-01,72,44~109,良,42,78,0.848,10,48,61
2021-02,55,35~92,良,30,50,0.689,8,29,85
2021-03,65,37~165,良,35,72,0.561,7,37,91
2021-04,64,33~112,良,25,52,0.67,6,35,105
2021-05,85,38~162,良,27,55,0.571,7,31,135
2021-06,64,33~179,良,17,32,0.49,8,29,108
2021-07,59,0~134,良,15,26,0.577,7,18,102
2021-08,67,24~157,良,14,25,0.568,8,21,114
2021-09,78,18~201,良,18,32,0.783,9,25,131
2021-10,60,32~140,良,17,35,0.568,7,30,101
2021-11,69,34~103,良,31,61,0.713,8,51,81
2021-12,51,0~138,良,27,45,0.59,5,38,43
2022-01,0,0~0,无,0,0,0,0,0,0
2022-02,0,0~0,无,0,0,0,0,0,0
2022-03,0,0~0,无,0,0,0,0,0,0
2022-04,0,0~0,无,0,0,0,0,0,0
