month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,72,29~216,良,47,80,0.853,40,38,61
2014-01,88,32~224,良,58,94,0.981,40,32,70
2014-02,73,40~144,良,46,75,0.896,29,26,92
2014-03,95,55~205,良,56,102,0.826,24,30,126
2014-04,88,64~154,良,47,84,0.61,19,32,139
2014-05,97,53~168,良,39,90,0.568,18,28,153
2014-06,83,49~127,良,36,59,0.503,14,21,136
2014-07,85,43~136,良,39,65,0.548,15,20,140
2014-08,86,35~145,良,33,57,0.529,19,17,141
2014-09,72,38~131,良,21,44,0.4,15,20,125
2014-10,74,40~120,良,31,65,0.39,15,23,124
2014-11,74,43~187,良,47,80,0.63,23,29,88
2014-12,64,31~204,良,37,72,0.597,25,25,64
2015-01,70,31~246,良,44,74,0.674,23,27,67
2015-02,78,40~272,良,45,91,0.571,21,23,85
2015-03,77,42~150,良,44,96,0.629,17,29,102
2015-04,88,45~202,良,39,79,0.55,11,24,140
2015-05,73,46~113,良,28,64,0.461,12,22,125
2015-06,71,41~131,良,33,60,0.483,12,15,123
2015-07,53,31~92,良,26,49,0.452,12,19,92
2015-08,76,41~142,良,33,60,0.642,12,15,125
2015-09,69,41~101,良,21,41,0.473,14,18,122
2015-10,69,34~126,良,33,64,0.513,15,20,110
2015-11,62,31~144,良,43,59,0.617,18,22,74
2015-12,89,28~281,良,64,91,0.903,30,35,56
2016-01,68,29~227,良,44,71,0.839,27,35,60
2016-02,57,31~119,良,34,62,0.855,22,28,73
2016-03,73,38~164,良,41,85,0.742,17,27,103
2016-04,96,53~354,良,47,119,0.693,18,30,119
2016-05,89,45~166,良,37,73,0.54,16,28,142
2016-06,78,32~131,良,27,47,0.413,10,15,132
2016-07,56,32~87,良,27,42,0.403,9,13,100
2016-08,53,0~207,良,20,36,0.448,8,13,92
2016-09,56,0~107,良,25,42,0.483,10,13,101
2016-10,48,29~88,优,23,48,0.51,8,17,85
2016-11,59,29~120,良,38,67,0.63,14,20,67
2016-12,64,30~168,良,43,63,0.723,15,24,67
2017-01,64,30~193,良,42,62,0.826,15,21,69
2017-02,62,36~160,良,36,60,0.704,14,17,88
2017-03,66,40~119,良,42,74,0.819,17,28,101
2017-04,76,46~166,良,35,78,0.717,13,26,112
2017-05,86,45~224,良,23,61,0.584,12,18,124
2017-06,78,31~193,良,24,47,0.507,10,12,131
2017-07,70,36~140,良,27,41,0.652,10,11,122
2017-08,58,21~142,良,15,29,0.603,6,11,105
2017-09,89,45~175,良,22,47,0.647,9,13,146
2017-10,53,27~97,良,19,37,0.529,7,16,100
2017-11,53,28~119,良,22,52,0.523,8,17,84
2017-12,56,20~102,良,33,61,0.687,11,22,42
2018-01,61,28~152,良,36,67,0.626,10,24,64
2018-02,57,34~138,良,32,56,0.518,7,12,85
2018-03,68,37~124,良,35,58,0.6,8,20,112
2018-04,81,47~144,良,28,71,0.523,8,20,128
2018-05,69,42~126,良,24,51,0.406,7,18,121
2018-06,76,43~141,良,24,40,0.333,6,14,130
2018-07,39,18~83,优,18,25,0.277,7,14,72
2018-08,62,22~119,良,16,28,0.41,6,12,110
2018-09,71,38~118,良,15,32,0.467,6,13,123
2018-10,60,31~120,良,17,38,0.423,6,15,107
