month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,109,109~109,轻度污染,82,125,1.7,29,31,104
2015-01,119,23~186,轻度污染,90,141,1.719,37,46,59
2015-02,108,24~182,轻度污染,75,135,2.093,29,32,74
2015-03,81,30~175,良,59,91,2.348,32,28,74
2015-04,72,38~113,良,50,82,2.017,38,28,95
2015-05,100,44~276,轻度污染,71,103,1.555,33,26,102
2015-06,57,33~97,良,31,60,0.99,32,17,90
2015-07,57,35~113,良,34,65,0.877,46,14,81
2015-08,60,30~93,良,38,66,1.432,32,12,80
2015-09,67,35~115,良,46,74,1.35,31,11,98
2015-10,89,38~142,良,58,96,1.274,32,22,132
2015-11,54,26~92,良,34,56,1.167,23,24,65
2015-12,78,32~149,良,54,89,1.113,20,26,62
2016-01,86,35~176,良,62,97,1.184,20,27,62
2016-02,90,38~331,良,63,101,1.762,21,23,98
2016-03,82,38~135,良,59,92,1.335,31,30,94
2016-04,63,33~100,良,40,59,1.15,31,22,93
2016-05,62,40~102,良,37,57,1.3,29,22,101
2016-06,58,36~82,良,35,54,1.173,21,14,100
2016-07,53,28~95,良,30,49,1.235,18,20,93
2016-08,69,40~141,良,33,57,1.213,16,17,120
2016-09,88,36~129,良,49,81,1.15,22,22,139
2016-10,55,30~99,良,32,52,1.426,15,18,90
2016-11,59,32~108,良,39,63,1.777,17,25,67
2016-12,94,48~145,良,68,106,2.374,26,32,71
2017-01,109,36~368,轻度污染,80,116,2.032,23,30,66
2017-02,78,48~157,良,52,78,2.507,22,20,77
2017-03,57,37~103,良,36,60,1.877,14,24,74
2017-04,58,33~73,良,37,61,1.403,19,22,94
2017-05,75,36~131,良,33,52,1.365,15,17,115
2017-06,48,32~77,优,25,35,1.643,15,12,84
2017-07,44,31~75,优,24,36,1.513,20,14,78
2017-08,50,37~82,优,26,38,1.558,15,17,88
2017-09,77,41~140,良,34,52,1.833,15,18,130
2017-10,67,39~107,良,32,52,2.087,11,19,110
2017-11,81,36~151,良,55,93,1.94,15,36,85
2017-12,87,38~215,良,55,107,1.848,15,41,40
2018-01,71,30~152,良,44,84,1.581,12,29,54
2018-02,81,28~149,良,46,108,1.482,10,27,71
2018-03,58,23~100,良,32,66,1.381,9,24,78
2018-04,54,0~87,良,27,61,1.533,14,19,92
2018-05,49,0~90,优,24,45,1.271,16,15,94
2018-06,57,30~123,良,23,38,1.277,13,14,103
2018-07,49,35~75,优,20,37,1.561,13,16,93
2018-08,60,33~103,良,21,36,1.59,8,14,109
2018-09,62,31~107,良,25,44,1.367,8,15,108
2018-10,74,30~150,良,29,64,1.461,9,25,117
2018-11,55,28~87,良,33,61,1.633,6,28,76
2018-12,68,28~207,良,44,78,1.684,6,22,50
2019-01,89,38~182,良,64,103,1.597,6,32,54
2019-02,58,19~189,良,38,62,0.993,5,17,54
2019-03,56,25~80,良,34,63,0.955,9,27,81
2019-04,54,26~80,良,33,54,0.78,11,22,85
2019-05,66,27~97,良,37,62,0.739,12,19,104
2019-06,52,32~96,良,27,37,0.74,10,14,94
2019-07,51,31~99,良,26,40,0.835,10,12,92
2019-08,75,42~118,良,34,56,1.019,11,15,128
2019-09,97,46~143,良,39,65,0.96,13,19,155
2019-10,67,26~135,良,40,69,0.968,12,23,102
2019-11,74,20~109,良,48,89,0.95,11,27,93
2019-12,83,26~192,良,61,91,1.239,10,31,68
2020-01,63,23~119,良,44,59,1.139,4,22,54
2020-02,55,22~115,良,36,50,0.993,4,16,64
2020-03,52,27~82,良,31,54,1.013,7,20,70
2020-04,71,40~110,良,38,69,0.803,12,30,117
2020-05,65,35~112,良,34,60,0.913,10,25,110
2020-06,38,23~60,优,19,32,0.68,8,14,72
2020-07,43,23~74,优,20,33,0.706,8,13,83
2020-08,50,26~113,良,22,40,0.774,10,21,92
2020-09,46,22~90,优,24,39,0.813,4,16,84
2020-10,54,21~85,良,33,60,0.771,5,21,85
2020-11,61,24~89,良,38,70,0.963,9,29,80
2020-12,84,36~158,良,61,90,0.942,9,38,66
2021-01,95,49~156,良,69,101,1.1,10,41,66
2021-02,70,23~203,良,50,62,0.996,5,22,64
2021-03,53,19~113,良,31,47,0.8,6,23,59
2021-04,42,19~65,优,26,38,0.8,5,19,64
2021-05,46,23~92,优,25,43,0.742,9,17,79
2021-06,52,21~110,良,26,41,0.65,10,16,93
2021-07,44,24~97,优,20,34,0.652,8,14,85
2021-08,47,30~97,优,21,35,0.713,5,13,88
2021-09,66,35~99,良,32,49,0.893,7,19,117
2021-10,55,24~93,良,32,44,0.768,5,19,91
2021-11,64,30~119,良,42,68,0.88,9,30,77
2021-12,93,43~168,良,68,87,1.045,11,35,71
