month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,91,91~91,良,52,131,1.1,26,22,71
2015-01,166,51~294,中度污染,128,197,2.042,33,43,61
2015-02,153,46~241,中度污染,116,174,1.793,22,31,70
2015-03,101,43~204,轻度污染,74,120,1.577,13,25,81
2015-04,83,30~119,良,57,97,1.51,13,23,109
2015-05,101,56~207,轻度污染,69,107,1.439,8,18,128
2015-06,72,32~135,良,48,73,1.14,9,10,104
2015-07,59,39~115,良,40,59,1.181,8,6,89
2015-08,68,34~131,良,45,66,1.535,7,7,103
2015-09,89,50~143,良,53,79,1.393,7,17,138
2015-10,109,49~182,轻度污染,80,124,1.442,12,31,131
2015-11,84,42~127,良,62,91,1.793,11,22,49
2015-12,120,51~276,轻度污染,89,137,1.99,17,38,49
2016-01,104,59~206,轻度污染,77,112,2.252,19,40,43
2016-02,94,45~317,良,67,111,1.972,22,35,74
2016-03,81,39~123,良,53,99,2.239,16,35,99
2016-04,77,44~126,良,32,63,1.59,10,22,117
2016-05,72,41~115,良,33,70,1.306,10,17,119
2016-06,62,38~111,良,23,45,1.28,9,14,106
2016-07,66,29~110,良,15,32,1.032,7,19,111
2016-08,74,33~150,良,31,50,1.213,6,8,125
2016-09,100,39~178,轻度污染,48,79,1.3,9,19,152
2016-10,52,25~97,良,32,54,1.213,4,22,70
2016-11,75,29~198,良,53,88,1.42,9,26,64
2016-12,108,57~183,轻度污染,81,129,1.987,13,46,60
2017-01,103,28~204,轻度污染,77,118,2.074,13,36,62
2017-02,88,51~151,良,64,96,2.921,13,36,72
2017-03,83,51~180,良,58,97,2.319,11,37,92
2017-04,85,46~117,良,48,83,1.557,9,30,128
2017-05,113,45~325,轻度污染,44,80,1.352,8,25,155
2017-06,94,36~174,良,36,69,1.07,8,16,147
2017-07,69,30~126,良,25,45,0.984,9,12,120
2017-08,59,28~107,良,24,42,1.013,9,12,107
2017-09,53,26~119,良,29,45,1,10,11,86
2017-10,49,18~109,优,32,53,0.99,10,11,70
2017-11,95,50~206,良,70,109,1.113,14,33,86
2017-12,116,60~270,轻度污染,84,124,1.587,14,49,34
2018-01,100,54~183,轻度污染,74,107,1.319,9,31,50
2018-02,87,0~155,良,63,97,0.989,11,28,73
2018-03,67,42~99,良,47,70,1.081,10,26,80
2018-04,58,0~110,良,33,61,1.057,11,21,110
2018-05,65,0~122,良,27,50,0.884,7,11,116
2018-06,92,38~187,良,26,46,0.963,7,12,147
2018-07,71,21~124,良,18,35,0.903,8,12,121
2018-08,69,38~142,良,21,33,0.571,7,7,121
2018-09,70,35~120,良,28,50,0.803,8,16,121
2018-10,77,42~164,良,41,70,0.894,10,24,123
2018-11,74,0~223,良,52,83,1.207,11,30,82
2018-12,85,0~173,良,61,95,1.11,12,29,42
2019-01,109,48~214,轻度污染,81,117,1.287,10,30,46
2019-02,87,32~206,良,64,89,1.104,8,18,58
2019-03,71,40~103,良,47,86,1.016,7,24,94
2019-04,63,34~91,良,37,62,0.977,6,18,104
2019-05,82,30~143,良,36,76,0.548,7,19,125
2019-06,92,35~189,良,28,47,0.473,6,13,147
2019-07,70,43~126,良,22,44,0.397,5,9,121
2019-08,83,40~185,良,25,44,0.61,6,8,138
2019-09,103,44~194,轻度污染,34,60,0.997,7,17,161
2019-10,71,26~150,良,33,64,1.019,6,20,107
2019-11,76,26~105,良,49,97,1.043,8,35,80
2019-12,91,54~162,良,67,110,1.29,9,43,47
2020-01,82,32~135,良,60,75,1.123,6,22,57
2020-02,62,29~142,良,42,51,1.207,7,11,77
2020-03,56,28~92,良,35,56,1.242,6,11,93
2020-04,74,45~125,良,35,59,0.83,7,18,124
2020-05,75,43~130,良,32,57,1.013,10,16,127
2020-06,58,27~150,良,19,30,1.057,5,11,104
2020-07,49,25~87,优,17,27,1.094,5,9,93
2020-08,62,30~97,良,19,34,0.948,5,11,111
2020-09,73,40~126,良,30,49,0.993,5,12,122
2020-10,64,29~115,良,36,68,1.071,4,22,90
