month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,64,64~64,良,39,77,1.1,12,16,57
2015-01,67,27~130,良,47,73,1.11,11,15,74
2015-02,58,33~107,良,39,59,1.011,9,14,74
2015-03,47,23~67,优,30,47,0.939,7,14,74
2015-04,66,32~140,良,38,61,0.937,6,21,96
2015-05,58,27~105,良,29,48,0.994,5,20,100
2015-06,48,27~78,优,22,39,0.873,4,16,89
2015-07,41,24~70,优,18,33,0.755,4,15,76
2015-08,43,21~74,优,21,36,0.697,3,16,77
2015-09,52,25~92,良,21,36,0.82,4,19,89
2015-10,55,28~142,良,28,47,0.874,5,23,87
2015-11,46,30~63,优,23,39,1.037,5,28,58
2015-12,51,33~72,良,27,47,1.145,7,34,48
2016-01,61,28~134,良,38,58,1.319,7,37,47
2016-02,55,27~129,良,34,57,0.821,7,17,80
2016-03,62,31~98,良,34,56,0.971,7,34,89
2016-04,61,36~111,良,29,46,1.053,6,34,90
2016-05,66,34~115,良,31,50,1.21,4,22,103
2016-06,50,0~95,良,22,39,1.07,3,22,86
2016-07,46,22~85,优,21,39,0.903,3,18,79
2016-08,40,20~76,优,17,33,0.684,5,16,72
2016-09,43,21~92,优,21,37,0.517,5,17,74
2016-10,40,20~59,优,20,38,0.81,6,25,43
2016-11,48,27~87,优,26,48,0.95,8,31,47
2016-12,59,38~77,良,35,67,0.987,11,34,57
2017-01,60,33~111,良,39,63,0.994,10,28,67
2017-02,58,30~104,良,36,52,0.839,7,25,95
2017-03,58,37~94,良,28,44,0.906,5,33,97
2017-04,76,41~119,良,30,55,0.997,6,33,111
2017-05,64,38~150,良,21,43,0.874,6,21,112
2017-06,55,32~93,良,18,32,0.987,3,21,95
2017-07,64,20~124,良,18,38,0.858,5,15,113
2017-08,60,20~107,良,19,39,0.806,5,15,107
2017-09,64,27~120,良,19,36,0.86,6,14,114
2017-10,55,24~90,良,21,38,0.771,8,17,99
2017-11,49,27~102,优,27,43,0.807,10,27,71
2017-12,61,22~115,良,42,58,0.958,12,32,44
2018-01,50,23~107,优,32,46,0.816,10,26,56
2018-02,59,32~105,良,38,56,0.689,9,16,82
2018-03,53,29~87,良,28,39,0.748,7,19,86
2018-04,69,0~120,良,32,64,0.793,8,21,118
2018-05,71,32~120,良,23,45,0.748,7,16,120
2018-06,63,32~105,良,18,32,0.713,8,13,112
2018-07,42,16~80,优,15,30,0.594,8,11,79
2018-08,43,19~75,优,14,27,0.584,6,10,81
2018-09,45,21~96,优,14,29,0.597,5,12,84
2018-10,62,29~115,良,23,37,0.629,8,18,109
2018-11,38,24~55,优,20,28,0.75,8,25,58
2018-12,40,23~77,优,22,32,0.735,7,27,46
2019-01,54,30~127,良,34,48,1.035,7,31,58
2019-02,47,23~223,优,28,39,0.929,8,18,61
2019-03,53,33~75,良,30,45,0.784,7,24,89
2019-04,55,33~84,良,29,48,0.857,6,26,89
2019-05,61,32~100,良,24,45,0.613,5,19,103
2019-06,49,29~87,优,18,35,0.723,2,17,85
2019-07,40,19~60,优,12,31,0.568,3,14,74
2019-08,39,20~76,优,13,30,0.639,4,10,74
2019-09,60,19~112,良,17,37,0.6,5,13,106
2019-10,61,25~86,良,25,47,0.645,6,16,105
2019-11,51,28~87,良,24,47,0.607,6,20,85
2019-12,49,28~100,优,31,41,0.752,6,26,61
2020-01,49,20~99,优,31,38,0.748,7,18,65
2020-02,47,22~79,优,27,34,0.676,7,11,77
2020-03,50,29~99,良,27,35,0.765,5,20,72
2020-04,67,43~100,良,27,42,0.6,6,17,113
2020-05,55,30~92,良,22,40,0.777,6,16,99
2020-06,46,24~80,优,16,35,0.777,6,15,85
2020-07,64,20~109,良,19,41,0.842,6,15,109
2020-08,45,20~89,优,14,31,0.677,7,12,81
2020-09,63,28~124,良,18,32,0.747,6,13,112
2020-10,61,35~93,良,19,39,0.5,5,16,111
2020-11,49,22~106,优,23,42,0.617,5,22,82
2020-12,44,23~89,优,26,38,0.684,3,23,54
2021-01,53,38~82,良,31,55,0.742,4,24,64
2021-02,58,25~119,良,34,48,0.664,5,15,87
2021-03,51,30~79,良,29,43,0.655,4,19,87
2021-04,64,39~94,良,26,37,0.573,4,18,105
2021-05,56,24~110,良,19,40,0.706,4,17,99
2021-06,53,32~84,良,15,36,0.667,4,14,95
2021-07,51,21~104,良,12,32,0.539,6,10,92
2021-08,43,20~84,优,12,29,0.61,5,13,82
2021-09,50,19~79,优,13,27,0.527,5,9,93
2021-10,39,15~90,优,13,26,0.523,7,13,74
2021-11,41,26~76,优,19,34,0.663,6,19,68
2021-12,48,30~73,优,29,44,0.729,7,24,65
2022-01,47,29~124,优,28,37,0.655,7,22,69
2022-02,42,27~84,优,19,20,0.643,7,17,73
2022-03,50,29~88,良,23,37,0.745,7,21,90
2022-04,56,38~85,良,21,35,0.64,8,13,104
2022-05,46,28~92,优,15,25,0.665,8,15,87
2022-06,43,28~72,优,13,29,0.72,7,16,75
2022-07,63,16~118,良,17,38,0.719,6,14,111
2022-08,59,26~99,良,14,30,0.59,7,11,107
2022-09,72,35~108,良,16,33,0.58,8,11,124
2022-10,50,31~94,良,14,30,0.542,8,13,96
2022-11,35,22~56,优,15,24,0.723,6,18,63
2022-12,38,20~88,优,20,26,0.642,5,18,61
2023-01,49,18~163,优,31,43,0.706,6,16,67
2023-02,50,26~119,良,29,36,0.721,4,19,81
2023-03,58,34~90,良,26,39,0.677,3,19,98
2023-04,67,36~117,良,26,47,0.593,4,17,110
2023-05,59,34~105,良,20,36,0.565,6,11,107
2023-06,60,26~120,良,16,30,0.697,7,8,108
2023-07,47,15~107,优,11,24,0.655,8,7,85
2023-08,51,29~80,良,12,24,0.648,5,9,97
2023-09,44,15~78,优,12,22,0.64,5,10,84
2023-10,50,24~97,优,16,27,0.635,6,14,93
2023-11,45,29~84,优,20,36,0.653,7,17,83
2023-12,43,18~77,优,27,38,0.735,5,23,37
2024-01,59,22~119,良,40,45,0.745,5,22,79
2024-02,43,17~114,优,27,32,0.7,6,14,66
2024-03,60,28~94,良,32,45,0.697,7,22,90
2024-04,56,36~83,良,29,37,0.687,7,16,98
2024-05,59,25~117,良,18,28,0.558,7,13,105
2024-06,44,25~89,优,13,24,0.673,5,14,81
2024-07,56,20~110,良,12,27,0.797,6,11,101
2024-08,63,26~101,良,20,32,0.735,5,10,112
2024-09,39,16~86,优,13,22,0.447,6,10,74
2024-10,47,20~97,优,16,24,0.442,4,11,88
2024-11,44,20~92,优,17,25,0.437,3,14,82
2024-12,50,24~99,优,33,40,0.519,4,19,80
2025-01,57,40~99,良,35,47,0.474,4,12,98
2025-02,53,29~94,良,34,38,0.554,4,11,74
2025-03,60,23~135,良,28,35,0.548,5,17,103
2025-04,74,46~102,良,26,40,0.489,6,14,128
