month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,169,23~461,中度污染,135,190,1.657,49,73,55
2014-01,103,36~243,轻度污染,75,112,1.371,28,55,66
2014-02,67,26~119,良,48,62,1.157,19,40,69
2014-03,70,29~133,良,46,73,0.958,21,45,100
2014-04,70,41~134,良,42,65,1.017,19,44,111
2014-05,88,34~174,良,47,82,0.958,19,35,139
2014-06,63,38~132,良,32,51,0.933,15,29,104
2014-07,52,21~108,良,29,48,0.694,12,25,88
2014-08,53,25~92,良,29,45,0.79,19,29,92
2014-09,59,23~115,良,32,49,0.78,23,32,102
2014-10,71,46~131,良,39,70,0.765,25,40,117
2014-11,76,38~176,良,55,84,0.99,28,54,79
2014-12,100,51~145,良,73,123,1.1,36,66,52
2015-01,109,37~244,轻度污染,81,121,1.135,27,60,66
2015-02,85,32~172,良,60,88,0.925,14,42,84
2015-03,62,34~95,良,38,60,0.781,14,46,95
2015-04,80,43~135,良,42,72,0.77,15,45,127
2015-05,74,47~123,良,31,53,0.71,13,34,126
2015-06,64,36~137,良,30,47,0.797,11,33,112
2015-07,63,31~120,良,23,37,0.671,10,26,110
2015-08,66,25~122,良,27,42,0.755,12,25,113
2015-09,83,28~167,良,33,51,0.843,15,36,131
2015-10,77,42~140,良,43,75,0.877,18,47,121
2015-11,74,34~142,良,47,69,1.13,15,55,56
2015-12,108,57~234,轻度污染,79,120,1.252,21,63,50
2016-01,92,35~198,良,62,97,1.039,18,55,67
2016-02,71,37~125,良,47,75,0.814,14,35,97
2016-03,69,42~117,良,41,71,0.719,13,43,107
2016-04,76,49~146,良,37,62,0.78,13,43,118
2016-05,83,39~150,良,41,64,0.806,12,38,126
2016-06,63,36~117,良,26,39,0.697,10,30,111
2016-07,63,22~127,良,24,40,0.639,9,24,108
2016-08,65,22~133,良,20,35,0.613,11,21,109
2016-09,66,20~127,良,30,48,0.71,13,32,105
2016-10,56,30~100,良,28,49,0.752,12,37,83
2016-11,71,32~129,良,45,72,0.847,14,51,70
2016-12,91,40~147,良,61,93,1.052,16,61,61
2017-01,68,33~111,良,45,65,0.881,11,44,65
2017-02,71,35~142,良,48,68,0.821,12,41,87
2017-03,76,49~124,良,44,69,0.771,12,47,114
2017-04,88,48~136,良,42,72,0.833,11,43,137
2017-05,79,38~164,良,29,55,0.713,9,30,131
2017-06,65,38~138,良,29,44,0.85,8,33,109
2017-07,75,23~177,良,23,39,0.71,8,24,125
2017-08,74,21~149,良,24,38,0.742,6,21,126
2017-09,62,37~133,良,23,38,0.75,8,28,107
2017-10,56,34~90,良,24,45,0.752,10,29,98
2017-11,76,33~143,良,45,76,0.923,12,56,64
2017-12,104,46~269,轻度污染,68,108,1.129,16,65,32
2018-01,81,28~205,良,54,76,0.861,11,48,47
2018-02,70,33~195,良,47,71,0.789,10,32,78
2018-03,53,31~84,良,32,48,0.645,8,30,83
2018-04,74,34~163,良,34,65,0.66,9,33,114
2018-05,69,32~146,良,29,48,0.723,7,27,118
2018-06,61,32~123,良,22,34,0.643,7,24,108
2018-07,47,18~126,优,18,28,0.529,5,16,83
2018-08,46,19~100,优,14,24,0.558,5,15,85
2018-09,65,22~138,良,21,35,0.623,8,28,109
2018-10,66,44~113,良,30,52,0.7,9,41,104
2018-11,61,40~90,良,33,53,0.78,9,48,68
2018-12,71,32~143,良,41,64,0.897,10,51,43
2019-01,81,35~144,良,53,76,0.981,9,51,55
2019-02,60,33~152,良,36,49,0.875,6,32,69
2019-03,65,43~110,良,37,61,0.752,8,41,99
2019-04,68,33~120,良,25,44,0.69,7,35,113
2019-05,89,39~180,良,24,45,0.59,8,30,144
2019-06,67,33~151,良,19,28,0.587,6,25,111
2019-07,51,25~95,良,16,26,0.571,5,23,95
2019-08,66,16~152,良,19,30,0.606,7,22,108
2019-09,75,20~190,良,21,36,0.59,9,30,122
2019-10,66,17~130,良,27,53,0.655,9,38,105
2019-11,63,30~101,良,29,62,0.67,10,45,76
2019-12,72,30~122,良,39,61,0.848,10,53,59
2020-01,65,29~127,良,39,51,0.865,7,36,65
2020-02,49,22~77,优,24,36,0.607,7,18,89
2020-03,53,34~90,良,20,37,0.574,8,33,92
2020-04,81,48~123,良,28,53,0.617,9,36,134
2020-05,78,34~130,良,23,40,0.639,8,28,130
2020-06,54,29~93,良,16,25,0.563,6,27,96
2020-07,52,20~100,良,16,26,0.577,6,27,86
2020-08,47,20~105,优,14,24,0.481,7,17,88
2020-09,72,37~157,良,18,30,0.627,8,34,117
2020-10,59,42~100,良,17,34,0.539,9,34,106
2020-11,59,35~94,良,22,45,0.707,10,44,74
2020-12,70,37~124,良,37,63,0.871,11,53,53
2021-01,67,40~89,良,35,71,0.771,11,47,61
2021-02,50,32~77,良,25,44,0.646,8,28,83
2021-03,60,39~94,良,20,38,0.648,9,40,86
2021-04,62,38~93,良,21,43,0.603,9,37,101
2021-05,70,40~124,良,18,33,0.606,8,28,122
2021-06,58,24~131,良,14,22,0.58,7,26,101
2021-07,43,19~115,优,11,20,0.477,7,15,81
2021-08,47,20~90,优,12,21,0.516,7,21,87
2021-09,72,17~150,良,17,29,0.617,9,25,120
2021-10,52,32~122,良,15,30,0.577,9,31,88
2021-11,66,34~95,良,28,56,0.687,12,50,73
2021-12,69,32~100,良,36,66,0.813,13,54,69
2022-01,64,33~109,良,39,60,0.9,10,40,70
2022-02,53,35~103,良,29,42,0.604,8,26,89
2022-03,56,31~98,良,22,43,0.61,9,29,100
2022-04,70,28~119,良,22,41,0.597,9,25,119
2022-05,70,41~126,良,18,30,0.539,9,24,119
2022-06,57,20~145,良,14,25,0.54,7,17,100
2022-07,80,22~163,良,19,31,0.639,6,17,133
2022-08,75,32~151,良,16,26,0.571,6,13,128
2022-09,73,21~140,良,18,32,0.6,7,21,123
2022-10,50,27~80,良,16,33,0.5,8,24,89
2022-11,49,27~70,优,21,37,0.613,7,34,65
2022-12,63,33~128,良,35,61,0.71,9,40,55
2023-01,57,26~95,良,33,56,0.61,8,29,78
2023-02,48,33~95,优,23,41,0.611,6,30,75
2023-03,62,39~86,良,26,54,0.573,7,33,98
2023-04,71,35~133,良,26,62,0.563,6,27,110
2023-05,72,34~157,良,20,39,0.497,5,21,123
2023-06,69,28~169,良,18,28,0.623,5,19,118
2023-07,48,15~87,优,13,23,0.523,5,15,88
2023-08,59,22~132,良,14,26,0.613,5,17,103
2023-09,62,29~112,良,15,27,0.6,7,21,110
2023-10,68,38~148,良,19,38,0.597,8,29,120
2023-11,57,31~90,良,25,56,0.633,8,37,83
2023-12,69,34~138,良,43,74,0.829,8,48,37
2024-01,77,36~137,良,52,80,0.845,8,46,68
2024-02,53,24~134,良,31,43,0.693,6,20,75
2024-03,64,42~98,良,30,63,0.684,8,36,101
2024-04,63,37~112,良,19,41,0.643,8,29,107
2024-05,70,39~137,良,15,33,0.548,6,21,122
2024-06,66,24~146,良,14,26,0.593,6,21,112
2024-07,51,21~77,良,12,25,0.5,6,13,94
2024-08,85,27~152,良,17,29,0.629,7,14,140
2024-09,49,19~125,优,15,26,0.623,8,19,87
2024-10,53,35~126,良,16,33,0.671,8,27,96
2024-11,51,34~95,良,18,38,0.637,8,31,80
2024-12,68,35~124,良,43,72,0.758,8,46,65
2025-01,67,39~140,良,43,72,0.697,8,38,84
2025-02,57,37~110,良,36,55,0.618,7,25,87
2025-03,61,32~114,良,25,48,0.581,8,30,103
2025-04,91,67~127,良,30,60,0.578,9,31,149
