month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,60,60~60,良,26,70,0.6,12,11,60
2015-01,88,38~184,良,65,90,2.326,18,39,68
2015-02,74,30~148,良,54,78,2.025,14,20,61
2015-03,66,23~119,良,46,70,1.726,13,20,64
2015-04,66,38~100,良,48,70,1.163,16,20,46
2015-05,98,32~218,良,72,94,0.719,23,31,65
2015-06,53,28~91,良,35,51,0.653,17,28,70
2015-07,51,27~85,良,32,46,0.465,15,24,56
2015-08,55,27~80,良,36,57,0.49,14,23,38
2015-09,59,26~90,良,42,54,0.677,18,21,48
2015-10,80,39~140,良,57,79,0.677,23,32,77
2015-11,78,27~187,良,49,66,0.86,22,40,98
2015-12,122,52~273,轻度污染,92,125,1.148,24,48,52
2016-01,114,49~319,轻度污染,86,110,0.897,24,47,42
2016-02,103,46~228,轻度污染,77,104,0.848,20,40,25
2016-03,108,33~208,轻度污染,79,110,0.926,21,57,33
2016-04,61,29~99,良,39,58,0.627,18,40,39
2016-05,71,33~120,良,51,72,0.59,18,35,83
2016-06,59,35~96,良,34,46,0.647,22,32,82
2016-07,58,37~95,良,22,31,0.561,14,28,104
2016-08,64,36~104,良,26,45,0.6,20,25,114
2016-09,72,24~127,良,37,56,0.643,21,28,113
2016-10,60,32~112,良,42,57,0.745,16,29,58
2016-11,85,30~166,良,62,86,0.88,19,43,66
2016-12,126,42~217,轻度污染,94,120,1.071,22,57,69
2017-01,130,40~285,轻度污染,99,116,1.01,22,44,76
2017-02,109,51~187,轻度污染,82,96,0.918,20,39,97
2017-03,87,45~147,良,62,83,0.803,15,39,101
2017-04,77,47~113,良,50,80,0.833,14,37,119
2017-05,89,44~157,良,48,72,0.813,12,33,133
2017-06,61,32~123,良,28,52,0.69,14,26,104
2017-07,50,31~91,良,28,48,0.5,15,26,89
2017-08,48,26~90,优,28,43,0.561,13,23,85
2017-09,56,30~85,良,34,50,0.75,11,25,86
2017-10,61,21~109,良,41,62,0.71,13,28,89
2017-11,98,27~182,良,72,109,0.767,15,52,84
2017-12,126,40~248,轻度污染,94,133,0.9,17,60,37
2018-01,118,28~265,轻度污染,88,94,0.784,12,46,69
2018-02,103,32~193,轻度污染,74,96,0.682,15,37,85
2018-03,70,38~100,良,47,60,0.655,11,34,103
2018-04,76,22~114,良,41,76,0.66,11,29,122
2018-05,64,0~131,良,29,47,0.661,9,24,114
2018-06,80,35~170,良,27,45,0.6,9,21,133
2018-07,53,34~113,良,20,37,0.532,8,20,99
2018-08,63,22~150,良,20,39,0.558,9,16,111
2018-09,68,29~126,良,28,48,0.62,10,20,117
2018-10,81,53~145,良,50,65,0.635,10,31,118
2018-11,65,20~179,良,45,61,0.76,8,35,73
2018-12,87,22~202,良,62,70,0.813,10,35,51
2019-01,122,48~268,轻度污染,92,88,1.052,9,41,55
2019-02,92,30~303,良,69,76,0.918,9,22,61
2019-03,73,43~129,良,49,68,0.745,8,36,96
2019-04,66,38~130,良,38,57,0.673,8,29,100
2019-05,80,37~112,良,34,65,0.548,8,28,132
2019-06,78,37~129,良,28,45,0.59,8,27,129
2019-07,65,42~103,良,21,43,0.561,8,23,116
2019-08,84,20~135,良,25,45,0.581,9,18,138
2019-09,101,40~155,轻度污染,35,56,0.633,9,18,159
2019-10,76,40~120,良,41,69,0.687,9,27,116
2019-11,74,30~119,良,48,74,0.703,9,37,97
2019-12,88,45~163,良,64,67,0.768,9,45,70
2020-01,78,25~144,良,56,53,0.761,7,28,65
2020-02,58,27~118,良,39,43,0.572,7,18,88
2020-03,60,34~92,良,37,52,0.626,7,27,93
2020-04,76,41~114,良,33,56,0.59,8,31,128
2020-05,74,42~131,良,29,50,0.606,7,26,125
2020-06,55,30~90,良,15,26,0.5,8,21,101
2020-07,49,27~85,优,16,26,0.587,7,19,92
2020-08,61,28~97,良,19,33,0.497,7,20,110
2020-09,77,38~135,良,27,42,0.62,7,22,130
2020-10,66,33~109,良,30,51,0.632,7,21,111
2020-11,60,26~90,良,37,57,0.707,8,27,83
2020-12,105,39~220,轻度污染,78,87,0.968,11,42,60
2021-01,88,52~155,良,53,77,0.823,10,41,56
2021-02,65,28~138,良,45,53,0.75,10,20,74
2021-03,57,25~103,良,31,43,0.652,9,25,76
2021-04,59,28~124,良,27,42,0.58,7,23,98
2021-05,63,36~101,良,24,44,0.558,6,24,110
2021-06,77,27~126,良,21,40,0.627,7,19,129
2021-07,47,17~82,优,14,27,0.419,7,13,89
2021-08,59,31~109,良,18,35,0.581,5,12,106
2021-09,73,38~117,良,25,46,0.637,6,15,126
2021-10,57,23~100,良,26,44,0.684,6,22,100
2021-11,64,22~105,良,38,65,0.663,7,36,83
2021-12,88,32~208,良,64,78,0.765,9,40,72
2022-01,101,29~223,轻度污染,75,82,0.884,7,33,68
2022-02,67,29~148,良,47,67,0.689,6,25,77
2022-03,64,29~112,良,22,44,0.765,7,30,98
2022-04,69,33~106,良,26,48,0.61,7,25,121
2022-05,82,33~146,良,31,47,0.639,7,23,134
2022-06,62,27~146,良,15,26,0.54,5,18,109
2022-07,65,27~98,良,16,27,0.545,5,15,116
2022-08,68,35~126,良,18,30,0.597,7,15,120
2022-09,94,48~140,良,26,47,0.683,8,17,152
2022-10,64,20~128,良,27,47,0.639,8,21,109
2022-11,53,20~101,良,31,49,0.793,7,27,76
2022-12,91,36~218,良,63,97,0.777,9,32,58
2023-01,87,35~149,良,63,93,0.79,9,29,78
2023-02,72,29~123,良,50,71,0.75,8,28,68
2023-03,75,32~115,良,41,83,0.748,10,33,100
2023-04,85,33~488,良,33,86,0.603,10,24,110
2023-05,69,34~109,良,28,48,0.584,9,20,116
2023-06,82,32~153,良,22,34,0.62,8,18,133
2023-07,47,24~84,优,13,21,0.516,6,16,90
2023-08,83,34~136,良,20,31,0.719,6,14,138
2023-09,64,31~112,良,22,33,0.727,6,15,114
2023-10,75,33~107,良,35,54,0.742,8,34,126
2023-11,69,31~109,良,39,71,0.68,8,40,80
2023-12,85,23~282,良,59,85,0.855,8,39,39
2024-01,91,30~201,良,65,92,0.865,8,41,64
2024-02,66,26~163,良,46,60,0.683,7,17,78
2024-03,71,34~112,良,42,71,0.694,8,30,100
2024-04,67,32~117,良,27,46,0.69,7,21,116
2024-05,88,29~157,良,28,48,0.594,8,22,143
2024-06,70,25~155,良,17,26,0.553,7,17,119
2024-07,46,19~109,优,12,21,0.471,7,18,87
2024-08,74,38~102,良,20,28,0.603,8,16,128
2024-09,75,27~112,良,23,34,0.65,9,13,128
2024-10,59,33~115,良,26,40,0.59,9,20,106
2024-11,60,30~108,良,31,51,0.6,9,29,89
2024-12,84,44~142,良,62,89,0.687,9,39,69
2025-01,98,38~222,良,70,102,0.79,10,36,86
2025-02,73,41~109,良,51,71,0.714,8,25,77
2025-03,67,34~111,良,35,58,0.542,7,27,102
2025-04,87,63~116,良,38,75,0.611,9,38,144
