month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,104,104~104,轻度污染,66,157,2.1,54,41,66
2015-01,147,59~273,轻度污染,112,149,2.339,54,32,51
2015-02,100,46~153,轻度污染,74,111,1.496,30,24,83
2015-03,78,35~160,良,54,88,1.429,20,21,92
2015-04,66,39~126,良,31,64,1.18,19,14,111
2015-05,75,43~128,良,45,70,1.139,21,14,113
2015-06,57,33~91,良,30,48,0.823,14,11,98
2015-07,69,44~105,良,31,48,0.655,12,8,121
2015-08,59,34~87,良,26,40,0.645,15,8,106
2015-09,62,32~98,良,38,54,0.793,17,11,96
2015-10,66,32~133,良,44,68,0.919,20,18,82
2015-11,56,26~99,良,37,54,1.243,28,21,40
2015-12,130,57~232,轻度污染,98,139,1.613,36,32,46
2016-01,135,47~236,轻度污染,101,129,2.052,40,32,57
2016-02,107,47~356,轻度污染,77,115,1.9,26,24,77
2016-03,89,54~186,良,61,108,1.229,27,26,104
2016-04,63,39~89,良,36,58,1.377,17,17,103
2016-05,74,44~165,良,38,63,1.019,17,13,121
2016-06,66,28~108,良,24,38,0.663,10,8,117
2016-07,49,26~84,优,22,37,0.568,8,9,90
2016-08,59,31~98,良,30,42,0.516,16,11,106
2016-09,63,32~97,良,35,51,0.603,24,20,103
2016-10,43,25~74,优,25,41,0.706,22,20,59
2016-11,65,24~112,良,45,71,1.12,17,27,43
2016-12,102,66~147,轻度污染,76,109,1.565,16,37,40
2017-01,116,51~317,轻度污染,79,106,1.806,26,30,54
2017-02,81,53~139,良,60,83,1.371,20,28,70
2017-03,62,43~89,良,36,59,1.032,17,24,104
2017-04,65,37~95,良,25,49,0.85,11,19,112
2017-05,73,36~128,良,32,54,0.674,13,18,117
2017-06,71,28~109,良,25,43,0.757,11,14,120
2017-07,67,33~123,良,19,34,0.774,8,12,118
2017-08,62,27~88,良,21,39,0.897,10,14,114
2017-09,47,23~90,优,23,38,0.967,9,18,71
2017-10,43,20~77,优,24,37,0.848,8,19,51
2017-11,79,42~145,良,57,83,1.09,19,28,39
2017-12,108,65~195,轻度污染,81,126,1.339,26,46,20
2018-01,91,32~166,良,67,97,1.181,21,35,55
2018-02,89,0~274,良,64,96,1.046,16,26,74
2018-03,59,33~82,良,34,64,0.842,17,24,94
2018-04,59,31~102,良,25,60,0.55,14,17,101
2018-05,59,27~85,良,27,59,0.548,8,15,89
2018-06,61,35~90,良,22,44,0.58,7,15,104
2018-07,49,26~84,优,18,35,0.494,8,12,92
2018-08,61,31~94,良,22,38,0.632,7,11,111
2018-09,49,25~85,优,18,36,0.667,10,17,85
2018-10,54,40~79,良,30,56,0.684,13,25,72
2018-11,58,23~123,良,38,66,0.93,15,32,40
2018-12,86,0~163,良,63,88,1.055,21,38,36
2019-01,139,70~217,轻度污染,105,135,1.394,21,45,40
2019-02,93,55~360,良,70,90,1.025,19,24,70
2019-03,61,34~83,良,31,71,0.716,16,35,77
2019-04,55,24~89,良,26,57,0.693,15,24,95
2019-05,68,36~169,良,33,77,0.548,12,22,91
2019-06,55,29~97,良,22,45,0.513,12,18,99
2019-07,52,28~77,良,19,42,0.535,9,16,94
2019-08,54,28~85,良,20,40,0.545,10,13,99
2019-09,47,22~69,优,24,41,0.613,5,16,78
2019-10,39,23~59,优,20,37,0.639,5,20,45
2019-11,61,28~114,良,38,67,0.65,7,28,36
2019-12,83,45~135,良,61,86,0.887,9,35,31
2020-01,80,33~142,良,59,73,1.026,7,25,50
2020-02,58,27~94,良,39,54,0.659,5,13,68
2020-03,60,33~87,良,34,67,0.545,6,24,73
2020-04,56,32~99,良,27,53,0.5,9,21,93
2020-05,63,31~106,良,27,57,0.468,9,16,109
2020-06,51,24~100,良,18,40,0.593,7,14,89
2020-07,47,28~80,优,16,34,0.535,7,12,90
2020-08,43,26~71,优,13,30,0.439,7,9,83
2020-09,53,33~70,良,22,43,0.537,10,16,91
2020-10,47,18~95,优,26,51,0.652,10,20,50
2020-11,59,23~94,良,38,61,0.68,14,26,54
2020-12,85,45~178,良,62,81,0.877,14,32,41
2021-01,89,50~160,良,62,90,1.023,13,37,58
2021-02,68,24~169,良,48,65,0.861,9,19,75
2021-03,61,32~189,良,28,47,0.606,11,19,81
2021-04,48,22~94,优,19,34,0.503,11,15,85
2021-05,60,27~82,良,27,52,0.423,9,17,101
2021-06,54,25~101,良,17,33,0.423,8,12,93
2021-07,47,18~80,优,13,26,0.41,6,9,89
2021-08,41,18~85,优,14,26,0.532,9,9,78
2021-09,38,18~75,优,12,25,0.54,8,11,73
2021-10,34,16~50,优,16,29,0.526,12,15,53
2021-11,58,27~103,良,39,61,0.647,12,28,39
2021-12,74,46~127,良,53,70,0.806,10,32,36
2022-01,83,38~165,良,61,48,0.965,15,27,54
2022-02,58,33~97,良,40,57,0.632,13,17,76
2022-03,63,28~124,良,36,76,0.619,14,24,85
2022-04,57,30~94,良,26,50,0.47,8,16,99
2022-05,61,39~100,良,24,43,0.439,7,12,106
2022-06,59,31~94,良,17,36,0.397,7,9,108
2022-07,56,34~84,良,14,27,0.419,8,8,105
2022-08,60,27~82,良,16,28,0.429,10,8,110
2022-09,53,24~94,良,23,40,0.497,11,13,91
2022-10,44,20~81,优,25,39,0.526,10,17,69
2022-11,55,26~107,良,36,55,0.66,10,22,41
2022-12,81,51~114,良,58,90,0.803,12,31,55
2023-01,97,56~202,良,68,105,0.852,8,26,67
2023-02,72,26~133,良,50,67,0.75,7,24,76
2023-03,59,43~80,良,29,62,0.561,6,20,94
2023-04,68,27~142,良,32,74,0.473,6,14,101
2023-05,52,23~91,良,23,40,0.474,6,13,85
2023-06,56,28~95,良,18,35,0.53,8,10,100
2023-07,59,31~93,良,14,30,0.506,7,8,106
2023-08,54,32~80,良,14,30,0.529,8,9,102
2023-09,46,20~77,优,15,25,0.597,10,12,86
2023-10,42,27~70,优,23,34,0.6,10,16,62
2023-11,53,30~85,良,33,55,0.663,13,23,44
2023-12,75,18~180,良,53,77,0.781,13,30,21
2024-01,73,23~120,良,53,72,0.855,15,28,56
2024-02,78,27~500,良,49,82,0.676,13,14,73
2024-03,60,37~82,良,34,60,0.642,9,20,89
2024-04,55,36~80,良,24,49,0.51,9,12,90
2024-05,62,33~93,良,23,42,0.461,9,9,112
2024-06,56,32~98,良,17,33,0.493,7,8,104
2024-07,40,22~70,优,13,28,0.526,6,8,77
2024-08,57,26~82,良,14,28,0.484,8,7,104
2024-09,61,27~117,良,18,33,0.583,9,9,111
2024-10,43,18~70,优,23,37,0.497,9,16,74
2024-11,44,21~67,优,27,41,0.587,8,22,51
2024-12,67,35~118,良,48,67,0.668,8,29,59
2025-01,84,26~195,良,60,84,0.835,7,28,63
2025-02,58,41~114,良,36,58,0.596,9,17,80
2025-03,57,36~151,良,24,52,0.465,10,17,89
2025-04,67,56~75,良,28,73,0.411,10,16,106
