month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
0000-00,87,87~87,良,64,100,1.4,23,55,25
2013-05,85,35~160,良,3,99,2.084,31,32,0
2013-06,120,51~392,轻度污染,3,145,1.407,40,41,0
2013-07,150,37~377,中度污染,3,107,1.913,29,39,0
2013-08,177,70~300,中度污染,0,101,2.145,57,38,223
2013-09,108,56~157,轻度污染,0,106,2.334,73,49,101
2013-10,145,59~407,轻度污染,4,186,3.106,100,70,176
2013-11,148,62~271,轻度污染,111,163,3.293,103,69,60
2013-12,254,92~500,重度污染,188,216,433.381,112,98,38
2014-01,209,54~357,重度污染,166,213,4.565,91,86,37
2014-02,182,83~369,中度污染,141,136,2.993,63,52,54
2014-03,154,85~412,中度污染,108,180,2.135,77,56,91
2014-04,122,73~199,轻度污染,88,130,2.28,47,51,90
2014-05,111,75~180,轻度污染,74,146,1.577,49,55,127
2014-06,121,67~245,轻度污染,84,103,1.63,35,34,136
2014-07,105,54~236,轻度污染,70,117,1.526,29,37,140
2014-08,89,50~147,良,57,101,1.871,39,40,125
2014-09,90,38~147,良,59,85,1.853,31,45,83
2014-10,112,54~212,轻度污染,80,118,1.926,51,46,71
2014-11,169,56~500,中度污染,125,182,2.383,67,68,31
2014-12,135,45~311,轻度污染,99,146,2.716,101,72,23
2015-01,197,60~454,中度污染,156,220,3.145,117,81,24
2015-02,183,59~316,中度污染,141,206,2.671,82,52,36
2015-03,125,61~224,轻度污染,83,153,1.597,51,49,43
2015-04,96,47~164,良,62,125,1.293,39,43,59
2015-05,102,45~152,轻度污染,69,127,1.39,35,36,106
2015-06,107,49~188,轻度污染,65,114,1.223,28,33,153
2015-07,94,56~147,良,62,101,1.471,15,33,130
2015-08,85,53~140,良,58,98,1.587,21,34,116
2015-09,89,40~153,良,63,112,1.837,34,47,80
2015-10,104,52~221,轻度污染,71,135,1.865,53,56,61
2015-11,122,43~302,轻度污染,91,137,2.583,48,57,37
2015-12,214,53~500,重度污染,176,295,5.1,107,83,35
2016-01,169,64~500,中度污染,124,219,4.029,104,70,35
2016-02,120,54~223,轻度污染,80,161,3.169,89,54,54
2016-03,150,64~299,中度污染,96,223,1.865,80,59,70
2016-04,119,58~211,轻度污染,78,165,1.56,48,47,113
2016-05,76,49~126,良,39,83,1.423,31,37,120
2016-06,96,65~185,良,46,95,1.537,26,35,147
2016-07,90,50~140,良,53,94,2.048,11,28,124
2016-08,70,51~105,良,38,77,1.71,23,32,108
2016-09,101,59~149,轻度污染,62,124,2.09,50,50,135
2016-10,98,55~240,良,67,128,1.9,40,51,60
2016-11,172,52~367,中度污染,133,219,2.473,52,67,40
2016-12,246,92~500,重度污染,215,279,3.474,70,78,33
2017-01,181,0~404,中度污染,148,202,3.348,68,73,27
2017-02,149,0~414,轻度污染,117,161,2.232,58,59,59
2017-03,100,0~224,轻度污染,71,106,1.452,35,50,80
2017-04,86,0~153,良,55,109,1.727,36,50,115
2017-05,81,0~204,良,24,63,1.555,28,40,203
2017-06,113,0~210,轻度污染,43,86,1.577,19,39,207
2017-07,100,43~195,良,51,92,1.448,9,29,149
2017-08,98,52~156,良,51,91,1.655,16,36,141
2017-09,90,0~138,良,52,119,1.577,28,51,131
2017-10,74,0~129,良,48,98,1.503,20,47,66
2017-11,83,0~243,良,59,104,1.813,28,61,55
2017-12,138,0~354,轻度污染,105,151,2.142,35,63,48
2018-01,164,55~410,中度污染,129,171,1.952,33,53,47
2018-02,135,0~346,轻度污染,100,145,1.682,30,38,77
2018-03,117,0~258,轻度污染,83,126,1.361,19,37,99
2018-04,70,0~161,良,37,92,1.313,21,40,113
2018-05,95,46~150,良,42,95,1.152,17,31,147
2018-06,131,55~177,轻度污染,39,86,1.183,15,32,193
2018-07,85,41~170,良,36,67,1.216,8,25,135
2018-08,95,28~191,良,37,72,1.358,14,26,149
2018-09,74,45~102,良,35,85,1.493,20,39,109
2018-10,96,56~148,良,65,120,1.461,22,52,100
2018-11,127,0~299,轻度污染,97,123,1.837,20,55,49
2018-12,132,0~303,轻度污染,100,150,1.916,28,58,37
