month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,94,94~94,良,70,135,0.5,151,28,76
2015-01,59,30~127,良,40,65,1.087,81,25,68
2015-02,51,31~69,良,22,43,1.175,64,14,89
2015-03,60,35~91,良,37,58,0.868,39,14,98
2015-04,71,36~107,良,40,68,0.757,46,15,119
2015-05,59,39~94,良,27,47,0.565,28,8,108
2015-06,44,30~75,优,18,34,0.437,19,6,84
2015-07,65,26~105,良,25,52,0.455,22,11,114
2015-08,56,25~110,良,26,47,0.406,29,13,96
2015-09,42,26~117,优,26,42,0.36,22,11,46
2015-10,61,26~223,良,38,72,0.5,25,15,64
2015-11,43,26~79,优,24,42,0.56,20,15,47
2015-12,51,21~123,良,33,45,0.716,42,22,50
2016-01,44,23~89,优,27,36,0.874,36,20,56
2016-02,61,29~118,良,38,52,0.731,45,16,79
2016-03,50,26~77,优,30,43,0.681,24,17,83
2016-04,46,26~67,优,24,36,0.637,14,14,85
2016-05,50,20~80,良,24,38,0.561,11,11,91
2016-06,42,21~85,优,15,23,0.463,11,10,81
2016-07,38,27~57,优,13,20,0.416,7,8,76
2016-08,51,30~91,良,23,32,0.465,17,13,96
2016-09,63,36~94,良,38,52,0.533,18,16,104
2016-10,45,22~79,优,30,41,0.535,17,15,69
2016-11,41,23~62,优,24,34,0.663,29,16,60
2016-12,69,34~132,良,49,63,0.942,50,24,67
2017-01,54,27~100,良,37,44,0.765,32,19,48
2017-02,50,24~101,良,34,45,0.65,33,16,71
2017-03,45,27~82,优,26,37,0.639,30,18,72
2017-04,61,31~96,良,25,42,0.597,17,14,110
2017-05,59,25~95,良,25,40,0.606,12,14,107
2017-06,44,21~75,优,17,25,0.62,11,11,85
2017-07,40,19~90,优,18,31,0.545,11,11,76
2017-08,43,23~90,优,18,30,0.606,10,10,81
2017-09,46,27~88,优,25,38,0.66,10,10,81
2017-10,49,19~112,优,32,45,0.681,14,13,68
2017-11,70,25~152,良,52,77,0.783,27,20,76
2017-12,84,27~180,良,56,85,0.81,46,26,51
2018-01,52,24~94,良,35,46,0.816,32,20,52
2018-02,67,28~113,良,48,66,0.796,30,16,80
2018-03,63,31~114,良,37,55,0.658,18,16,100
2018-04,61,29~92,良,30,55,0.667,11,12,106
2018-05,50,28~92,优,24,38,0.51,8,10,92
2018-06,42,21~90,优,16,24,0.483,8,11,80
2018-07,36,25~83,优,11,17,0.49,6,7,70
2018-08,46,24~88,优,17,25,0.568,12,11,88
2018-09,35,21~65,优,14,21,0.523,10,9,67
2018-10,45,17~90,优,28,39,0.558,16,14,67
2018-11,45,20~93,优,29,39,0.603,24,18,62
2018-12,42,22~77,优,28,35,0.713,28,19,41
2019-01,41,24~78,优,28,33,0.929,26,17,46
2019-02,36,20~78,优,23,27,0.818,18,11,54
2019-03,52,22~80,良,31,40,0.619,19,14,84
2019-04,59,24~100,良,27,39,0.533,10,12,108
2019-05,48,19~73,优,24,34,0.565,8,10,87
2019-06,43,26~88,优,14,20,0.42,7,8,82
2019-07,35,22~73,优,13,18,0.319,7,8,68
2019-08,53,25~90,良,19,27,0.426,8,11,98
2019-09,48,19~98,优,25,32,0.507,10,10,85
2019-10,35,17~69,优,19,25,0.558,10,11,66
2019-11,35,15~53,优,21,28,0.51,17,13,57
2019-12,47,20~94,优,32,39,0.581,32,19,64
2020-01,38,20~59,优,23,26,0.755,20,12,58
2020-02,46,23~89,优,30,33,0.469,18,8,76
2020-03,54,18~104,良,29,37,0.506,15,13,92
2020-04,56,25~85,良,29,39,0.527,15,14,93
2020-05,65,41~100,良,25,34,0.426,7,11,114
2020-06,41,30~69,优,15,19,0.42,4,8,79
2020-07,36,14~76,优,11,19,0.452,4,7,71
2020-08,38,20~89,优,11,17,0.426,6,7,73
2020-09,35,18~78,优,14,18,0.633,7,9,67
2020-10,46,20~98,优,27,34,0.665,12,12,69
2020-11,45,23~89,优,28,36,0.717,21,18,70
2020-12,44,23~103,优,30,34,0.816,25,18,49
2021-01,52,25~93,良,36,44,0.839,30,20,75
2021-02,51,28~98,良,34,39,0.711,17,12,73
2021-03,62,26~120,良,32,41,0.748,11,12,92
2021-04,46,20~101,优,23,32,0.64,7,10,80
2021-05,50,30~74,良,23,31,0.445,6,9,91
2021-06,49,28~96,优,17,21,0.35,6,7,90
2021-07,43,28~84,优,14,18,0.39,6,7,83
2021-08,45,21~99,优,14,19,0.365,7,6,82
2021-09,43,24~73,优,16,20,0.327,7,6,83
2021-10,39,22~85,优,20,23,0.535,11,8,69
2021-11,43,18~82,优,27,34,0.563,23,12,66
2021-12,58,23~123,良,41,48,0.735,28,16,65
2022-01,38,23~67,优,25,24,0.8,21,12,50
2022-02,42,18~85,优,28,29,0.739,21,9,60
2022-03,62,23~113,良,35,42,0.61,12,9,102
2022-04,57,22~82,良,23,29,0.57,12,8,105
2022-05,51,26~98,良,22,25,0.61,9,7,90
2022-06,43,29~72,优,16,22,0.457,8,6,83
2022-07,42,24~81,优,13,16,0.452,6,5,82
2022-08,38,29~73,优,12,15,0.394,7,4,75
2022-09,54,24~98,良,27,34,0.527,9,7,96
2022-10,48,16~85,优,25,33,0.477,11,9,85
2022-11,49,19~87,优,30,38,0.583,11,10,83
2022-12,51,16~85,良,36,46,0.587,22,16,64
2023-01,52,23~85,良,36,48,0.748,27,13,75
2023-02,50,22~97,优,31,38,0.789,19,13,75
2023-03,52,32~79,良,29,38,0.665,15,12,91
2023-04,69,24~104,良,30,43,0.61,8,8,120
2023-05,58,28~92,良,27,36,0.474,7,7,103
2023-06,55,31~80,良,17,23,0.46,7,6,102
2023-07,44,32~89,优,12,18,0.49,7,5,86
2023-08,47,25~90,优,11,15,0.51,8,6,90
2023-09,48,28~80,优,17,22,0.5,9,6,91
2023-10,39,24~62,优,20,26,0.523,9,8,76
2023-11,46,17~88,优,28,37,0.63,14,12,75
2023-12,49,15~78,优,33,43,0.584,20,14,41
2024-01,42,23~75,优,26,32,0.645,16,11,59
2024-02,47,18~130,优,29,36,0.641,17,9,73
2024-03,56,30~77,良,28,38,0.635,13,10,96
2024-04,63,30~97,良,28,38,0.567,8,8,111
2024-05,52,27~85,良,16,22,0.519,7,7,97
2024-06,43,26~75,优,12,17,0.59,6,6,83
2024-07,38,27~72,优,10,13,0.413,6,4,73
2024-08,48,21~86,优,14,22,0.513,8,5,91
2024-09,52,28~105,良,21,28,0.613,8,7,95
2024-10,48,33~70,优,22,29,0.484,11,9,90
2024-11,44,19~67,优,26,33,0.5,13,10,78
2024-12,48,15~83,优,33,39,0.635,18,16,61
2025-01,59,30~87,良,40,49,0.716,22,16,87
2025-02,34,18~54,优,22,25,0.714,17,11,57
2025-03,55,24~106,良,28,37,0.565,14,13,97
2025-04,62,42~86,良,39,51,0.689,12,12,99
