month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,98,98~98,良,64,146,2.2,115,37,73
2015-01,95,47~150,良,70,116,1.552,72,28,60
2015-02,94,58~159,良,62,122,1.336,48,24,77
2015-03,95,54~193,良,51,139,1.123,31,24,95
2015-04,83,53~171,良,41,105,0.907,12,21,120
2015-05,97,55~422,良,44,115,0.626,10,18,128
2015-06,69,38~102,良,24,57,0.493,8,19,117
2015-07,67,46~88,良,18,38,0.49,6,17,119
2015-08,70,55~91,良,26,55,0.439,7,19,123
2015-09,49,39~59,优,23,42,0.43,5,19,92
2015-10,53,35~85,良,24,53,0.626,15,26,86
2015-11,67,37~112,良,43,80,1.167,33,32,63
2015-12,94,40~119,良,68,111,1.39,60,40,57
2016-01,68,34~109,良,45,75,1.345,56,34,63
2016-02,67,36~132,良,36,75,1.266,51,27,73
2016-03,72,51~114,良,29,88,0.939,36,45,100
2016-04,65,44~80,良,23,57,0.65,9,42,113
2016-05,83,42~170,良,31,89,0.532,6,22,125
2016-06,70,50~89,良,20,54,0.563,7,21,120
2016-07,67,48~97,良,23,60,0.503,7,19,115
2016-08,60,37~89,良,21,53,0.545,6,18,107
2016-09,56,43~79,良,25,48,0.6,8,31,102
2016-10,52,32~90,良,33,52,0.745,10,27,80
2016-11,107,0~387,轻度污染,69,146,1.16,47,39,62
2016-12,105,66~135,轻度污染,77,130,1.568,61,42,52
2017-01,109,43~500,轻度污染,58,96,1.548,58,35,65
2017-02,74,43~128,良,47,82,1.054,41,29,73
2017-03,65,45~121,良,41,66,0.852,30,30,83
2017-04,81,34~460,良,28,51,0.543,8,22,103
2017-05,113,66~445,轻度污染,28,47,0.458,7,25,139
2017-06,82,60~111,良,22,49,0.43,6,25,138
2017-07,76,48~100,良,17,41,0.335,5,22,132
2017-08,61,35~90,良,16,42,0.352,7,22,112
2017-09,58,43~79,良,22,60,0.437,7,29,99
2017-10,53,22~76,良,28,56,0.558,8,28,78
2017-11,76,54~95,良,51,101,0.963,37,43,73
2017-12,133,61~650,轻度污染,56,95,1.548,53,41,34
2018-01,81,0~137,良,57,91,1.194,41,30,66
2018-02,64,0~117,良,43,79,0.993,35,29,86
2018-03,33,0~71,优,19,37,0.713,22,30,101
2018-04,45,0~83,优,17,46,0.427,6,26,108
2018-05,46,0~80,优,14,37,0.329,5,19,116
2018-06,67,0~90,良,18,33,0.327,6,17,122
2018-07,51,0~83,良,21,36,0.3,4,15,101
2018-08,53,37~70,良,19,46,0.339,5,19,99
2018-09,48,31~63,优,17,45,0.357,5,20,89
2018-10,52,0~75,良,24,58,0.416,9,28,85
2018-11,59,0~105,良,38,72,0.737,24,33,70
