month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,73,73~73,良,53,91,1.8,71,52,90
2014-01,126,51~261,轻度污染,94,131,1.66,52,64,50
2014-02,77,23~248,良,57,74,1.382,32,36,65
2014-03,89,42~199,良,63,87,1.368,39,50,109
2014-04,86,44~154,良,53,72,1.48,29,41,118
2014-05,108,37~207,轻度污染,63,105,1.563,33,44,153
2014-06,103,35~196,轻度污染,55,74,1.103,21,29,152
2014-07,109,39~187,轻度污染,47,63,1.094,17,24,161
2014-08,86,31~182,良,44,59,1.368,26,30,129
2014-09,86,37~201,良,39,53,1.213,26,27,136
2014-10,88,42~137,良,52,79,1.555,28,42,125
2014-11,94,45~209,良,69,93,1.587,29,52,70
2014-12,85,42~138,良,61,97,1.471,41,55,38
2015-01,108,36~212,轻度污染,80,112,1.513,34,54,42
2015-02,81,27~188,良,58,81,1.311,19,29,68
2015-03,70,31~158,良,44,66,0.961,19,31,89
2015-04,81,42~161,良,43,71,0.927,23,35,120
2015-05,98,37~162,良,39,65,0.939,16,26,156
2015-06,95,32~172,良,37,55,0.96,12,22,148
2015-07,101,31~201,轻度污染,34,51,1.013,10,21,153
2015-08,107,26~189,轻度污染,34,52,0.906,15,25,163
2015-09,110,55~203,轻度污染,34,51,0.96,20,31,169
2015-10,99,54~160,良,47,69,1.145,28,30,155
2015-11,75,38~153,良,50,65,1.173,25,43,91
2015-12,120,58~250,轻度污染,89,113,1.294,30,56,66
2016-01,101,52~200,轻度污染,74,90,1.242,28,50,75
2016-02,96,45~168,良,69,85,1.328,18,34,115
2016-03,101,45~180,轻度污染,69,91,1.203,25,45,118
2016-04,102,43~190,轻度污染,39,66,1.313,18,32,156
2016-05,105,47~181,轻度污染,39,68,1.061,13,26,159
2016-06,101,33~177,轻度污染,30,46,0.723,9,24,157
2016-07,98,0~207,良,22,42,0.397,16,20,147
2016-08,131,54~207,轻度污染,23,40,0.568,17,16,193
2016-09,116,24~207,轻度污染,30,47,0.83,13,22,172
2016-10,59,29~140,良,25,41,0.839,18,30,88
2016-11,76,35~162,良,47,67,1.08,22,51,74
2016-12,95,35~162,良,69,87,1.387,22,51,70
2017-01,86,40~208,良,62,73,1.229,18,37,70
2017-02,89,43~160,良,64,68,1.054,18,39,101
2017-03,75,43~124,良,50,65,0.687,16,39,111
2017-04,99,40~177,良,43,70,0.933,17,42,145
2017-05,119,33~203,轻度污染,36,64,0.952,14,32,176
2017-06,96,34~181,良,34,57,0.993,14,27,148
2017-07,81,34~184,良,25,47,0.845,15,27,130
2017-08,83,35~201,良,23,43,0.871,11,26,136
2017-09,75,30~167,良,31,50,0.92,12,34,114
2017-10,66,35~144,良,32,54,1.071,15,40,96
2017-11,77,34~139,良,51,77,1.067,18,52,67
2017-12,117,36~318,轻度污染,85,104,1.39,23,68,29
2018-01,120,43~266,轻度污染,89,97,1.513,20,56,52
2018-02,93,40~224,良,67,92,1.007,18,37,79
2018-03,80,42~158,良,53,81,1.194,18,46,102
2018-04,102,45~207,轻度污染,47,101,1.37,18,47,146
2018-05,106,37~181,轻度污染,43,81,1.081,13,31,149
2018-06,110,38~203,轻度污染,29,55,0.893,10,21,167
2018-07,100,33~177,轻度污染,22,44,0.787,10,19,155
2018-08,99,33~191,良,21,39,0.794,9,19,154
2018-09,88,31~191,良,28,47,1.183,14,36,139
2018-10,72,40~161,良,34,48,1.203,18,40,120
2018-11,74,38~208,良,49,63,1.123,18,46,66
2018-12,73,30~139,良,48,70,1.258,19,50,36
2019-01,89,30~155,良,64,83,1.535,16,50,41
2019-02,75,35~138,良,53,69,1.922,10,26,65
2019-03,66,38~94,良,43,71,0.871,13,33,86
2019-04,67,40~133,良,36,61,0.613,13,31,105
2019-05,63,28~95,良,31,51,0.629,13,28,107
2019-06,81,34~160,良,27,47,0.847,10,19,133
2019-07,65,30~115,良,22,40,1.129,9,24,114
2019-08,91,25~154,良,23,38,1.184,8,21,145
2019-09,87,39~191,良,26,44,1.42,12,23,138
2019-10,70,32~137,良,39,67,0.935,13,29,102
2019-11,65,33~114,良,38,70,0.897,13,37,82
2019-12,80,40~149,良,55,65,1.084,13,54,53
2020-01,81,30~198,良,56,74,0.942,6,37,51
2020-02,51,21~89,良,32,45,0.7,5,19,83
2020-03,57,33~89,良,27,48,0.79,9,34,94
2020-04,76,44~140,良,32,58,0.753,11,42,127
2020-05,96,38~171,良,31,50,0.932,10,28,150
2020-06,75,27~171,良,18,26,0.8,9,22,125
2020-07,70,28~189,良,18,27,0.858,9,22,117
2020-08,85,36~179,良,19,31,0.71,11,21,138
2020-09,86,32~183,良,26,41,0.82,11,35,141
2020-10,65,42~100,良,23,43,0.784,12,40,106
2020-11,55,28~94,良,27,53,0.893,10,40,66
2020-12,80,33~165,良,54,95,0.971,14,54,48
2021-01,75,55~118,良,46,93,1.084,14,43,55
2021-02,52,27~95,良,29,51,0.854,9,18,83
2021-03,70,40~124,良,34,76,0.829,11,35,90
2021-04,71,30~137,良,28,53,0.857,11,30,113
2021-05,85,36~155,良,27,48,0.929,12,26,137
2021-06,93,32~183,良,22,31,0.677,10,21,147
2021-07,59,0~124,良,15,25,0.442,10,15,103
2021-08,78,37~165,良,22,36,0.69,9,21,130
2021-09,84,28~144,良,24,39,0.84,10,28,137
2021-10,66,33~157,良,24,43,0.942,10,36,104
2021-11,64,30~99,良,30,60,0.77,13,46,80
2021-12,49,0~130,优,29,55,0.687,8,35,40
2022-01,0,0~0,无,0,0,0,0,0,0
2022-02,0,0~0,无,0,0,0,0,0,0
2022-03,0,0~0,无,0,0,0,0,0,0
2022-04,0,0~0,无,0,0,0,0,0,0
