month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,155,155~155,中度污染,118,167,3.2,40,44,42
2014-01,182,65~324,中度污染,143,209,3.239,44,46,50
2014-02,136,33~255,轻度污染,103,138,2.193,36,33,57
2014-03,100,38~204,良,73,112,0.926,34,37,87
2014-04,84,40~132,良,59,93,0.833,29,30,98
2014-05,100,51~193,轻度污染,73,124,0.855,30,31,110
2014-06,66,35~126,良,41,63,0.933,24,25,95
2014-07,76,31~131,良,35,58,0.794,22,20,126
2014-08,63,38~106,良,32,51,0.768,17,19,108
2014-09,58,27~86,良,40,59,0.967,21,22,76
2014-10,77,29~152,良,56,82,0.99,23,29,64
2014-11,68,24~132,良,49,73,1.017,23,31,40
2014-12,111,46~258,轻度污染,82,117,1.097,29,40,36
2015-01,157,33~254,中度污染,122,163,1.303,30,43,40
2015-02,123,24~214,轻度污染,93,126,1.2,24,34,50
2015-03,86,41~146,良,64,93,0.997,26,31,77
2015-04,68,30~132,良,47,74,0.87,24,29,89
2015-05,70,36~123,良,47,74,0.742,23,25,95
2015-06,62,43~98,良,39,64,0.837,19,23,101
2015-07,68,34~99,良,35,61,0.797,23,22,112
2015-08,61,29~94,良,32,52,0.671,20,22,104
2015-09,45,29~84,优,29,42,0.783,20,23,65
2015-10,80,27~169,良,58,78,0.819,25,30,70
2015-11,77,36~109,良,56,72,1.033,25,31,37
2015-12,101,40~216,轻度污染,75,94,0.91,28,36,31
2016-01,120,28~243,轻度污染,91,110,1.029,19,35,38
2016-02,112,54~247,轻度污染,83,108,1.01,19,32,58
2016-03,97,32~165,良,72,102,0.948,23,37,74
2016-04,62,36~115,良,43,67,0.813,20,29,76
2016-05,71,25~162,良,47,75,0.777,19,25,103
2016-06,61,35~107,良,28,45,0.707,15,22,108
2016-07,64,35~120,良,28,44,0.671,13,20,112
2016-08,72,36~124,良,35,53,0.687,14,21,121
2016-09,58,37~106,良,36,51,0.797,17,29,89
2016-10,65,29~127,良,46,69,1.019,16,31,71
2016-11,94,24~159,良,69,100,1.23,24,38,57
2016-12,118,51~188,轻度污染,89,123,1.348,26,44,38
2017-01,150,44~321,中度污染,117,135,1.484,24,42,49
2017-02,105,41~205,轻度污染,81,102,1.393,20,40,60
2017-03,81,35~162,良,59,85,0.958,20,41,67
2017-04,71,30~109,良,49,73,0.98,19,32,101
2017-05,86,45~140,良,54,84,1.013,19,31,124
2017-06,62,31~100,良,33,54,1.163,15,27,104
2017-07,89,36~162,良,30,51,1.139,14,24,144
2017-08,73,27~117,良,27,42,1.213,8,21,125
2017-09,59,27~96,良,35,56,1.117,14,28,85
2017-10,48,25~114,优,30,47,1.19,15,30,52
2017-11,95,37~172,良,70,99,1.43,22,39,67
2017-12,127,62~247,轻度污染,97,134,1.494,23,50,30
2018-01,107,33~201,轻度污染,80,107,1.287,19,45,42
2018-02,104,49~190,轻度污染,77,113,0.957,19,36,71
2018-03,79,39~119,良,55,85,0.848,20,41,103
2018-04,85,34~143,良,44,81,0.807,19,36,133
2018-05,76,0~173,良,35,57,0.81,17,32,126
2018-06,60,33~140,良,29,42,0.727,11,27,103
2018-07,62,30~104,良,24,37,0.729,8,21,109
2018-08,68,29~102,良,28,42,0.735,10,22,119
2018-09,45,27~84,优,25,37,0.753,10,25,74
2018-10,59,33~132,良,40,51,0.819,13,33,48
2018-11,83,30~139,良,60,73,0.79,15,36,51
2018-12,82,0~199,良,60,74,0.926,13,37,31
2019-01,128,67~246,轻度污染,97,116,1.132,16,42,49
2019-02,93,32~150,良,69,79,0.918,12,29,57
2019-03,82,40~198,良,60,79,0.774,15,38,87
2019-04,87,46~150,良,49,69,0.71,15,33,123
2019-05,63,32~108,良,36,53,0.677,9,26,100
2019-06,63,28~171,良,25,40,0.713,7,25,108
2019-07,58,28~119,良,21,32,0.645,5,23,105
2019-08,81,30~156,良,27,42,0.703,7,23,133
2019-09,52,28~105,良,27,40,0.777,7,26,90
2019-10,47,25~95,优,29,43,0.755,8,28,63
2019-11,54,25~99,良,36,53,0.553,5,25,31
2019-12,102,38~200,轻度污染,76,91,0.835,7,37,36
2020-01,95,50~192,良,70,82,1.035,6,30,45
2020-02,86,36~153,良,61,75,0.741,7,19,69
2020-03,67,24~112,良,38,64,0.661,8,28,98
2020-04,68,24~121,良,34,55,0.677,9,31,105
2020-05,81,33~117,良,29,56,0.603,8,28,130
2020-06,71,32~117,良,23,42,0.6,7,25,118
2020-07,58,23~110,良,17,33,0.61,5,19,104
2020-08,63,28~138,良,19,35,0.61,5,19,111
2020-09,44,23~90,优,21,37,0.65,6,22,76
2020-10,51,21~109,良,33,56,0.7,6,28,44
2020-11,92,24~198,良,67,100,0.793,10,42,62
2020-12,88,30~225,良,65,81,0.797,9,38,24
2021-01,106,33~238,轻度污染,79,98,0.826,10,45,39
2021-02,109,24~206,轻度污染,81,97,0.793,8,32,77
2021-03,82,30~127,良,54,73,0.703,9,35,85
2021-04,57,27~115,良,34,50,0.64,7,29,76
2021-05,71,36~137,良,38,57,0.655,8,28,111
2021-06,67,28~130,良,31,48,0.677,8,27,115
2021-07,68,35~105,良,20,34,0.645,7,21,118
2021-08,62,32~135,良,19,32,0.697,6,20,108
2021-09,58,27~106,良,23,35,0.683,8,20,103
2021-10,48,23~124,优,29,40,0.674,9,26,61
2021-11,74,28~128,良,52,73,0.647,10,33,47
2021-12,91,29~186,良,67,87,0.739,11,36,46
2022-01,97,25~196,良,72,87,0.913,9,34,49
2022-02,67,23~103,良,48,58,0.693,9,27,60
2022-03,82,27~119,良,54,77,0.706,11,35,117
2022-04,64,25~125,良,31,50,0.59,9,28,109
2022-05,65,35~125,良,27,43,0.597,8,27,108
2022-06,63,33~117,良,29,48,0.633,7,27,103
2022-07,94,44~130,良,25,44,0.548,8,22,151
2022-08,88,35~118,良,21,37,0.548,9,20,145
2022-09,55,29~94,良,28,39,0.55,9,18,96
2022-10,69,25~221,良,46,66,0.658,10,31,81
2022-11,79,26~145,良,57,76,0.677,10,30,72
2022-12,88,25~175,良,65,84,0.629,9,32,38
2023-01,112,67~192,轻度污染,82,111,0.694,9,31,61
2023-02,111,32~209,轻度污染,83,105,0.868,9,38,62
2023-03,68,34~139,良,46,67,0.642,11,33,91
2023-04,77,23~137,良,35,62,0.567,9,27,125
2023-05,75,24~142,良,37,59,0.535,7,24,126
2023-06,68,30~141,良,23,37,0.51,7,22,118
2023-07,78,36~138,良,21,36,0.6,8,19,131
2023-08,69,34~108,良,21,35,0.629,8,17,121
2023-09,72,23~130,良,29,44,0.613,9,22,117
2023-10,50,27~112,良,31,46,0.594,8,25,74
2023-11,75,24~156,良,53,74,0.653,9,29,75
2023-12,102,32~218,轻度污染,75,99,0.7,9,31,37
2024-01,107,23~222,轻度污染,80,97,0.848,8,28,58
2024-02,78,25~183,良,56,76,0.721,9,22,70
2024-03,80,48~126,良,48,74,0.645,9,28,106
2024-04,68,31~112,良,30,46,0.52,9,19,114
2024-05,77,38~144,良,27,41,0.5,8,21,127
2024-06,56,32~108,良,21,33,0.543,8,20,104
2024-07,56,38~90,良,18,29,0.51,7,14,104
2024-08,107,43~149,轻度污染,29,49,0.623,9,16,166
2024-09,91,36~132,良,31,43,0.617,8,17,146
2024-10,49,29~90,优,28,40,0.587,8,23,80
2024-11,50,24~78,良,34,45,0.623,9,25,53
2024-12,85,30~155,良,63,77,0.774,9,29,59
2025-01,102,33~199,轻度污染,76,94,0.829,9,29,69
2025-02,53,25~103,良,37,49,0.65,8,24,63
2025-03,62,28~140,良,35,57,0.59,10,28,84
2025-04,92,43~165,良,44,105,0.606,10,27,126
