month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,138,138~138,轻度污染,105,152,2.5,81,51,43
2014-01,264,130~416,重度污染,216,273,2.11,76,39,42
2014-02,174,39~299,中度污染,136,163,1.943,73,24,50
2014-03,144,77~258,轻度污染,109,168,1.432,64,38,63
2014-04,105,45~169,轻度污染,78,124,1.047,58,46,84
2014-05,94,38~193,良,65,117,0.8,41,39,82
2014-06,98,24~156,良,71,112,0.997,41,39,107
2014-07,75,49~123,良,50,93,0.848,40,27,79
2014-08,74,26~139,良,52,84,0.877,31,26,72
2014-09,78,33~253,良,55,89,0.93,41,29,54
2014-10,117,52~204,轻度污染,87,140,1.019,37,35,53
2014-11,105,36~229,轻度污染,77,111,1.04,32,39,27
2014-12,149,68~246,轻度污染,114,159,1.177,41,43,28
2015-01,220,70~368,重度污染,177,236,1.658,50,47,31
2015-02,156,49~262,中度污染,119,156,1.189,36,33,45
2015-03,123,63~219,轻度污染,91,134,1.026,32,32,56
2015-04,83,46~159,良,57,102,1.027,24,34,74
2015-05,77,41~170,良,52,88,0.929,12,33,90
2015-06,66,33~105,良,43,75,0.913,10,32,75
2015-07,62,21~95,良,36,68,0.742,10,26,89
2015-08,65,40~112,良,37,70,0.887,11,26,107
2015-09,71,37~108,良,49,78,1.05,11,33,97
2015-10,95,51~188,良,68,116,0.855,15,42,99
2015-11,69,33~118,良,48,74,1.11,15,37,35
2015-12,89,35~173,良,66,95,1.184,19,40,38
2016-01,154,85~230,中度污染,116,159,1.439,26,40,45
2016-02,115,46~170,轻度污染,85,130,0.99,15,34,78
2016-03,113,35~202,轻度污染,82,136,0.926,15,43,88
2016-04,76,42~114,良,51,94,0.833,12,39,89
2016-05,71,42~129,良,44,88,0.816,11,32,90
2016-06,58,35~88,良,30,59,0.763,8,30,89
2016-07,51,30~65,良,24,52,0.713,8,25,85
2016-08,66,33~108,良,30,56,0.719,10,27,112
2016-09,84,37~144,良,52,92,0.863,14,37,119
2016-10,65,32~110,良,43,70,0.881,13,34,60
2016-11,98,29~256,良,73,102,1.143,16,38,34
2016-12,150,70~270,中度污染,115,147,1.574,14,45,37
2017-01,172,63~311,中度污染,135,160,1.787,16,42,45
2017-02,112,57~221,轻度污染,86,108,1.354,11,37,56
2017-03,93,34~175,良,66,98,1.19,11,40,66
2017-04,71,31~129,良,43,82,1.133,10,36,83
2017-05,83,41~141,良,34,75,1.061,10,32,127
2017-06,71,32~129,良,37,67,1.063,8,29,117
2017-07,61,32~117,良,23,60,0.942,8,23,97
2017-08,61,36~94,良,26,53,1.048,10,23,109
2017-09,62,27~105,良,32,57,1.147,12,29,87
2017-10,54,25~106,良,35,54,1.158,12,30,67
2017-11,93,62~152,良,69,102,1.203,14,44,62
2017-12,152,93~252,中度污染,112,145,1.477,15,57,30
2018-01,143,67~243,轻度污染,109,118,1.342,12,40,44
2018-02,111,0~205,轻度污染,83,102,1.214,13,35,66
2018-03,73,33~119,良,53,71,1.077,11,31,70
2018-04,67,0~97,良,38,76,0.977,12,31,88
2018-05,60,30~89,良,32,62,0.858,8,29,87
2018-06,64,35~101,良,29,51,0.853,8,26,111
2018-07,57,24~86,良,25,43,0.803,7,21,97
2018-08,65,33~98,良,24,45,0.894,7,22,116
2018-09,51,28~93,良,22,44,0.91,7,27,85
2018-10,61,38~99,良,32,60,0.835,10,37,91
2018-11,75,30~222,良,53,74,1.027,11,38,51
2018-12,118,0~282,轻度污染,90,104,1.103,12,39,33
2019-01,190,117~334,中度污染,148,171,1.494,10,43,35
2019-02,121,55~203,轻度污染,91,103,1.075,8,27,55
2019-03,72,37~115,良,50,75,0.855,8,34,80
2019-04,65,39~118,良,40,62,0.693,8,29,95
2019-05,75,41~109,良,33,71,0.606,7,28,104
2019-06,74,30~119,良,27,51,0.683,5,25,122
2019-07,73,30~146,良,19,48,0.581,5,21,124
2019-08,84,30~131,良,22,44,0.655,5,18,139
2019-09,89,30~134,良,30,54,0.69,6,22,143
2019-10,55,27~124,良,27,46,0.642,6,25,85
2019-11,74,26~119,良,49,78,0.697,8,36,65
2019-12,122,50~208,轻度污染,91,104,1.003,9,41,45
2020-01,108,37~211,轻度污染,81,80,1.11,8,29,52
2020-02,77,26~143,良,55,58,0.821,8,13,75
2020-03,69,25~115,良,45,65,0.777,9,19,86
2020-04,68,33~106,良,33,54,0.657,7,26,108
2020-05,67,30~115,良,29,55,0.719,6,24,111
