month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,124,124~124,轻度污染,94,176,0.8,66,42,93
2015-01,79,22~141,良,58,88,1.335,52,42,48
2015-02,60,19~112,良,43,59,1.118,28,26,54
2015-03,42,27~59,优,29,39,0.977,23,24,50
2015-04,58,29~117,良,39,56,0.987,25,21,81
2015-05,68,34~127,良,47,77,0.897,21,14,85
2015-06,48,35~70,优,33,44,0.747,10,11,70
2015-07,48,34~77,优,33,45,0.813,10,17,71
2015-08,54,36~77,良,35,50,0.952,13,16,86
2015-09,57,40~74,良,39,59,0.88,19,17,88
2015-10,64,36~98,良,44,70,0.961,26,24,88
2015-11,58,38~87,良,41,59,1.187,29,31,33
2015-12,70,38~108,良,50,74,1.065,31,35,36
2016-01,90,54~185,良,66,96,1.206,27,37,36
2016-02,84,33~254,良,62,93,0.962,22,25,76
2016-03,89,29~160,良,66,100,0.932,31,30,84
2016-04,70,48~127,良,50,75,0.927,19,21,77
2016-05,63,44~103,良,42,68,1.032,28,23,83
2016-06,62,36~103,良,31,56,0.907,34,16,106
2016-07,53,31~88,良,29,49,0.884,23,21,85
2016-08,62,36~123,良,35,62,0.871,22,20,96
2016-09,84,25~140,良,53,89,0.94,34,21,123
2016-10,68,33~100,良,46,77,1.003,34,23,69
2016-11,74,34~132,良,54,80,0.94,25,31,43
2016-12,100,40~166,良,75,111,1.045,34,38,66
2017-01,117,64~275,轻度污染,73,101,1.206,29,31,68
2017-02,92,42~210,良,68,97,1.068,23,29,81
2017-03,66,32~143,良,45,70,1.09,20,30,60
2017-04,70,30~112,良,45,69,1,23,24,91
2017-05,95,35~148,良,50,76,1.077,24,20,131
2017-06,54,30~110,良,35,50,0.837,15,19,82
2017-07,50,25~87,优,30,47,0.632,11,17,86
2017-08,47,28~69,优,30,48,0.7,13,17,76
2017-09,72,39~102,良,49,74,0.903,18,23,93
2017-10,65,27~104,良,46,69,0.8,21,29,80
2017-11,83,32~135,良,61,90,0.99,30,39,66
2017-12,97,39~163,良,73,108,1.226,33,42,38
2018-01,93,33~258,良,70,98,1.165,29,35,37
2018-02,84,35~256,良,62,91,1,19,24,70
2018-03,55,0~102,良,38,56,0.919,18,24,75
2018-04,67,29~106,良,42,77,0.797,18,21,86
2018-05,55,33~78,良,35,56,0.81,16,16,86
2018-06,53,23~120,良,21,40,0.743,11,13,91
2018-07,46,22~73,优,20,41,0.645,11,13,79
2018-08,55,21~95,良,20,40,0.613,11,13,101
2018-09,65,24~119,良,27,53,0.84,15,18,111
2018-10,65,32~110,良,32,57,0.868,15,24,99
2018-11,54,29~80,良,35,58,1.11,20,31,54
2018-12,59,25~100,良,39,60,1.229,18,33,34
2019-01,76,44~150,良,53,74,1.574,16,37,45
2019-02,49,20~98,优,31,44,1.354,11,22,40
2019-03,59,35~84,良,37,58,0.813,13,29,79
2019-04,58,34~88,良,32,50,0.867,14,23,88
2019-05,63,32~110,良,34,58,0.887,15,20,102
2019-06,59,22~120,良,28,45,0.763,12,14,104
