month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,195,73~472,中度污染,162,219,2.541,68,61,43
2014-01,173,58~491,中度污染,137,190,2.7,79,56,53
2014-02,236,86~382,重度污染,190,236,3.311,58,43,63
2014-03,115,61~199,轻度污染,70,158,2.739,34,44,88
2014-04,94,51~170,良,61,132,1.51,16,36,74
2014-05,90,57~239,良,50,126,1.59,13,29,91
2014-06,64,46~111,良,37,72,1.51,10,24,87
2014-07,81,38~129,良,32,68,1.197,11,25,132
2014-08,64,34~111,良,41,72,1.165,9,27,88
2014-09,55,23~95,良,33,63,1.363,5,30,60
2014-10,101,28~250,轻度污染,67,124,1.542,8,39,53
2014-11,98,49~201,良,68,119,1.553,17,34,35
2014-12,82,56~153,良,54,103,1.687,25,27,28
2015-01,112,55~250,轻度污染,81,130,2.232,29,42,33
2015-02,95,56~185,良,64,114,2.475,26,33,48
2015-03,92,55~169,良,62,113,1.665,17,37,69
2015-04,71,38~140,良,39,89,1.047,10,34,84
2015-05,68,47~102,良,36,79,1.116,12,29,100
2015-06,65,30~95,良,32,66,0.977,6,27,99
2015-07,75,49~125,良,37,78,0.929,5,24,121
2015-08,80,34~167,良,36,83,0.852,5,28,113
2015-09,65,36~97,良,37,74,0.833,6,31,86
2015-10,86,42~180,良,53,115,1.032,10,41,80
2015-11,95,42~235,良,68,122,1.6,13,43,25
2015-12,167,63~362,中度污染,128,209,1.829,27,54,36
2016-01,161,51~415,中度污染,123,197,1.906,28,52,49
2016-02,122,59~401,轻度污染,71,165,1.452,24,40,76
2016-03,108,53~187,轻度污染,66,159,1.245,21,47,89
2016-04,79,53~119,良,39,97,0.803,9,39,108
2016-05,85,39~135,良,36,81,0.719,7,32,132
2016-06,83,41~128,良,27,55,0.65,5,27,135
2016-07,75,37~120,良,26,51,0.635,5,27,123
2016-08,83,36~138,良,36,61,0.806,5,25,137
2016-09,67,39~100,良,32,61,0.81,7,35,95
2016-10,64,30~124,良,40,73,1.058,8,37,57
2016-11,127,47~275,轻度污染,92,170,1.503,18,51,46
2016-12,156,69~381,中度污染,119,173,1.777,24,60,46
2017-01,159,52~398,中度污染,123,178,1.839,24,53,62
2017-02,142,58~293,轻度污染,108,154,1.604,20,51,90
2017-03,87,38~147,良,60,99,1.084,14,46,82
2017-04,84,37~194,良,45,95,0.863,10,43,105
2017-05,97,48~291,良,32,76,0.723,9,35,131
2017-06,88,49~130,良,28,63,0.703,7,30,141
2017-07,88,50~156,良,26,60,0.723,7,28,145
2017-08,77,32~153,良,26,52,0.842,5,28,124
2017-09,67,41~106,良,36,76,0.957,7,37,89
2017-10,65,24~113,良,43,74,0.99,5,35,41
2017-11,112,62~250,轻度污染,82,137,1.33,16,52,49
2017-12,133,62~325,轻度污染,88,145,1.474,25,59,30
2018-01,132,55~233,轻度污染,100,137,1.365,21,47,55
2018-02,93,0~199,良,65,109,0.996,16,38,88
2018-03,86,0~165,良,57,103,0.91,12,44,92
2018-04,65,0~136,良,34,85,0.67,6,38,96
2018-05,74,0~111,良,31,85,0.581,6,35,105
2018-06,72,37~120,良,24,53,0.57,5,29,119
2018-07,61,28~95,良,23,46,0.606,4,24,106
2018-08,78,41~119,良,27,52,0.616,4,24,132
2018-09,51,30~77,良,21,46,0.607,5,30,83
2018-10,69,45~119,良,39,77,0.668,7,45,73
2018-11,70,0~200,良,48,82,0.85,8,48,44
2018-12,94,0~218,良,67,104,0.994,12,48,41
2019-01,150,58~342,轻度污染,115,148,1.513,12,52,53
2019-02,149,71~248,轻度污染,113,139,1.339,8,33,66
2019-03,84,56~133,良,51,104,0.855,10,42,88
2019-04,77,40~119,良,44,95,0.843,7,36,106
2019-05,97,36~500,良,40,110,0.574,6,30,105
2019-06,64,36~110,良,21,43,0.557,6,24,114
2019-07,71,34~104,良,18,40,0.394,5,22,122
2019-08,68,35~137,良,20,43,0.432,6,23,114
2019-09,56,28~91,良,24,44,0.493,6,28,97
2019-10,56,25~98,良,32,61,0.571,7,34,51
2019-11,91,34~198,良,63,104,0.777,9,41,44
2019-12,118,52~306,轻度污染,89,120,0.965,14,47,44
2020-01,153,65~265,中度污染,116,131,1.223,10,39,54
2020-02,91,41~192,良,64,89,0.748,11,21,86
2020-03,91,37~340,良,53,113,0.516,9,33,87
2020-04,72,38~122,良,37,75,0.493,10,33,112
2020-05,72,32~132,良,26,66,0.455,9,26,117
2020-06,67,28~130,良,23,49,0.51,6,25,115
2020-07,68,34~131,良,22,44,0.506,5,21,116
2020-08,56,29~102,良,19,40,0.519,5,22,94
2020-09,58,33~94,良,26,50,0.54,6,27,91
2020-10,59,32~133,良,34,64,0.571,7,33,55
2020-11,99,30~229,良,71,98,0.77,9,38,59
2020-12,97,43~198,良,71,95,0.8,9,36,46
2021-01,103,55~274,轻度污染,66,97,0.897,12,40,61
2021-02,91,50~226,良,62,90,0.754,11,29,77
2021-03,134,51~440,轻度污染,47,73,0.694,9,34,72
2021-04,70,30~118,良,38,45,0.58,7,29,77
2021-05,78,29~137,良,27,45,0.474,7,23,119
2021-06,75,32~134,良,21,43,0.477,6,20,126
2021-07,72,27~114,良,18,39,0.494,5,18,123
2021-08,67,24~142,良,20,40,0.481,5,18,116
2021-09,53,26~110,良,16,30,0.55,5,20,94
2021-10,49,24~92,优,29,47,0.577,5,26,57
2021-11,82,47~192,良,53,93,0.703,7,38,59
2021-12,81,44~166,良,59,82,0.848,8,39,51
2022-01,135,57~290,轻度污染,103,117,1.177,7,33,58
2022-02,103,42~198,轻度污染,75,92,0.932,8,29,82
2022-03,98,54~245,良,33,56,0.761,8,29,92
2022-04,71,42~143,良,28,54,0.537,8,26,106
2022-05,74,32~117,良,23,48,0.481,7,23,124
2022-06,78,31~126,良,17,39,0.377,7,20,131
2022-07,82,36~138,良,19,38,0.416,6,19,135
2022-08,80,30~159,良,20,40,0.477,6,18,133
2022-09,58,31~103,良,25,46,0.557,7,25,98
2022-10,71,23~172,良,48,72,0.652,7,33,64
2022-11,96,35~190,良,67,99,0.797,8,37,48
2022-12,106,54~196,轻度污染,76,123,0.861,10,42,58
2023-01,137,61~307,轻度污染,93,152,0.961,12,37,73
2023-02,131,53~275,轻度污染,99,122,1.029,10,41,64
2023-03,89,34~253,良,52,115,0.574,9,34,91
2023-04,113,30~500,轻度污染,54,154,0.56,9,27,106
2023-05,63,28~105,良,25,49,0.51,7,24,104
2023-06,76,35~123,良,18,37,0.437,7,21,128
2023-07,85,35~137,良,20,42,0.448,7,19,138
2023-08,76,32~122,良,20,40,0.526,6,18,126
2023-09,67,33~114,良,24,45,0.543,8,23,111
2023-10,47,33~85,优,27,42,0.594,8,29,74
2023-11,74,45~120,良,47,83,0.703,10,40,59
2023-12,104,45~226,轻度污染,72,111,0.961,9,43,31
2024-01,96,35~199,良,71,95,0.955,9,45,55
2024-02,135,49~500,轻度污染,85,133,0.869,7,27,74
2024-03,80,46~153,良,48,101,0.561,9,34,94
2024-04,90,52~232,良,43,104,0.56,7,25,112
2024-05,88,45~135,良,26,53,0.5,7,21,142
2024-06,83,50~129,良,19,38,0.477,8,18,138
2024-07,59,29~95,良,19,39,0.516,7,17,104
2024-08,82,36~120,良,22,45,0.558,9,18,135
2024-09,66,33~139,良,27,49,0.62,9,20,111
2024-10,63,31~107,良,40,58,0.61,8,32,81
2024-11,78,28~165,良,54,70,0.787,8,29,57
2024-12,75,46~124,良,53,75,0.739,10,36,61
2025-01,103,53~242,轻度污染,75,104,0.835,11,34,72
2025-02,87,40~234,良,61,88,0.668,8,26,76
2025-03,94,33~458,良,48,116,0.552,8,23,93
2025-04,93,76~111,良,49,133,0.5,11,24,112
