month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,70,70~70,良,44,90,1.9,30,18,56
2015-01,108,54~251,轻度污染,79,105,2.255,29,33,68
2015-02,78,22~137,良,57,78,1.461,29,25,50
2015-03,55,32~111,良,35,59,1.477,31,25,53
2015-04,64,32~114,良,45,64,1.27,32,25,52
2015-05,95,38~196,良,69,101,1.145,37,22,79
2015-06,59,36~114,良,24,60,0.703,15,28,85
2015-07,54,31~77,良,24,59,0.51,15,27,83
2015-08,54,36~64,良,26,57,0.426,16,26,94
2015-09,54,42~70,良,25,54,0.443,19,31,99
2015-10,80,42~165,良,55,79,0.416,20,40,88
2015-11,76,40~130,良,51,75,0.923,18,45,74
2015-12,121,62~319,轻度污染,90,127,0.961,28,60,71
2016-01,105,45~236,轻度污染,71,98,0.7,25,56,88
2016-02,79,44~134,良,54,86,0.593,19,35,81
2016-03,97,33~152,良,71,96,0.755,21,49,69
2016-04,71,42~118,良,46,60,0.683,16,38,85
2016-05,65,38~113,良,44,65,0.632,17,34,79
2016-06,61,35~107,良,41,52,0.63,19,30,78
2016-07,49,32~66,优,32,44,0.497,21,27,80
2016-08,60,29~124,良,28,44,0.565,22,25,104
2016-09,61,37~125,良,42,55,0.67,25,30,85
2016-10,61,30~92,良,41,61,0.752,19,37,63
2016-11,84,43~162,良,60,79,0.847,24,50,64
2016-12,109,45~169,轻度污染,82,106,1.029,22,51,64
2017-01,108,46~242,轻度污染,81,98,1.168,20,34,48
2017-02,98,50~147,良,74,92,1.118,20,32,80
2017-03,91,60~145,良,68,81,0.929,21,37,84
2017-04,91,48~134,良,56,89,0.927,21,34,122
2017-05,90,50~151,良,47,72,0.761,19,25,127
2017-06,69,30~122,良,38,68,0.727,18,22,111
2017-07,51,26~118,良,22,40,0.568,16,22,90
2017-08,50,32~89,良,21,37,0.639,15,20,93
2017-09,59,36~90,良,30,50,0.817,18,31,101
2017-10,63,36~101,良,35,65,0.839,22,35,101
2017-11,79,43~125,良,54,98,0.82,22,43,86
2017-12,104,55~238,轻度污染,75,124,1.042,21,51,40
2018-01,108,40~240,轻度污染,79,92,0.935,17,50,61
2018-02,77,0~208,良,55,64,0.829,14,35,71
2018-03,64,38~117,良,44,61,0.729,11,34,84
2018-04,67,0~102,良,41,75,0.637,10,28,103
2018-05,57,28~109,良,35,58,0.658,8,25,87
2018-06,58,32~92,良,30,48,0.507,9,26,103
2018-07,45,28~81,优,19,36,0.445,9,16,84
2018-08,49,29~95,优,21,37,0.5,9,16,90
2018-09,60,29~95,良,30,54,0.7,9,24,106
2018-10,69,37~117,良,38,64,0.581,10,34,115
2018-11,74,32~238,良,50,58,0.73,8,39,83
2018-12,80,0~207,良,58,61,0.794,10,43,67
2019-01,103,38~211,轻度污染,74,74,0.971,9,50,62
2019-02,83,33~168,良,60,55,0.811,8,32,71
2019-03,77,48~127,良,53,69,0.719,8,35,94
2019-04,65,35~97,良,41,61,0.693,9,31,99
2019-05,66,35~94,良,33,59,0.545,8,27,114
2019-06,62,34~97,良,29,42,0.553,6,19,111
2019-07,49,32~87,优,21,38,0.565,6,17,94
2019-08,63,19~106,良,23,42,0.69,7,15,112
2019-09,70,31~105,良,29,52,0.867,7,21,120
2019-10,65,39~143,良,39,71,0.903,9,27,90
2019-11,64,30~103,良,42,69,0.737,8,34,81
2019-12,76,39~123,良,55,60,0.916,7,39,58
2020-01,83,32~173,良,60,51,0.848,7,32,67
2020-02,58,26~93,良,35,37,0.641,6,18,95
2020-03,61,38~88,良,34,45,0.626,7,27,101
2020-04,76,47~102,良,34,53,0.687,8,31,128
2020-05,69,38~130,良,27,44,0.61,7,24,121
2020-06,48,32~75,优,14,24,0.423,7,21,92
2020-07,41,30~88,优,15,23,0.497,7,23,76
2020-08,53,26~91,良,19,33,0.481,7,22,98
2020-09,69,39~120,良,25,40,0.54,8,28,121
2020-10,56,33~90,良,28,47,0.571,7,33,98
2020-11,59,39~89,良,35,51,0.647,8,41,75
2020-12,96,36~160,良,70,65,0.861,10,50,70
2021-01,81,41~147,良,51,67,0.771,9,43,71
2021-02,55,0~115,良,35,42,0.593,5,21,81
2021-03,55,29~89,良,28,38,0.581,6,26,82
2021-04,63,34~115,良,28,47,0.62,7,24,105
2021-05,65,37~106,良,23,43,0.574,6,18,114
2021-06,73,35~117,良,22,38,0.483,7,17,125
2021-07,43,25~69,优,13,24,0.419,6,15,85
2021-08,56,33~97,良,19,33,0.584,6,18,105
2021-09,73,37~106,良,25,43,0.603,8,22,126
2021-10,59,33~90,良,27,45,0.59,8,28,100
2021-11,56,30~109,良,32,53,0.53,9,34,90
2021-12,72,34~166,良,50,55,0.723,10,39,88
2022-01,96,39~179,良,71,64,0.774,7,36,82
2022-02,67,33~179,良,47,61,0.607,7,25,89
2022-03,65,29~110,良,34,57,0.606,6,25,103
2022-04,67,29~96,良,29,50,0.53,7,20,117
2022-05,67,26~110,良,26,42,0.503,6,19,116
2022-06,53,24~104,良,16,28,0.41,6,13,96
2022-07,50,29~85,优,16,26,0.4,6,13,94
2022-08,58,35~100,良,18,31,0.384,6,14,106
2022-09,68,30~103,良,22,40,0.443,6,20,118
2022-10,55,27~113,良,24,43,0.452,7,26,98
2022-11,48,26~75,优,29,44,0.603,7,30,72
2022-12,78,29~186,良,52,80,0.665,7,36,58
2023-01,68,27~117,良,46,72,0.613,7,23,80
2023-02,65,30~119,良,45,58,0.621,7,28,68
2023-03,67,32~110,良,35,73,0.527,8,27,95
2023-04,76,31~417,良,32,83,0.5,6,21,100
2023-05,60,33~118,良,26,48,0.513,6,18,102
2023-06,59,23~111,良,21,35,0.513,6,16,105
2023-07,36,20~51,优,12,23,0.429,6,14,72
2023-08,60,33~108,良,19,32,0.513,6,14,109
2023-09,55,31~95,良,22,34,0.643,6,18,100
2023-10,62,30~95,良,29,48,0.603,6,24,110
2023-11,60,30~95,良,36,64,0.637,6,30,77
2023-12,80,28~204,良,55,79,0.765,7,39,38
2024-01,88,32~198,良,64,85,0.755,5,35,63
2024-02,59,24~109,良,40,51,0.61,3,15,74
2024-03,69,33~102,良,41,68,0.645,4,26,101
2024-04,67,29~123,良,26,45,0.593,4,17,116
2024-05,82,36~131,良,24,44,0.49,5,13,137
2024-06,70,14~163,良,16,28,0.523,5,8,117
2024-07,38,18~86,优,11,21,0.423,5,8,75
2024-08,64,31~98,良,17,29,0.558,6,9,114
2024-09,60,26~91,良,19,32,0.523,6,11,107
2024-10,51,28~93,良,22,35,0.577,5,18,95
2024-11,51,27~94,良,25,45,0.57,5,26,80
2024-12,76,45~147,良,55,77,0.752,7,36,71
2025-01,78,38~139,良,55,81,0.671,7,29,90
2025-02,70,37~120,良,49,65,0.629,6,21,80
2025-03,64,36~104,良,32,51,0.561,6,18,106
2025-04,91,72~120,良,36,65,0.589,8,19,148
