month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,54,54~54,良,18,58,0.6,27,41,93
2015-01,104,45~219,轻度污染,76,99,1.123,45,48,97
2015-02,99,42~181,良,73,90,1.064,38,25,100
2015-03,83,40~152,良,60,84,0.848,25,22,83
2015-04,73,36~121,良,49,77,0.677,32,26,85
2015-05,71,56~112,良,51,80,0.49,20,29,87
2015-06,89,24~395,良,65,71,0.793,13,20,57
2015-07,69,34~163,良,50,59,0.565,12,20,52
2015-08,80,35~145,良,58,82,0.726,10,20,45
2015-09,82,51~195,良,58,87,0.927,15,22,54
2015-10,117,35~253,轻度污染,87,118,1.065,19,31,67
2015-11,75,29~132,良,51,73,1.303,21,29,63
2015-12,108,65~183,轻度污染,74,106,1.719,34,45,105
2016-01,120,49~244,轻度污染,89,109,1.623,32,41,70
2016-02,102,28~159,轻度污染,76,101,1.617,28,40,71
2016-03,113,53~231,轻度污染,83,113,1.119,24,47,77
2016-04,97,41~188,良,71,105,0.933,23,35,97
2016-05,76,47~156,良,51,84,0.706,22,34,89
2016-06,59,45~100,良,25,48,0.63,23,39,96
2016-07,74,48~129,良,29,43,0.616,20,42,114
2016-08,72,38~128,良,30,46,0.626,21,37,115
2016-09,104,37~161,轻度污染,43,68,0.703,23,27,154
2016-10,76,38~190,良,54,74,0.819,14,34,62
2016-11,119,54~293,轻度污染,91,114,1.057,18,39,67
2016-12,174,52~287,中度污染,134,150,1.381,26,50,58
2017-01,152,65~300,中度污染,118,139,1.268,27,50,57
2017-02,141,56~191,轻度污染,108,134,1.232,25,46,88
2017-03,112,55~203,轻度污染,84,116,0.877,22,42,100
2017-04,104,53~180,轻度污染,73,102,0.81,18,30,123
2017-05,122,54~500,轻度污染,48,76,0.594,16,27,152
2017-06,121,45~187,轻度污染,57,82,0.663,20,28,180
2017-07,80,32~140,良,40,50,0.59,17,27,127
2017-08,77,33~126,良,36,51,0.632,16,30,130
2017-09,79,33~133,良,42,62,0.74,13,36,126
2017-10,86,39~204,良,58,86,0.877,15,54,106
2017-11,98,49~171,良,71,121,0.937,21,60,82
2017-12,134,57~291,轻度污染,99,142,1.345,21,68,37
2018-01,147,49~251,轻度污染,112,142,1.161,19,54,61
2018-02,96,49~165,良,68,113,0.836,16,44,76
2018-03,91,49~190,良,65,93,0.729,17,46,101
2018-04,87,0~133,良,50,100,0.653,19,43,128
2018-05,68,0~121,良,39,57,0.552,11,33,132
2018-06,115,60~184,轻度污染,37,56,0.46,15,25,175
2018-07,65,24~128,良,25,35,0.326,13,23,112
2018-08,73,30~126,良,29,38,0.439,11,26,124
2018-09,75,42~110,良,37,57,0.527,13,28,123
2018-10,90,50~160,良,52,93,0.626,15,51,120
2018-11,88,0~205,良,65,92,0.863,13,45,75
2018-12,94,49~186,良,66,110,0.929,14,49,47
