month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,186,70~338,中度污染,145,220,2.12,74,77,37
2014-01,138,55~290,轻度污染,105,158,1.926,51,45,45
2014-02,119,31~321,轻度污染,89,124,1.993,31,24,56
2014-03,121,65~300,轻度污染,87,141,1.684,34,38,87
2014-04,92,46~177,良,66,110,1.277,23,26,105
2014-05,108,51~155,轻度污染,69,150,0.926,24,28,137
2014-06,119,46~278,轻度污染,82,130,0.85,16,27,156
2014-07,83,50~138,良,54,92,0.742,13,23,129
2014-08,73,31~124,良,48,77,0.839,18,27,114
2014-09,56,25~93,良,37,59,0.863,18,26,84
2014-10,72,46~116,良,48,91,0.803,23,37,95
2014-11,95,47~189,良,68,121,1.177,31,47,57
2014-12,100,54~221,良,72,126,1.332,44,52,39
2015-01,119,51~225,轻度污染,89,150,1.519,37,41,41
2015-02,105,39~202,轻度污染,77,129,1.618,30,37,61
2015-03,100,47~288,良,67,123,1.635,22,37,77
2015-04,83,36~142,良,55,103,1.517,19,35,78
2015-05,75,46~109,良,45,84,0.977,17,28,106
2015-06,100,42~201,良,37,81,0.79,14,26,156
2015-07,73,35~162,良,41,60,0.581,8,22,119
2015-08,78,27~146,良,41,62,0.765,14,28,127
2015-09,69,35~137,良,39,66,0.907,17,30,115
2015-10,100,44~199,良,70,114,1.074,24,38,118
2015-11,89,36~285,良,65,102,1.45,23,41,61
2015-12,139,62~308,轻度污染,104,161,1.648,30,50,48
2016-01,130,47~263,轻度污染,98,142,1.758,30,44,56
2016-02,122,41~231,轻度污染,90,142,2.203,28,42,79
2016-03,99,48~185,良,69,131,2.087,29,40,92
2016-04,80,39~122,良,52,105,1.583,27,37,94
2016-05,69,40~110,良,38,70,0.797,22,25,109
2016-06,77,43~131,良,35,59,0.75,10,22,131
2016-07,71,27~148,良,32,50,0.606,7,12,118
2016-08,74,40~140,良,27,43,0.719,10,15,126
2016-09,91,30~138,良,42,65,0.763,14,25,144
2016-10,52,29~108,良,33,49,0.797,11,24,72
2016-11,87,35~214,良,64,82,1.047,15,41,64
2016-12,118,35~268,轻度污染,89,106,1.352,22,52,64
2017-01,111,43~253,轻度污染,83,99,1.465,20,43,77
2017-02,110,45~213,轻度污染,82,94,1.404,21,42,100
2017-03,81,42~138,良,52,79,1,19,39,119
2017-04,102,54~140,轻度污染,52,89,1.133,18,33,152
2017-05,127,37~387,轻度污染,39,69,0.765,18,25,170
2017-06,124,49~178,轻度污染,46,75,0.813,12,22,185
2017-07,73,22~151,良,32,48,0.732,9,13,123
2017-08,83,28~143,良,34,49,0.761,10,20,137
2017-09,76,31~143,良,40,54,0.787,12,23,128
2017-10,72,31~149,良,50,66,0.832,17,35,94
2017-11,93,43~152,良,67,100,0.977,18,45,75
2017-12,128,52~271,轻度污染,70,93,1.245,21,55,30
2018-01,140,0~276,轻度污染,107,124,1.206,15,47,54
2018-02,90,0~198,良,66,87,0.793,13,31,72
2018-03,92,38~178,良,67,84,0.803,11,35,94
2018-04,85,0~132,良,52,86,0.837,14,31,125
2018-05,71,0~124,良,37,56,0.613,8,22,123
2018-06,108,52~187,轻度污染,34,53,0.6,9,18,167
2018-07,65,22~119,良,22,35,0.5,5,15,110
2018-08,64,24~117,良,23,37,0.635,6,15,113
2018-09,71,39~108,良,29,45,0.77,9,23,124
2018-10,82,42~156,良,51,73,0.784,13,38,118
2018-11,69,0~137,良,50,71,1.063,8,41,75
2018-12,83,31~162,良,57,96,0.926,9,43,46
2019-01,115,52~183,轻度污染,85,134,1.155,11,46,55
2019-02,109,44~209,轻度污染,81,118,1.004,8,30,84
2019-03,81,52~134,良,54,95,0.694,10,31,110
2019-04,71,35~121,良,38,65,0.593,8,24,117
2019-05,94,41~161,良,33,74,0.587,9,23,148
2019-06,121,42~189,轻度污染,29,61,0.687,6,19,181
2019-07,89,25~150,良,24,51,0.694,4,14,144
2019-08,74,20~157,良,20,41,0.632,6,15,124
2019-09,87,43~147,良,28,55,0.667,7,24,142
2019-10,84,29~189,良,51,98,0.794,10,37,103
2019-11,81,40~129,良,53,100,0.673,10,37,76
2019-12,103,36~166,轻度污染,77,91,0.9,9,41,52
2020-01,122,29~270,轻度污染,92,100,1.09,7,30,66
2020-02,72,32~134,良,51,59,0.645,4,16,84
2020-03,70,43~122,良,46,69,0.548,5,26,98
2020-04,80,45~122,良,44,72,0.647,7,26,134
2020-05,92,34~157,良,31,65,0.706,5,17,146
2020-06,95,32~158,良,28,65,0.57,4,15,150
2020-07,70,30~131,良,23,45,0.565,3,11,119
2020-08,67,32~132,良,25,46,0.632,5,11,117
2020-09,84,47~146,良,31,56,0.65,7,20,139
2020-10,68,39~112,良,41,71,0.671,8,37,95
2020-11,72,39~135,良,49,77,0.733,8,39,67
2020-12,116,36~240,轻度污染,87,104,0.935,12,49,53
2021-01,104,58~220,轻度污染,69,97,0.826,8,39,59
2021-02,67,38~100,良,46,68,0.557,4,18,83
2021-03,99,29~489,良,37,70,0.594,6,28,89
2021-04,66,35~183,良,31,64,0.507,5,24,100
2021-05,91,27~330,良,25,53,0.49,5,18,126
2021-06,103,42~194,轻度污染,26,56,0.527,5,16,158
2021-07,53,23~101,良,14,28,0.435,5,7,97
2021-08,65,34~112,良,20,36,0.548,6,13,115
2021-09,73,27~119,良,21,39,0.647,5,16,125
2021-10,69,27~132,良,32,60,0.655,7,31,109
2021-11,76,32~168,良,50,89,0.647,8,41,86
2021-12,92,29~214,良,67,98,0.758,9,44,60
2022-01,112,32~211,轻度污染,84,105,0.852,6,36,68
