month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,144,144~144,轻度污染,110,152,1.6,34,71,52
2014-01,170,67~394,中度污染,134,163,1.31,37,58,53
2014-02,92,25~207,良,68,72,1.007,21,38,56
2014-03,77,33~137,良,52,95,0.977,27,41,62
2014-04,72,36~129,良,47,92,0.96,24,40,64
2014-05,83,43~163,良,57,96,0.939,22,34,72
2014-06,79,27~190,良,58,83,0.937,18,30,81
2014-07,66,24~144,良,46,68,0.916,14,28,72
2014-08,63,23~115,良,44,70,1.026,12,25,59
2014-09,70,22~144,良,49,77,0.903,15,26,60
2014-10,89,52~140,良,63,110,0.939,18,38,109
2014-11,96,35~192,良,69,126,1.25,20,44,70
2014-12,97,62~148,良,67,139,1.21,31,53,72
2015-01,112,33~228,轻度污染,80,157,1.3,21,48,61
2015-02,85,33~179,良,61,103,0.932,13,32,65
2015-03,73,37~132,良,49,88,0.906,15,37,63
2015-04,73,30~119,良,50,90,0.903,17,36,77
2015-05,92,36~264,良,65,96,0.9,16,31,91
2015-06,84,32~179,良,58,74,0.857,13,28,72
2015-07,64,39~126,良,39,63,0.777,10,25,80
2015-08,62,29~109,良,40,68,0.858,11,25,79
2015-09,64,40~97,良,40,76,0.937,12,29,81
2015-10,76,36~119,良,46,101,0.91,14,36,75
2015-11,69,30~139,良,39,80,1.18,13,44,47
2015-12,95,56~202,良,63,131,1.181,15,49,44
2016-01,83,48~169,良,53,108,1.042,13,48,49
2016-02,77,32~173,良,47,99,0.821,10,30,63
2016-03,90,36~192,良,59,116,0.906,13,42,70
2016-04,65,42~107,良,41,77,0.877,9,38,77
2016-05,66,38~127,良,44,72,0.881,8,34,81
2016-06,58,31~107,良,31,59,0.823,8,28,87
2016-07,48,30~75,优,26,50,0.774,7,25,74
2016-08,50,25~88,优,25,40,0.642,7,16,92
2016-09,54,23~94,良,33,47,0.71,7,20,90
2016-10,53,31~77,良,30,53,0.761,9,36,59
2016-11,74,30~129,良,50,80,0.883,10,47,51
2016-12,97,33~175,良,72,107,1.052,9,44,40
2017-01,60,0~185,良,44,62,0.606,4,25,22
2017-02,85,28~148,良,63,83,0.85,8,26,65
2017-03,74,26~142,良,51,76,0.694,30,22,71
2017-04,67,29~149,良,46,72,0.763,14,23,84
2017-05,67,40~95,良,46,66,0.729,12,26,92
2017-06,48,24~98,优,32,43,0.693,11,21,74
2017-07,43,27~99,优,26,38,0.639,12,21,79
2017-08,40,27~66,优,24,33,0.739,10,17,75
2017-09,58,25~137,良,37,53,0.813,10,22,79
2017-10,55,27~98,良,36,54,0.79,11,25,70
2017-11,70,30~122,良,40,85,0.93,10,40,73
2017-12,85,54~121,良,42,117,1.029,14,48,50
2018-01,81,40~153,良,52,94,1.032,11,44,79
2018-02,71,36~159,良,47,78,1.107,11,27,94
2018-03,69,38~107,良,37,85,0.774,10,32,105
2018-04,83,42~118,良,42,103,0.93,11,33,117
2018-05,65,37~98,良,35,60,0.945,9,34,103
2018-06,60,35~108,良,29,49,0.853,8,27,106
2018-07,47,27~87,优,20,35,0.69,9,18,89
2018-08,51,29~94,良,20,35,0.794,9,19,95
2018-09,59,28~119,良,30,52,0.973,9,26,99
2018-10,66,49~99,良,37,72,0.9,9,37,94
2018-11,64,33~160,良,40,73,1.02,4,40,58
2018-12,72,23~162,良,49,86,1.21,2,21,23
2019-01,70,0~150,良,51,79,1.123,2,20,21
2019-02,64,23~188,良,45,60,1.404,2,13,31
2019-03,50,0~130,良,35,56,0.719,2,13,22
2019-04,15,0~91,优,8,18,0.207,1,7,12
2019-05,0,0~0,无,0,0,0,0,0,0
2019-06,0,0~0,无,0,0,0,0,0,0
2019-07,2,0~38,优,1,2,0.045,0,1,2
2019-08,48,0~113,优,20,38,0.655,5,18,87
2019-09,51,0~96,良,23,44,0.69,5,20,85
2019-10,60,0~116,良,33,74,0.787,5,30,70
2019-11,41,0~101,优,17,44,0.34,3,21,31
2019-12,48,0~117,优,25,62,0.519,4,35,27
2020-01,0,0~0,无,0,0,0,0,0,0
2020-02,0,0~0,无,0,0,0,0,0,0
2020-03,23,0~71,优,9,22,0.319,2,16,27
2020-04,66,35~95,良,33,78,0.623,6,37,88
2020-05,71,42~121,良,29,53,0.655,5,28,117
2020-06,60,37~92,良,17,34,0.583,4,18,110
2020-07,38,0~95,优,19,36,0.548,3,23,89
2020-08,56,28~95,良,20,45,0.477,5,19,101
2020-09,64,35~128,良,26,51,0.59,4,29,102
2020-10,58,32~91,良,28,60,0.545,5,33,88
2020-11,63,29~92,良,33,71,0.803,4,40,56
2020-12,88,33~159,良,62,107,0.852,5,50,41
2021-01,76,35~108,良,48,100,0.935,6,42,53
2021-02,57,26~103,良,36,63,0.743,5,18,65
2021-03,55,29~98,良,29,60,0.713,5,33,57
2021-04,60,33~95,良,29,64,0.707,5,32,81
2021-05,56,28~93,良,22,51,0.684,5,26,90
2021-06,60,26~120,良,20,47,0.613,5,25,95
2021-07,42,18~73,优,13,30,0.435,6,18,79
2021-08,51,20~100,良,15,32,0.487,6,21,95
2021-09,57,14~130,良,23,49,0.633,2,26,97
2021-10,50,24~75,良,23,52,0.658,2,35,60
2021-11,61,32~104,良,32,73,0.78,2,38,60
2021-12,52,0~201,良,36,62,0.539,4,18,50
2022-01,0,0~0,无,0,0,0,0,0,0
2022-02,0,0~0,无,0,0,0,0,0,0
2022-03,0,0~0,无,0,0,0,0,0,0
2022-04,0,0~0,无,0,0,0,0,0,0
