month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,156,156~156,中度污染,80,262,1.7,112,71,87
2014-01,166,54~311,中度污染,128,185,1.758,108,57,44
2014-02,125,36~223,轻度污染,92,123,1.268,76,35,73
2014-03,146,75~261,轻度污染,110,173,1.255,72,46,100
2014-04,123,46~258,轻度污染,88,160,0.99,66,41,126
2014-05,117,53~204,轻度污染,68,150,0.878,55,36,160
2014-06,126,71~180,轻度污染,72,110,1.01,36,30,173
2014-07,124,49~223,轻度污染,72,119,1.123,43,27,177
2014-08,119,48~181,轻度污染,70,117,1.187,50,35,174
2014-09,96,42~203,良,61,103,1.073,42,33,130
2014-10,93,44~146,良,65,110,0.99,43,35,114
2014-11,146,65~279,轻度污染,111,176,1.514,67,48,57
2014-12,142,63~277,轻度污染,105,177,1.771,103,52,39
2015-01,147,52~295,轻度污染,111,171,1.755,86,47,46
2015-02,134,54~239,轻度污染,98,155,1.657,74,36,64
2015-03,135,61~427,轻度污染,89,187,1.19,57,36,93
2015-04,115,62~224,轻度污染,77,149,0.92,41,34,127
2015-05,102,60~175,轻度污染,59,133,0.865,38,29,144
2015-06,125,59~192,轻度污染,58,124,0.927,30,24,185
2015-07,105,21~166,轻度污染,62,107,0.945,34,18,131
2015-08,104,44~193,轻度污染,57,98,1.052,32,27,157
2015-09,96,52~195,良,57,95,0.987,33,27,142
2015-10,128,56~266,轻度污染,95,146,1.132,34,42,122
2015-11,125,33~290,轻度污染,95,119,1.447,33,35,62
2015-12,199,38~448,中度污染,160,207,2.093,75,58,42
2016-01,127,49~262,轻度污染,95,136,1.49,70,55,44
2016-02,108,38~210,轻度污染,78,123,1.379,59,43,60
2016-03,106,53~190,轻度污染,71,145,1.094,39,42,81
2016-04,118,51~223,轻度污染,72,165,1.01,35,38,134
2016-05,115,62~179,轻度污染,66,121,0.948,31,35,162
2016-06,120,67~201,轻度污染,53,88,0.857,20,26,180
2016-07,85,42~144,良,41,67,0.706,14,24,137
2016-08,74,39~169,良,38,68,0.935,19,31,121
2016-09,107,46~204,轻度污染,57,98,0.993,29,35,163
2016-10,78,37~145,良,51,88,0.952,27,45,90
2016-11,106,34~188,轻度污染,77,126,1.37,32,55,59
2016-12,134,0~396,轻度污染,103,137,1.6,37,50,37
2017-01,155,37~327,中度污染,120,167,2.077,49,57,49
2017-02,117,53~218,轻度污染,84,125,1.504,50,45,83
2017-03,96,56~228,良,68,114,1.206,36,42,112
2017-04,87,0~183,良,54,106,0.89,30,39,122
2017-05,124,52~202,轻度污染,56,131,0.929,22,38,169
2017-06,114,49~206,轻度污染,56,94,0.993,14,26,172
2017-07,84,47~157,良,48,69,0.868,13,17,123
2017-08,75,26~140,良,32,53,0.777,13,19,124
2017-09,94,43~142,良,42,77,0.897,16,25,150
2017-10,85,20~213,良,58,88,1.148,21,44,95
2017-11,96,46~221,良,65,111,2.093,29,49,74
2017-12,118,57~252,轻度污染,86,123,1.784,42,64,32
2018-01,127,35~372,轻度污染,96,133,1.748,42,58,53
2018-02,98,44~223,良,69,103,1.421,35,34,75
2018-03,94,43~226,良,64,100,1.245,25,30,110
2018-04,101,44~158,轻度污染,49,122,1.203,23,30,140
2018-05,89,37~139,良,46,93,1.145,17,25,135
2018-06,91,53~146,良,43,76,1.283,18,23,144
2018-07,67,24~126,良,32,53,0.868,14,19,115
2018-08,67,18~136,良,27,46,0.745,14,18,116
2018-09,77,34~122,良,34,70,0.87,17,31,126
2018-10,74,40~114,良,44,93,0.939,18,41,97
2018-11,119,36~343,轻度污染,80,154,1.33,16,44,63
2018-12,102,48~222,轻度污染,69,131,1.439,28,47,39
2019-01,140,61~302,轻度污染,104,169,1.858,40,61,45
2019-02,125,31~220,轻度污染,92,138,1.422,27,40,83
2019-03,101,59~232,轻度污染,65,126,1.132,19,41,100
2019-04,86,39~180,良,46,113,0.85,12,32,104
2019-05,94,37~171,良,40,109,0.939,14,32,137
2019-06,103,49~166,轻度污染,37,76,0.717,11,23,161
2019-07,94,33~185,良,39,65,0.816,8,22,149
2019-08,65,23~119,良,26,53,0.616,9,27,109
2019-09,92,44~161,良,39,83,0.657,12,34,141
2019-10,92,33~185,良,57,109,0.69,13,40,96
2019-11,92,44~189,良,58,118,0.857,16,41,56
2019-12,109,42~274,轻度污染,80,121,1.274,25,45,37
2020-01,131,40~322,轻度污染,101,145,1.458,32,44,48
2020-02,71,29~152,良,50,72,0.717,18,21,67
2020-03,79,34~163,良,48,97,0.771,17,28,83
2020-04,76,33~104,良,41,98,0.8,16,31,101
2020-05,76,41~124,良,30,80,0.506,11,23,120
2020-06,86,32~162,良,34,82,0.657,12,24,139
