month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2017-01,59,43~175,良,16,62,0.637,5,10,97
2017-02,64,47~144,良,19,64,1.039,5,7,112
2017-03,69,48~96,良,14,41,1.029,5,7,124
2017-04,84,53~123,良,13,38,0.733,5,7,141
2017-05,84,63~108,良,11,26,0.532,5,5,141
2017-06,67,34~109,良,9,22,0.58,5,7,120
2017-07,41,28~71,优,6,16,0.452,5,6,81
2017-08,42,28~69,优,6,16,0.413,5,8,83
2017-09,42,22~86,优,6,18,0.487,5,7,83
2017-10,43,28~55,优,8,22,0.568,5,10,86
2017-11,45,33~61,优,11,30,0.673,5,17,89
2017-12,41,20~64,优,16,33,0.968,4,20,54
2018-01,44,0~62,优,9,25,0.574,4,14,88
2018-02,48,0~67,优,9,29,0.564,4,9,94
2018-03,57,42~74,良,6,14,0.526,4,8,108
2018-04,70,0~96,良,6,14,0.457,4,10,127
2018-05,75,0~105,良,6,13,0.442,4,9,133
2018-06,66,30~104,良,5,9,0.52,4,9,117
2018-07,37,23~55,优,3,8,0.455,5,11,73
2018-08,35,25~48,优,5,11,0.397,4,9,70
2018-09,46,33~62,优,7,20,0.367,4,8,90
2018-10,50,34~62,良,7,22,0.277,4,8,99
2018-11,44,32~72,优,12,42,0.387,4,10,78
2018-12,41,33~54,优,13,31,0.445,4,13,79
2019-01,44,36~58,优,10,24,0.568,4,8,88
2019-02,51,38~69,良,12,33,0.593,4,5,93
2019-03,56,31~90,良,12,41,0.5,4,5,102
2019-04,68,48~113,良,9,26,0.467,5,7,121
2019-05,71,43~92,良,12,27,0.352,4,10,125
2019-06,62,45~87,良,9,20,0.317,4,8,114
2019-07,45,25~70,优,7,18,0.397,4,12,88
2019-08,44,29~66,优,7,19,0.371,4,12,86
2019-09,41,27~63,优,6,17,0.333,4,14,81
2019-10,45,36~55,优,7,18,0.39,3,13,88
2019-11,44,34~64,优,12,34,0.49,3,16,82
2019-12,44,34~105,优,12,40,0.594,4,16,77
2020-01,44,34~55,优,9,30,0.565,5,12,86
2020-02,47,32~64,优,8,24,0.641,5,9,90
2020-03,50,40~74,良,8,27,0.494,6,10,97
2020-04,55,41~70,良,7,22,0.517,7,12,104
2020-05,69,48~113,良,8,20,0.477,8,12,123
2020-06,53,30~106,良,7,17,0.487,8,12,99
2020-07,40,28~65,优,7,17,0.442,11,16,80
2020-08,44,26~84,优,7,18,0.329,9,15,85
2020-09,45,25~65,优,7,20,0.447,8,15,88
2020-10,42,29~61,优,9,23,0.423,7,16,83
2020-11,43,34~65,优,12,30,0.497,6,21,82
2020-12,40,32~73,优,13,34,0.61,6,25,74
2021-01,45,31~86,优,14,39,0.555,7,20,75
2021-02,43,38~50,优,9,18,0.436,6,14,85
2021-03,55,41~82,良,11,26,0.503,7,15,105
2021-04,66,49~80,良,13,30,0.413,7,16,118
2021-05,64,35~102,良,9,17,0.455,7,17,115
2021-06,47,28~70,优,6,16,0.34,8,15,91
2021-07,44,29~77,优,4,11,0.355,8,16,86
2021-08,37,25~55,优,4,9,0.406,8,15,74
2021-09,41,29~57,优,6,16,0.397,6,14,81
2021-10,42,23~56,优,7,22,0.406,5,17,82
2021-11,43,28~74,优,12,33,0.493,7,23,82
2021-12,42,35~50,优,10,25,0.519,5,21,81
2022-01,40,33~47,优,8,20,0.577,5,14,80
2022-02,49,33~63,优,7,20,0.521,5,10,96
2022-03,61,46~85,良,11,25,0.323,6,11,113
2022-04,68,57~93,良,12,30,0.39,5,10,121
2022-05,75,54~96,良,7,17,0.519,5,9,130
2022-06,66,44~90,良,5,16,0.393,6,6,118
2022-07,60,39~85,良,7,19,0.323,6,6,110
2022-08,44,36~62,优,4,10,0.239,6,5,88
2022-09,45,26~65,优,3,6,0.273,7,4,89
2022-10,44,25~84,优,9,13,0.287,6,7,84
2022-11,44,38~67,优,11,32,0.367,5,11,86
2022-12,45,34~59,优,16,43,0.374,5,19,76
2023-01,51,35~132,良,15,46,0.335,5,8,89
2023-02,56,42~147,良,14,42,0.464,6,6,97
2023-03,57,47~75,良,9,22,0.365,4,6,107
2023-04,70,56~87,良,11,28,0.29,6,7,123
2023-05,74,50~95,良,8,17,0.403,5,6,128
2023-06,64,34~83,良,7,15,0.423,6,7,115
2023-07,43,24~66,优,4,10,0.31,7,7,84
2023-08,38,26~52,优,4,9,0.284,7,7,76
2023-09,48,30~80,优,5,12,0.253,8,8,93
2023-10,42,25~50,优,6,15,0.294,7,9,84
2023-11,41,36~48,优,10,24,0.42,7,14,81
2023-12,35,20~44,优,11,26,0.406,8,16,45
2024-01,40,33~48,优,10,20,0.413,6,11,79
2024-02,51,41~102,良,11,38,0.31,5,5,93
2024-03,56,41~78,良,12,32,0.355,6,7,103
2024-04,83,60~100,良,14,32,0.363,7,8,140
2024-05,83,44~113,良,11,22,0.297,8,7,138
2024-06,71,43~94,良,6,14,0.297,6,7,125
2024-07,44,26~104,优,5,12,0.245,6,8,83
2024-08,54,32~77,良,6,14,0.261,7,8,100
2024-09,47,30~65,优,6,14,0.3,8,7,92
2024-10,48,28~61,优,8,20,0.355,7,9,94
2024-11,42,34~49,优,10,26,0.403,4,11,84
2024-12,48,33~99,优,13,41,0.432,4,14,86
2025-01,55,38~133,良,15,43,0.429,4,11,95
2025-02,64,43~198,良,16,56,0.461,4,5,103
2025-03,65,50~99,良,15,51,0.368,4,5,113
2025-04,74,64~89,良,18,40,0.333,5,6,128
