month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,125,125~125,轻度污染,95,159,1.8,51,52,34
2014-01,167,81~480,中度污染,117,241,1.894,41,45,28
2014-02,91,43~186,良,65,124,1.636,24,23,19
2014-03,89,56~199,良,58,126,0.943,30,26,28
2014-04,79,52~115,良,49,107,0.943,30,27,33
2014-05,93,42~181,良,55,136,1.323,38,24,42
2014-06,94,53~233,良,62,132,1.453,30,24,59
2014-07,71,52~97,良,40,92,1.2,27,15,55
2014-08,67,43~85,良,35,85,1.235,26,17,50
2014-09,71,36~153,良,40,91,1.32,24,21,56
2014-10,99,41~199,良,66,144,1.342,29,28,70
2014-11,81,55~179,良,50,112,1.367,36,28,33
2014-12,87,59~146,良,51,124,1.516,38,30,46
2015-01,107,39~168,轻度污染,78,160,2.035,37,34,67
2015-02,98,30~160,良,71,131,2.271,30,28,80
2015-03,73,40~166,良,51,89,1.552,22,26,82
2015-04,75,48~113,良,48,81,0.99,31,28,120
2015-05,84,43~148,良,57,99,1.132,27,21,111
2015-06,64,34~105,良,35,66,0.883,24,17,107
2015-07,70,43~114,良,34,60,0.971,21,14,122
2015-08,75,32~118,良,42,66,0.91,24,15,126
2015-09,88,49~127,良,50,74,0.947,23,17,139
2015-10,88,30~120,良,63,92,0.945,32,24,119
2015-11,58,28~78,良,40,60,1.16,23,22,42
2015-12,88,42~182,良,63,102,1.045,27,30,45
2016-01,91,60~149,良,67,103,1.168,26,27,47
2016-02,87,49~218,良,63,95,0.948,23,23,83
2016-03,86,32~143,良,61,97,0.987,30,34,101
2016-04,74,27~142,良,42,69,0.977,23,27,114
2016-05,74,46~125,良,39,62,0.806,18,23,121
2016-06,71,36~121,良,30,44,0.82,17,15,121
2016-07,65,26~121,良,30,46,0.79,18,16,111
2016-08,76,31~127,良,38,55,0.913,21,21,126
2016-09,94,43~146,良,52,75,0.957,24,28,141
2016-10,55,20~93,良,36,48,0.897,13,21,70
2016-11,72,29~128,良,52,74,1.093,15,27,48
2016-12,100,50~147,良,74,108,1.31,22,39,56
2017-01,118,41~499,轻度污染,91,127,1.326,16,32,54
