month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,117,117~117,轻度污染,88,134,2.1,40,45,59
2014-01,224,125~361,重度污染,178,234,2.106,52,35,63
2014-02,124,47~258,轻度污染,94,122,1.85,28,20,44
2014-03,89,57~125,良,65,96,1.184,47,26,68
2014-04,72,50~137,良,51,78,0.93,44,19,90
2014-05,80,28~146,良,58,87,1.232,30,22,70
2014-06,90,35~170,良,67,89,1.343,24,17,55
2014-07,66,29~127,良,46,68,1.123,20,14,57
2014-08,61,31~100,良,43,64,1.171,14,13,34
2014-09,66,20~142,良,45,71,1.437,16,16,31
2014-10,95,27~159,良,71,108,2.068,23,21,36
2014-11,78,31~210,良,56,83,1.55,27,22,25
2014-12,72,44~148,良,49,79,1.619,36,31,16
2015-01,108,26~157,轻度污染,81,111,1.584,33,33,22
2015-02,108,33~198,轻度污染,81,121,1.436,21,25,35
2015-03,73,44~131,良,49,91,1.41,25,24,41
2015-04,63,36~95,良,40,75,1.11,20,18,65
2015-05,82,32~198,良,57,94,1.229,16,17,59
2015-06,62,42~94,良,39,72,1.33,15,13,56
2015-07,63,36~102,良,35,58,1.203,19,14,109
2015-08,70,35~120,良,27,51,1.213,18,14,121
2015-09,81,42~123,良,34,71,1.223,17,16,132
2015-10,78,29~129,良,49,81,1.387,30,32,111
2015-11,51,24~77,良,31,50,1.36,26,26,36
2015-12,95,27~213,良,68,97,1.348,26,33,44
2016-01,127,64~279,轻度污染,95,124,1.326,23,33,46
2016-02,104,46~208,轻度污染,75,117,1.455,20,27,73
2016-03,99,52~192,良,73,112,1.232,25,26,86
2016-04,74,31~133,良,48,79,0.977,21,21,99
2016-05,67,36~100,良,39,67,0.91,16,14,105
2016-06,55,37~78,良,28,45,1.083,16,16,94
2016-07,49,29~89,优,30,44,1.106,19,16,82
2016-08,62,33~100,良,39,56,1.171,16,18,103
2016-09,88,42~131,良,58,83,1.087,19,22,136
2016-10,63,28~115,良,38,60,0.974,15,20,92
2016-11,81,32~166,良,59,88,1.287,18,28,66
2016-12,115,54~182,轻度污染,86,118,1.477,18,36,64
2017-01,144,43~417,轻度污染,110,153,1.448,21,31,66
2017-02,83,44~164,良,61,89,1.429,13,25,82
2017-03,75,39~178,良,52,80,1.419,11,25,87
2017-04,76,34~130,良,39,67,1.2,12,25,112
2017-05,84,50~140,良,36,56,1.055,10,15,132
2017-06,63,21~113,良,29,38,0.963,7,10,111
2017-07,60,32~105,良,27,36,1.016,10,10,109
2017-08,60,30~106,良,31,40,1.026,10,8,109
2017-09,75,35~144,良,45,61,1.127,12,12,120
2017-10,66,24~147,良,47,70,1.235,12,21,88
2017-11,104,44~218,轻度污染,78,111,1.6,14,40,91
2017-12,113,39~208,轻度污染,86,114,1.171,15,47,37
2018-01,92,50~160,良,69,76,1.135,10,30,60
2018-02,96,44~241,良,70,107,0.939,11,24,84
2018-03,58,25~106,良,37,55,0.89,10,23,86
2018-04,52,0~97,良,30,54,0.85,11,20,97
2018-05,54,0~87,良,28,47,0.91,10,15,100
2018-06,69,31~137,良,25,38,0.867,10,15,118
2018-07,55,29~90,良,23,36,0.697,9,14,100
2018-08,63,32~99,良,24,37,0.765,9,14,113
2018-09,59,34~105,良,28,42,0.82,10,21,106
2018-10,70,37~121,良,41,61,0.839,12,31,114
2018-11,64,24~196,良,44,58,0.923,10,31,77
2018-12,98,41~219,良,71,84,1,9,32,50
2019-01,155,74~308,中度污染,119,85,1.435,9,37,52
2019-02,94,32~166,良,70,78,1.196,6,20,64
2019-03,61,38~94,良,41,58,1.006,9,30,94
2019-04,59,32~90,良,33,48,0.937,8,22,103
2019-05,72,37~110,良,36,65,0.89,9,21,109
2019-06,71,32~116,良,24,38,0.847,8,16,122
2019-07,64,35~139,良,24,40,0.758,7,14,114
2019-08,77,39~132,良,30,49,0.771,6,13,131
2019-09,98,42~146,良,40,64,0.927,9,24,156
2019-10,63,28~140,良,36,53,0.8,8,21,102
2019-11,74,22~119,良,50,70,0.8,9,25,80
2019-12,91,38~218,良,67,73,0.89,7,28,62
2020-01,96,26~152,良,72,58,0.887,4,13,60
2020-02,67,20~166,良,48,49,0.821,4,10,67
2020-03,62,33~115,良,41,58,0.732,7,20,82
2020-04,75,42~114,良,36,53,0.607,7,21,121
2020-05,67,28~121,良,32,52,0.59,7,18,110
2020-06,43,26~67,优,16,26,0.487,5,11,84
2020-07,45,25~70,优,21,32,0.555,5,12,84
2020-08,51,23~100,良,20,34,0.465,7,12,95
2020-09,55,32~89,良,24,37,0.713,8,16,103
2020-10,57,26~107,良,33,55,0.771,9,22,89
