month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,97,97~97,良,73,87,0.6,127,101,118
2014-01,105,46~211,轻度污染,77,92,0.79,87,86,85
2014-02,82,41~169,良,54,65,0.693,59,56,105
2014-03,91,42~177,良,62,81,0.81,47,64,119
2014-04,76,48~130,良,48,65,0.547,37,47,112
2014-05,109,39~207,轻度污染,61,94,0.677,22,46,159
2014-06,68,30~148,良,48,62,0.64,15,40,95
2014-07,62,28~152,良,39,56,0.713,14,35,88
2014-08,58,16~91,良,40,56,0.732,15,32,67
2014-09,81,46~137,良,35,52,0.704,16,33,131
2014-10,88,52~137,良,46,78,0.568,15,41,127
2014-11,81,43~177,良,59,87,0.521,17,46,78
2014-12,101,44~181,轻度污染,74,119,0.919,17,54,52
2015-01,120,37~208,轻度污染,89,127,0.877,16,54,59
2015-02,95,39~227,良,68,105,0.632,15,40,75
2015-03,81,41~155,良,55,86,0.487,14,43,94
2015-04,91,48~162,良,56,93,0.647,15,51,131
2015-05,69,39~125,良,41,71,0.403,14,35,99
2015-06,73,32~141,良,43,70,0.657,13,27,109
2015-07,63,22~129,良,38,58,0.794,16,20,90
2015-08,59,24~127,良,38,57,0.768,14,24,79
2015-09,55,33~110,良,36,57,0.64,14,27,58
2015-10,80,44~160,良,56,95,0.652,14,41,53
2015-11,88,31~169,良,63,96,0.84,12,44,27
2015-12,125,61~246,轻度污染,94,136,1.194,24,53,33
2016-01,99,43~188,良,71,99,0.981,27,42,65
2016-02,87,42~168,良,63,87,0.886,20,31,82
2016-03,87,42~144,良,62,93,0.816,24,42,97
2016-04,83,49~140,良,54,85,0.823,19,47,108
2016-05,82,44~145,良,44,74,0.813,17,38,119
2016-06,62,28~104,良,36,46,0.957,19,29,100
2016-07,74,23~146,良,38,58,0.913,18,27,112
2016-08,74,32~132,良,24,44,0.655,17,24,126
2016-09,70,25~161,良,36,52,0.777,15,30,110
2016-10,49,30~65,优,29,43,0.739,18,32,77
2016-11,80,35~143,良,57,81,0.917,24,48,57
2016-12,101,39~227,轻度污染,74,98,1.048,26,52,57
2017-01,78,32~160,良,56,83,0.913,19,39,63
2017-02,86,40~163,良,62,88,0.907,21,43,84
2017-03,70,40~97,良,49,82,0.745,20,40,97
2017-04,92,54~142,良,52,85,0.823,22,43,127
2017-05,86,44~183,良,40,72,0.8,21,37,130
2017-06,84,40~167,良,39,55,0.767,19,35,132
2017-07,95,40~191,良,36,50,0.61,17,33,148
2017-08,90,38~196,良,32,44,0.81,16,28,143
2017-09,71,43~196,良,33,48,0.737,18,34,111
2017-10,57,38~102,良,33,52,0.758,19,31,94
2017-11,77,33~130,良,49,80,0.85,22,53,68
2017-12,97,49~261,良,68,96,1.065,22,60,32
2018-01,101,35~273,轻度污染,73,95,1.052,23,50,57
2018-02,81,34~202,良,57,84,0.9,24,37,83
2018-03,72,38~116,良,44,71,0.829,21,45,97
2018-04,86,41~158,良,46,87,0.817,24,44,127
2018-05,83,36~145,良,45,72,0.903,22,38,120
2018-06,85,39~162,良,38,53,0.723,20,32,137
2018-07,57,20~146,良,24,39,0.632,17,26,98
2018-08,54,21~105,良,19,33,0.703,14,23,95
2018-09,70,34~151,良,27,47,0.753,14,32,114
2018-10,76,46~252,良,38,57,0.726,15,39,117
2018-11,85,38~207,良,58,75,0.863,14,49,84
2018-12,77,34~166,良,49,72,0.977,16,48,52
2019-01,90,43~159,良,62,90,0.961,16,52,61
2019-02,79,33~183,良,55,77,0.789,14,31,86
2019-03,83,46~150,良,54,91,0.703,15,44,103
2019-04,69,38~120,良,34,69,0.667,13,39,104
2019-05,89,39~185,良,30,63,0.6,13,36,135
2019-06,81,37~154,良,24,43,0.567,11,31,128
2019-07,76,21~147,良,23,36,0.629,11,30,124
2019-08,84,26~182,良,23,38,0.677,12,27,134
2019-09,74,24~140,良,22,41,0.69,12,27,122
2019-10,71,26~132,良,32,68,0.69,13,35,108
2019-11,62,29~119,良,28,74,0.543,11,22,80
2019-12,77,30~139,良,53,81,0.874,13,45,57
2020-01,87,33~210,良,60,82,0.877,10,31,61
2020-02,53,28~94,良,33,51,0.624,10,19,84
2020-03,57,34~98,良,28,50,0.519,10,28,96
2020-04,76,40~150,良,33,61,0.517,11,34,126
2020-05,85,41~150,良,31,59,0.694,9,29,137
2020-06,71,35~156,良,21,34,0.743,6,27,118
2020-07,66,36~135,良,20,31,0.984,6,29,110
2020-08,75,28~136,良,19,33,0.942,8,25,126
2020-09,79,39~200,良,24,39,1.067,10,33,130
2020-10,61,40~115,良,21,41,0.758,9,36,102
2020-11,55,28~97,良,29,53,0.77,7,38,78
2020-12,87,34~216,良,59,83,0.897,12,51,53
2021-01,75,50~111,良,46,83,0.797,12,47,60
2021-02,56,34~89,良,32,50,0.679,8,26,88
2021-03,69,39~175,良,39,75,0.723,8,35,95
2021-04,65,40~123,良,27,53,0.74,9,33,106
2021-05,96,40~187,良,28,58,0.752,8,29,147
2021-06,83,37~200,良,20,34,0.697,9,27,133
2021-07,69,0~150,良,16,27,0.59,8,17,115
2021-08,84,33~180,良,18,30,0.716,9,20,136
2021-09,80,19~164,良,19,33,0.787,9,22,134
2021-10,59,29~136,良,19,37,0.7,9,26,101
2021-11,62,33~90,良,31,58,0.813,11,43,83
2021-12,45,0~142,优,28,46,0.577,7,30,40
2022-01,0,0~0,无,0,0,0,0,0,0
2022-02,0,0~0,无,0,0,0,0,0,0
2022-03,0,0~0,无,0,0,0,0,0,0
2022-04,0,0~0,无,0,0,0,0,0,0
