month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,163,163~163,中度污染,93,277,0.1,66,18,44
2014-01,130,51~252,轻度污染,96,127,1.453,45,33,55
2014-02,110,38~391,轻度污染,75,104,1.211,27,25,88
2014-03,120,66~248,轻度污染,74,166,1.133,27,35,115
2014-04,98,49~193,良,60,100,0.759,18,34,134
2014-05,109,61~189,轻度污染,54,128,0.682,17,33,157
2014-06,103,51~162,轻度污染,51,71,0.844,9,25,158
2014-07,98,42~161,良,45,67,1.288,15,16,150
2014-08,114,36~207,轻度污染,50,66,0.64,10,26,174
2014-09,68,37~112,良,38,56,0.44,13,29,114
2014-10,72,38~125,良,47,74,0.547,17,32,103
2014-11,101,37~231,轻度污染,74,111,1.017,32,30,64
2014-12,107,42~294,轻度污染,78,112,1.081,55,27,42
2015-01,97,28~246,良,71,95,0.913,43,21,50
2015-02,95,38~182,良,67,103,0.939,37,21,62
2015-03,89,37~186,良,61,108,0.706,30,32,81
2015-04,72,41~115,良,44,80,0.543,21,24,112
2015-05,72,42~99,良,34,69,0.423,20,25,123
2015-06,76,34~115,良,36,64,0.4,19,18,127
2015-07,99,43~165,良,31,52,0.29,12,28,157
2015-08,101,34~207,轻度污染,36,57,0.568,17,28,159
2015-09,79,40~124,良,29,63,0.59,14,33,133
2015-10,90,54~139,良,57,121,0.732,15,43,111
2015-11,81,28~162,良,58,95,1.097,17,36,58
2015-12,138,42~328,轻度污染,104,166,1.694,44,58,40
2016-01,113,40~294,轻度污染,82,132,1.594,47,48,56
2016-02,87,38~180,良,60,100,1.338,35,41,85
2016-03,89,46~186,良,55,110,0.86,22,42,116
2016-04,115,53~342,轻度污染,56,142,0.79,16,36,144
2016-05,106,55~186,轻度污染,45,94,0.581,15,31,161
2016-06,103,52~167,轻度污染,35,66,0.43,8,23,162
2016-07,78,0~124,良,35,57,0.535,6,19,129
2016-08,67,30~142,良,26,52,0.503,7,23,114
2016-09,86,32~169,良,36,68,0.573,11,30,139
2016-10,66,40~108,良,38,70,0.606,8,33,98
2016-11,89,31~166,良,60,109,0.98,20,45,68
2016-12,111,33~304,轻度污染,82,119,1.332,28,47,56
2017-01,105,38~252,轻度污染,77,108,1.41,29,41,65
2017-02,88,0~234,良,62,87,0.989,26,33,82
2017-03,75,0~142,良,49,84,0.952,19,34,105
2017-04,79,50~119,良,41,94,0.72,14,25,126
2017-05,118,45~202,轻度污染,37,112,0.458,10,20,163
2017-06,110,50~206,轻度污染,32,68,0.363,9,20,170
2017-07,108,52~201,轻度污染,45,59,0.445,6,15,166
2017-08,107,36~500,轻度污染,27,773,0.548,6,17,134
2017-09,101,45~157,轻度污染,31,61,0.607,9,27,157
2017-10,64,34~139,良,33,65,0.642,11,28,108
2017-11,74,36~138,良,44,93,0.987,17,32,76
2017-12,87,26~212,良,59,105,1.397,27,45,34
2018-01,95,38~225,良,65,116,1.61,25,40,58
2018-02,72,45~127,良,46,86,1.186,22,29,82
2018-03,76,43~132,良,47,90,0.865,14,29,114
2018-04,89,37~151,良,35,100,0.703,12,25,132
2018-05,90,39~140,良,33,72,0.69,8,23,145
2018-06,101,45~167,轻度污染,32,54,0.543,6,18,159
2018-07,63,20~161,良,24,39,0.59,5,16,108
2018-08,65,28~99,良,20,37,0.577,11,15,113
2018-09,88,36~153,良,23,51,0.753,7,24,143
2018-10,75,40~124,良,32,72,0.681,8,35,121
2018-11,106,35~340,轻度污染,66,131,1.22,11,42,80
2018-12,81,35~183,良,53,95,1.319,19,43,55
2019-01,117,54~270,轻度污染,83,135,1.848,26,50,59
2019-02,104,36~204,轻度污染,73,123,1.404,16,30,94
2019-03,83,0~201,良,51,110,0.926,11,30,104
2019-04,72,39~165,良,32,85,0.693,7,21,111
2019-05,82,41~171,良,34,91,0.774,9,24,123
2019-06,67,37~120,良,25,57,0.633,5,16,117
2019-07,79,28~126,良,32,54,0.658,5,20,133
2019-08,72,25~145,良,24,48,0.606,8,20,119
2019-09,91,46~185,良,32,71,0.697,11,22,147
2019-10,87,40~150,良,53,107,0.765,10,32,113
2019-11,71,34~130,良,40,89,0.74,12,33,71
2019-12,94,31~228,良,68,103,1.19,17,42,49
2020-01,99,29~228,良,73,103,1.129,20,32,69
2020-02,62,33~180,良,41,59,0.748,11,17,79
2020-03,63,0~162,良,35,74,0.648,9,21,85
2020-04,74,0~291,良,39,75,0.48,10,21,107
2020-05,81,46~138,良,24,59,0.555,7,18,134
2020-06,125,0~500,轻度污染,62,91,0.58,8,19,146
2020-07,87,38~155,良,23,45,0.39,7,16,137
2020-08,64,23~131,良,17,33,0.503,6,13,113
2020-09,76,37~140,良,22,44,0.537,8,21,129
2020-10,67,42~124,良,36,72,0.626,10,34,100
2020-11,66,27~144,良,41,74,0.64,10,30,72
2020-12,118,43~252,轻度污染,87,125,1.306,18,45,52
2021-01,96,46~162,良,64,114,0.994,15,36,60
2021-02,72,39~132,良,49,76,0.743,12,22,89
2021-03,111,42~482,轻度污染,58,134,0.661,12,29,106
2021-04,69,43~160,良,31,66,0.417,10,21,113
2021-05,80,0~184,良,28,70,0.458,7,19,121
2021-06,81,0~201,良,19,40,0.413,9,18,133
2021-07,52,0~117,良,14,27,0.416,9,14,83
2021-08,76,32~119,良,18,32,0.465,10,16,130
2021-09,71,30~120,良,15,28,0.477,9,15,123
2021-10,69,28~142,良,35,62,0.6,7,29,100
2021-11,73,35~166,良,46,87,0.65,9,38,75
2021-12,55,0~190,良,38,61,0.574,7,25,33
2022-01,0,0~0,无,0,0,0,0,0,0
2022-02,0,0~0,无,0,0,0,0,0,0
2022-03,0,0~0,无,0,0,0,0,0,0
2022-04,0,0~0,无,0,0,0,0,0,0
