month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-05,96,35~220,良,0,79,1.274,12,30,0
2013-06,130,54~500,轻度污染,0,124,21.257,18,42,0
2013-07,104,44~500,轻度污染,0,94,249.145,9,31,0
2013-08,161,68~266,中度污染,0,74,0.861,20,33,196
2013-09,109,48~237,轻度污染,0,108,1.121,20,40,110
2013-10,138,49~352,轻度污染,0,207,1.935,45,62,125
2013-11,302,47~500,严重污染,108,181,1.54,72,56,1489
2013-12,261,64~500,重度污染,203,260,36.645,101,72,54
2014-01,224,81~395,重度污染,178,261,1.819,91,69,50
2014-02,177,57~350,中度污染,138,178,1.336,60,44,73
2014-03,136,76~253,轻度污染,101,161,0.997,47,49,90
2014-04,110,54~222,轻度污染,78,119,1.07,44,44,103
2014-05,99,52~204,良,59,128,0.816,43,38,124
2014-06,102,50~190,轻度污染,71,110,1.037,49,37,126
2014-07,87,44~145,良,56,95,0.758,33,28,128
2014-08,82,50~145,良,49,90,0.916,40,33,116
2014-09,74,33~132,良,47,85,1.157,42,40,81
2014-10,119,57~205,轻度污染,87,135,1.226,61,52,88
2014-11,140,52~394,轻度污染,105,157,1.333,75,57,66
2014-12,120,65~226,轻度污染,85,157,1.074,86,53,67
2015-01,166,72~314,中度污染,128,197,1.413,83,62,65
2015-02,147,66~292,轻度污染,111,180,1.289,63,45,87
2015-03,128,72~222,轻度污染,93,156,1.029,47,47,87
2015-04,106,48~188,轻度污染,74,134,0.81,44,43,114
2015-05,135,65~276,轻度污染,99,164,0.806,53,37,142
2015-06,141,66~272,轻度污染,102,163,0.923,55,36,142
2015-07,133,53~218,轻度污染,94,139,0.777,50,34,150
2015-08,98,57~149,良,54,94,0.897,34,31,150
2015-09,101,52~190,轻度污染,67,113,1.02,35,38,132
2015-10,106,40~199,轻度污染,72,134,1.09,46,49,103
2015-11,75,38~135,良,48,74,1.34,34,47,49
2015-12,155,48~312,中度污染,117,179,1.645,55,51,45
