month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,81,81~81,良,60,89,1.6,32,42,44
2015-01,67,33~132,良,41,79,1.348,41,36,58
2015-02,60,30~98,良,34,63,1.136,19,21,81
2015-03,61,30~133,良,23,57,0.8,20,29,95
2015-04,68,35~109,良,16,47,0.607,18,23,118
2015-05,75,52~115,良,18,48,0.461,19,19,130
2015-06,56,23~85,良,11,35,0.407,19,20,99
2015-07,77,27~131,良,18,47,0.368,21,26,127
2015-08,65,37~111,良,15,41,0.361,19,27,111
2015-09,47,32~70,优,10,36,0.49,15,31,78
2015-10,66,38~100,良,19,63,0.581,17,48,80
2015-11,59,32~79,良,19,53,1.027,18,46,35
2015-12,76,40~132,良,40,87,1.052,23,56,40
2016-01,85,47~150,良,59,101,1.21,23,48,56
2016-02,86,47~182,良,49,104,1.017,23,35,84
2016-03,81,51~192,良,37,97,0.877,19,40,103
2016-04,62,38~99,良,16,51,0.643,17,35,107
2016-05,69,46~110,良,26,60,0.548,17,30,115
2016-06,77,50~126,良,16,45,0.42,19,26,132
2016-07,56,31~95,良,8,31,0.671,19,28,100
2016-08,51,37~75,良,11,36,0.748,17,25,96
2016-09,57,39~94,良,15,46,0.647,19,33,92
2016-10,52,32~100,良,13,44,0.661,16,31,71
2016-11,70,39~113,良,28,91,1.133,19,41,41
2016-12,93,51~143,良,55,131,1.294,23,54,32
2017-01,89,31~174,良,46,106,1.397,21,47,44
2017-02,73,35~117,良,38,94,1.161,19,40,57
2017-03,68,34~134,良,26,78,1.01,20,44,64
2017-04,65,39~99,良,20,63,0.747,19,38,95
2017-05,71,38~120,良,24,63,0.823,17,39,107
2017-06,61,40~93,良,16,48,0.677,22,32,109
2017-07,61,41~109,良,11,33,0.758,26,31,110
2017-08,53,33~83,良,7,27,0.81,22,29,95
2017-09,46,31~61,优,11,30,0.88,21,35,63
2017-10,38,26~56,优,10,24,0.832,19,29,40
2017-11,57,35~91,良,26,61,0.947,21,40,40
2017-12,100,26~628,轻度污染,40,75,1.229,26,56,27
2018-01,66,27~107,良,36,77,0.981,20,43,53
2018-02,65,0~158,良,37,70,0.868,19,34,70
2018-03,57,30~84,良,24,57,0.742,22,39,86
2018-04,60,0~89,良,20,59,0.573,19,34,97
2018-05,55,0~104,良,21,45,0.565,20,31,99
2018-06,54,31~100,良,13,35,0.587,22,28,87
2018-07,43,31~75,优,11,26,0.629,19,26,77
2018-08,55,33~78,良,12,29,0.645,25,21,103
2018-09,37,26~49,优,13,25,0.597,14,24,64
2018-10,46,28~62,优,25,46,0.613,14,32,54
2018-11,52,0~83,良,33,55,0.687,11,32,42
2018-12,62,0~115,良,42,71,1.077,10,34,34
2019-01,74,40~102,良,52,83,1.452,11,46,44
2019-02,63,52~119,良,43,69,1.032,9,28,56
