month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,153,153~153,中度污染,117,174,1.1,38,25,66
2015-01,151,35~266,中度污染,115,180,1.342,26,29,51
2015-02,107,33~222,轻度污染,78,128,1.2,21,26,69
2015-03,75,39~107,良,42,81,0.881,25,22,99
2015-04,83,40~138,良,29,63,0.777,25,20,138
2015-05,76,48~125,良,29,66,0.739,23,19,129
2015-06,66,37~121,良,23,54,0.74,17,17,112
2015-07,98,47~162,良,29,67,0.665,16,18,155
2015-08,84,47~118,良,35,67,0.774,15,18,139
2015-09,63,36~108,良,35,61,0.86,17,19,104
2015-10,69,29~122,良,46,73,0.839,18,23,94
2015-11,55,28~109,良,35,58,1.09,22,23,39
2015-12,81,34~175,良,57,85,0.974,26,30,38
2016-01,97,39~175,良,71,100,1.142,27,29,45
2016-02,112,34~291,轻度污染,84,110,1.097,16,28,72
2016-03,79,37~133,良,56,82,0.913,25,30,102
2016-04,65,36~128,良,39,67,0.823,19,27,97
2016-05,75,37~132,良,38,74,0.755,17,22,119
2016-06,76,33~149,良,30,56,0.703,12,17,126
2016-07,71,35~117,良,24,46,0.645,10,15,123
2016-08,71,31~124,良,31,52,0.752,12,17,122
2016-09,69,36~159,良,43,70,0.927,13,23,95
2016-10,52,26~110,良,30,59,0.858,17,19,64
2016-11,66,24~110,良,37,84,1.083,24,27,38
2016-12,99,59~169,良,70,135,1.265,26,34,33
2017-01,112,30~202,轻度污染,80,153,1.416,18,36,40
2017-02,81,42~135,良,56,108,1.207,16,32,60
2017-03,64,32~113,良,30,72,0.939,22,33,74
2017-04,64,27~110,良,27,65,0.833,17,29,103
2017-05,71,26~119,良,30,66,0.826,14,29,115
2017-06,60,30~110,良,22,48,0.813,16,22,105
2017-07,79,26~128,良,20,45,0.69,12,21,133
2017-08,74,23~126,良,20,43,0.716,7,16,127
2017-09,43,21~88,优,20,40,0.837,5,18,71
2017-10,39,19~77,优,21,40,0.819,6,20,55
2017-11,61,28~106,良,36,73,0.977,11,31,49
2017-12,103,37~204,轻度污染,77,125,1.174,13,39,28
2018-01,88,26~212,良,64,99,1.071,11,36,40
2018-02,89,37~172,良,64,99,1.036,10,33,53
2018-03,63,25~104,良,42,71,0.874,11,33,72
2018-04,64,32~107,良,32,67,0.7,10,28,100
2018-05,64,32~117,良,32,61,0.661,9,22,102
2018-06,58,29~112,良,24,46,0.697,8,19,100
2018-07,62,35~111,良,18,37,0.635,7,16,110
2018-08,75,43~119,良,27,49,0.71,7,19,129
2018-09,44,25~98,优,19,37,0.657,6,15,76
2018-10,55,28~139,良,36,58,0.729,6,25,54
2018-11,59,18~102,良,40,61,0.737,7,29,39
2018-12,77,34~169,良,55,81,0.845,9,28,29
2019-01,100,47~176,良,74,103,1.168,8,35,34
2019-02,74,38~149,良,53,76,0.954,8,25,53
2019-03,56,28~93,良,36,60,0.745,8,32,69
2019-04,59,33~102,良,24,47,0.717,7,28,103
2019-05,60,32~104,良,29,53,0.671,5,21,100
2019-06,56,29~125,良,19,37,0.727,5,19,98
2019-07,55,26~95,良,17,32,0.684,4,17,99
2019-08,79,24~156,良,26,47,0.594,5,19,130
2019-09,55,20~102,良,25,47,0.563,4,21,95
2019-10,36,19~69,优,16,31,0.565,4,22,54
2019-11,52,26~72,良,32,58,0.65,4,31,35
2019-12,78,29~119,良,56,82,0.81,7,36,29
2020-01,71,32~129,良,51,74,0.971,4,24,39
2020-02,76,34~125,良,55,74,0.869,4,16,55
2020-03,59,24~90,良,32,59,0.677,5,23,84
2020-04,64,34~127,良,27,49,0.673,6,23,104
2020-05,79,42~144,良,28,54,0.623,7,20,132
2020-06,59,29~125,良,19,35,0.56,4,15,104
2020-07,49,26~97,优,15,32,0.461,4,12,89
2020-08,66,26~129,良,20,37,0.471,6,13,117
2020-09,51,22~103,良,23,38,0.563,5,14,93
2020-10,40,19~113,优,24,39,0.632,4,18,51
2020-11,51,19~95,良,35,52,0.763,5,27,64
2020-12,80,25~206,良,59,76,0.819,5,28,30
2021-01,96,44~162,良,71,93,0.952,6,35,46
2021-02,83,22~189,良,61,80,0.871,6,28,73
2021-03,50,23~82,良,30,52,0.677,8,25,70
2021-04,42,20~92,优,20,35,0.597,7,19,71
2021-05,64,28~151,良,32,51,0.584,7,18,98
2021-06,62,21~130,良,22,39,0.547,9,14,109
2021-07,59,33~148,良,15,29,0.526,6,11,107
2021-08,54,24~124,良,13,26,0.471,4,9,97
2021-09,53,24~80,良,18,31,0.497,5,11,98
2021-10,40,14~104,优,21,32,0.545,6,14,61
2021-11,69,38~149,良,48,72,0.69,7,22,48
2021-12,77,30~170,良,56,77,0.784,4,24,47
2022-01,79,25~165,良,58,76,0.997,6,24,41
2022-02,53,26~119,良,37,51,0.829,5,19,65
2022-03,58,24~87,良,33,57,0.655,8,21,91
2022-04,60,35~110,良,24,42,0.467,8,17,107
2022-05,58,34~102,良,23,36,0.487,9,13,105
2022-06,69,33~121,良,25,41,0.513,8,14,118
2022-07,79,39~134,良,16,30,0.442,10,12,133
2022-08,73,30~115,良,17,33,0.442,9,13,123
2022-09,59,25~97,良,32,44,0.563,8,14,97
2022-10,57,19~109,良,35,52,0.558,10,19,77
2022-11,59,20~92,良,41,58,0.663,12,20,48
2022-12,89,24~158,良,65,89,0.79,9,24,41
2023-01,122,40~277,轻度污染,91,118,0.929,7,26,53
2023-02,87,23~206,良,63,85,0.993,11,27,52
2023-03,58,22~104,良,37,48,0.597,9,21,78
2023-04,68,26~109,良,35,59,0.477,9,19,105
2023-05,62,30~108,良,29,41,0.513,8,14,105
2023-06,66,23~116,良,22,29,0.44,8,14,114
2023-07,69,33~119,良,20,30,0.426,9,12,120
2023-08,69,32~105,良,21,33,0.448,9,10,122
2023-09,57,16~99,良,24,38,0.443,9,12,97
