month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,109,21~190,轻度污染,82,106,1.283,27,63,81
2014-01,120,59~207,轻度污染,90,117,1.371,22,74,91
2014-02,63,12~145,良,46,61,0.971,12,44,59
2014-03,77,28~172,良,55,79,1.129,17,57,62
2014-04,69,48~108,良,49,69,0.967,19,54,79
2014-05,52,33~102,良,33,49,0.961,16,43,66
2014-06,71,34~142,良,34,53,0.887,15,38,109
2014-07,84,29~191,良,35,55,0.755,16,35,133
2014-08,76,26~186,良,31,49,0.777,15,34,123
2014-09,75,23~148,良,36,56,0.843,16,35,124
2014-10,96,52~139,良,59,85,0.945,17,49,148
2014-11,70,15~125,良,50,67,1.08,16,48,83
2014-12,76,28~142,良,55,82,1.232,19,41,60
2015-01,81,22~176,良,60,85,1.261,20,65,70
2015-02,75,28~147,良,55,75,1.079,12,49,67
2015-03,49,17~90,优,33,49,1.023,10,45,39
2015-04,71,21~170,良,38,60,1.04,14,45,99
2015-05,47,28~99,优,27,42,0.845,12,42,72
2015-06,52,28~89,良,21,36,0.74,11,31,94
2015-07,65,38~159,良,28,45,0.81,9,32,104
2015-08,89,49~200,良,39,60,0.884,13,39,131
2015-09,80,45~157,良,42,65,0.9,11,44,117
2015-10,71,30~131,良,45,77,0.919,12,53,95
2015-11,65,33~95,良,38,67,1.013,14,50,66
2015-12,69,33~166,良,41,64,1.09,12,50,39
2016-01,65,29~153,良,35,54,1.097,9,49,37
2016-02,58,30~130,良,36,53,0.866,9,40,62
2016-03,78,30~175,良,47,71,1.068,13,61,65
2016-04,66,45~129,良,38,55,1.053,13,51,47
2016-05,65,33~147,良,31,51,0.926,11,38,96
2016-06,60,36~120,良,23,41,0.85,9,33,97
2016-07,74,28~202,良,27,45,0.877,12,33,113
2016-08,82,25~197,良,37,56,0.894,14,40,125
2016-09,76,38~201,良,36,57,0.903,12,41,107
2016-10,51,33~85,良,30,48,0.89,11,35,79
2016-11,76,33~166,良,41,69,1.017,14,62,78
2016-12,86,37~128,良,51,83,1.103,14,71,84
2017-01,81,40~205,良,54,76,1.229,12,65,79
2017-02,74,33~122,良,44,62,0.95,13,59,93
2017-03,81,48~109,良,41,66,1.003,12,66,59
2017-04,83,45~181,良,34,61,0.86,12,58,92
2017-05,90,43~201,良,34,56,0.897,12,52,129
2017-06,56,40~117,良,18,35,0.777,10,39,86
2017-07,66,33~151,良,21,36,0.823,12,42,96
2017-08,73,28~152,良,23,39,0.803,11,39,114
2017-09,97,36~204,良,34,55,0.97,12,51,141
2017-10,66,29~122,良,32,49,0.91,11,42,113
2017-11,67,36~108,良,39,59,1,11,51,70
2017-12,81,35~126,良,51,76,1.042,16,65,47
2018-01,89,34~183,良,58,75,1.032,13,68,61
2018-02,66,24~180,良,42,54,0.711,9,41,77
2018-03,77,34~133,良,40,59,0.765,12,56,97
2018-04,73,35~141,良,37,63,0.753,11,50,88
2018-05,71,39~150,良,22,38,0.648,9,36,114
2018-06,67,37~137,良,20,33,0.67,8,36,100
2018-07,57,30~133,良,17,32,0.639,7,33,90
2018-08,67,35~118,良,23,38,0.739,7,41,105
2018-09,71,28~134,良,27,42,0.677,8,39,117
2018-10,79,41~147,良,35,55,0.765,10,48,108
2018-11,67,35~99,良,39,59,0.857,8,51,78
2018-12,57,27~113,良,32,49,0.874,7,45,52
2019-01,73,38~122,良,48,69,1.187,7,54,64
2019-02,49,25~97,优,26,42,0.954,5,35,52
2019-03,67,38~101,良,29,52,0.877,6,52,69
2019-04,62,43~89,良,24,42,0.807,6,47,73
2019-05,62,37~168,良,21,37,0.735,6,39,92
2019-06,64,36~135,良,16,30,0.683,5,34,101
2019-07,59,28~142,良,19,36,0.648,6,32,98
2019-08,83,24~167,良,23,41,0.732,6,36,130
2019-09,99,29~166,良,30,54,0.753,7,41,153
2019-10,101,50~164,轻度污染,39,66,0.826,8,42,154
2019-11,91,38~142,良,42,84,0.827,9,57,142
2019-12,82,42~122,良,42,85,0.984,10,68,86
2020-01,62,25~122,良,29,53,0.926,6,44,80
2020-02,50,20~92,优,24,35,0.734,5,30,81
2020-03,55,35~79,良,21,39,0.726,6,39,66
2020-04,81,38~201,良,27,53,0.807,8,48,109
2020-05,66,34~137,良,18,37,0.71,6,33,114
2020-06,52,32~100,良,12,26,0.63,6,28,85
2020-07,64,30~158,良,12,28,0.584,6,24,110
2020-08,76,27~161,良,18,33,0.635,7,31,122
2020-09,68,34~164,良,21,38,0.81,7,39,108
2020-10,66,36~140,良,28,50,0.777,8,33,113
2020-11,73,34~125,良,32,62,0.827,9,44,114
2020-12,60,29~110,良,35,63,0.906,9,45,78
2021-01,77,37~170,良,45,87,0.842,10,58,93
2021-02,72,20~127,良,28,47,0.725,8,31,116
2021-03,62,33~120,良,29,60,0.803,8,42,85
2021-04,73,34~200,良,25,52,0.803,7,37,109
2021-05,57,30~153,良,16,35,0.639,7,26,104
2021-06,58,27~122,良,15,30,0.65,7,25,102
2021-07,71,25~126,良,16,33,0.642,7,24,121
2021-08,57,32~139,良,15,31,0.655,7,29,101
2021-09,83,34~163,良,22,40,0.73,7,31,137
2021-10,54,20~103,良,20,36,0.713,7,27,92
2021-11,57,31~81,良,25,51,0.633,8,39,93
2021-12,58,33~88,良,31,57,0.771,8,43,79
2022-01,55,24~100,良,31,53,0.961,7,40,67
2022-02,36,19~117,优,16,25,0.793,6,23,60
2022-03,62,27~120,良,24,45,0.79,7,37,99
2022-04,68,29~155,良,21,42,0.7,7,30,109
2022-05,60,28~150,良,18,33,0.703,6,29,99
2022-06,41,25~82,优,11,24,0.6,6,23,74
2022-07,77,23~167,良,17,32,0.606,6,22,125
2022-08,59,22~124,良,14,26,0.626,6,23,102
2022-09,103,28~161,轻度污染,31,53,0.757,7,30,161
2022-10,85,32~144,良,25,49,0.635,7,28,141
2022-11,52,25~127,良,23,39,0.757,5,33,79
2022-12,46,22~69,优,26,43,0.668,6,28,71
2023-01,49,22~92,优,29,44,0.71,6,22,70
2023-02,63,26~119,良,31,53,0.771,6,37,94
2023-03,74,28~145,良,30,59,0.729,6,39,104
2023-04,58,29~147,良,23,43,0.727,6,32,91
2023-05,63,28~142,良,22,40,0.665,5,26,108
2023-06,60,27~153,良,15,27,0.68,5,22,104
2023-07,60,28~123,良,13,25,0.594,6,19,107
2023-08,58,32~148,良,16,29,0.665,6,23,104
2023-09,56,24~133,良,16,28,0.647,6,24,97
2023-10,58,22~135,良,23,37,0.697,6,26,101
2023-11,69,23~132,良,31,58,0.7,6,41,111
2023-12,57,25~95,良,31,55,0.758,7,42,46
2024-01,63,25~114,良,35,59,0.8,6,42,91
2024-02,39,20~69,优,20,31,0.7,5,19,61
2024-03,53,28~87,良,25,47,0.748,6,34,75
2024-04,48,29~104,优,19,33,0.68,5,29,75
2024-05,67,28~154,良,18,32,0.655,6,28,109
2024-06,40,28~75,优,12,23,0.6,5,22,76
2024-07,48,25~95,优,11,22,0.594,5,19,89
2024-08,67,34~120,良,19,32,0.648,5,26,114
2024-09,62,21~127,良,17,29,0.66,6,24,109
2024-10,68,43~111,良,22,38,0.661,7,21,120
2024-11,48,22~84,优,20,35,0.64,7,24,84
2024-12,62,34~95,良,39,63,0.716,8,38,102
2025-01,67,30~93,良,37,63,0.71,7,39,111
2025-02,49,25~74,优,26,42,0.646,6,26,83
2025-03,64,21~171,良,22,41,0.555,6,33,101
2025-04,78,34~130,良,32,59,0.644,6,40,128
