month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,120,120~120,轻度污染,91,155,2.5,98,30,68
2015-01,97,64~240,良,65,124,2.826,93,29,71
2015-02,107,56~183,轻度污染,64,140,2.275,67,23,86
2015-03,87,40~139,良,49,113,1.294,32,25,96
2015-04,93,53~326,良,38,113,1.907,12,19,114
2015-05,87,52~167,良,28,87,1.439,10,17,134
2015-06,66,33~105,良,24,61,0.817,5,12,111
2015-07,67,46~88,良,28,56,0.9,7,13,119
2015-08,58,40~95,良,21,48,0.767,8,15,104
2015-09,48,32~64,优,21,38,0.863,5,16,91
2015-10,49,22~172,优,25,50,0.781,11,25,72
2015-11,53,30~102,良,27,45,1.347,49,27,38
2015-12,80,43~192,良,45,72,1.197,80,24,49
2016-01,82,58~203,良,44,71,1.113,98,20,51
2016-02,89,46~182,良,41,106,1.162,84,15,64
2016-03,63,39~139,良,31,71,1.471,37,14,79
2016-04,52,38~78,良,19,51,0.923,9,11,89
2016-05,67,36~149,良,25,70,0.823,7,13,100
2016-06,74,50~111,良,26,54,0.57,6,14,125
2016-07,76,45~104,良,23,41,0.584,6,13,130
2016-08,67,34~95,良,29,45,0.703,5,12,119
2016-09,69,41~110,良,31,50,0.713,8,19,117
2016-10,55,25~124,良,31,57,0.855,10,20,81
2016-11,106,53~390,轻度污染,63,140,1.077,73,37,73
2016-12,101,60~210,轻度污染,68,112,1.31,98,41,76
2017-01,113,54~437,轻度污染,51,82,1.268,98,34,84
2017-02,90,54~167,良,60,94,1.118,81,30,103
2017-03,71,49~158,良,40,62,0.9,40,24,101
2017-04,76,41~154,良,27,57,0.66,9,17,117
2017-05,94,59~282,良,20,49,0.635,8,18,136
2017-06,80,52~104,良,25,58,0.75,5,16,136
2017-07,71,39~111,良,21,51,0.703,7,12,125
2017-08,65,33~108,良,20,43,0.835,8,12,115
2017-09,59,37~81,良,28,62,0.833,9,21,97
2017-10,47,24~72,优,26,49,0.861,10,20,64
2017-11,78,49~181,良,34,75,0.95,20,30,71
2017-12,103,30~350,轻度污染,38,61,1.097,36,33,41
2018-01,62,0~123,良,40,68,0.939,27,25,68
2018-02,62,0~97,良,34,76,0.918,26,19,78
2018-03,39,0~77,优,21,45,0.674,14,20,93
2018-04,39,0~83,优,15,39,0.497,6,16,108
2018-05,38,0~100,优,12,32,0.484,6,14,114
2018-06,65,0~107,良,17,40,0.52,6,14,121
2018-07,46,29~71,优,16,31,0.623,6,9,89
2018-08,54,0~79,良,18,37,0.606,7,11,104
2018-09,46,0~70,优,15,38,0.543,10,15,86
2018-10,52,0~68,良,21,52,0.516,8,20,88
2018-11,47,0~94,优,28,53,0.757,18,25,66
2018-12,56,0~95,良,33,66,0.823,20,26,55
2019-01,85,51~196,良,57,90,1.013,23,26,68
2019-02,87,53~147,良,55,91,0.829,15,18,81
2019-03,69,45~131,良,34,80,0.539,11,18,96
2019-04,71,26~122,良,28,78,0.61,6,16,113
2019-05,94,38~500,良,36,105,0.632,5,15,113
2019-06,71,43~102,良,17,40,0.59,6,14,123
2019-07,71,33~108,良,15,41,0.587,7,12,122
2019-08,58,30~97,良,13,35,0.642,9,12,107
2019-09,57,34~80,良,16,37,0.737,8,14,106
2019-10,55,23~160,良,24,62,0.774,8,20,80
2019-11,62,35~101,良,37,65,0.94,15,25,65
2019-12,69,41~148,良,45,72,1.013,20,26,67
2020-01,81,42~127,良,58,75,1.171,18,21,73
2020-02,66,38~122,良,37,70,0.883,13,10,83
2020-03,74,42~174,良,34,97,0.732,11,14,94
2020-04,66,42~94,良,27,62,0.74,9,16,113
2020-05,70,45~129,良,23,67,0.574,9,15,113
2020-06,73,44~110,良,18,46,0.643,9,14,125
2020-07,64,36~102,良,15,35,0.71,7,11,115
2020-08,52,27~89,良,13,27,0.697,7,12,97
2020-09,57,38~85,良,17,42,0.65,9,17,105
2020-10,54,24~134,良,23,61,0.603,6,17,80
2020-11,69,25~103,良,44,75,0.797,10,21,74
2020-12,65,40~92,良,41,71,0.906,15,21,61
2021-01,74,38~166,良,26,50,0.881,16,17,70
2021-02,71,38~163,良,33,67,0.8,15,15,81
2021-03,113,40~497,轻度污染,22,40,0.768,9,17,80
2021-04,67,32~153,良,19,34,0.64,6,14,92
2021-05,75,36~186,良,16,40,0.542,6,12,111
2021-06,70,36~105,良,16,41,0.513,7,13,122
2021-07,67,33~92,良,14,31,0.597,6,11,118
2021-08,65,35~120,良,13,29,0.668,7,12,115
2021-09,49,31~79,优,10,26,0.66,8,12,93
2021-10,45,22~67,优,21,43,0.739,6,16,69
2021-11,60,37~133,良,30,70,0.783,11,21,73
2021-12,50,28~82,良,28,54,0.829,13,22,67
2022-01,84,36~188,良,58,80,1,11,21,71
2022-02,70,42~124,良,43,70,0.768,13,18,96
2022-03,93,46~246,良,40,132,0.471,9,18,105
2022-04,77,49~128,良,30,89,0.427,5,12,120
2022-05,84,48~112,良,21,47,0.335,6,9,138
2022-06,87,52~131,良,15,42,0.287,7,9,144
2022-07,66,36~111,良,14,34,0.529,7,8,117
2022-08,51,29~74,良,17,37,0.429,7,8,97
2022-09,58,37~75,良,23,43,0.453,5,12,108
2022-10,55,17~97,良,31,57,0.552,7,15,89
2022-11,67,36~131,良,38,78,0.677,9,19,75
2022-12,79,39~180,良,42,102,0.558,12,19,77
2023-01,99,51~430,良,51,122,0.6,11,17,85
2023-02,81,40~168,良,53,75,0.886,10,19,82
2023-03,80,36~199,良,38,105,0.458,8,13,95
2023-04,115,29~500,轻度污染,45,153,0.35,5,11,103
2023-05,64,33~109,良,20,51,0.274,5,12,109
2023-06,84,49~119,良,16,40,0.263,5,11,140
2023-07,78,39~131,良,16,42,0.348,6,8,130
2023-08,60,38~101,良,15,37,0.423,5,9,108
2023-09,55,34~131,良,18,41,0.427,6,10,98
2023-10,47,30~65,优,23,42,0.429,7,16,88
2023-11,65,34~143,良,30,78,0.51,10,20,76
2023-12,74,26~167,良,41,88,0.616,11,22,39
2024-01,68,33~137,良,43,71,0.81,13,22,74
2024-02,100,50~500,轻度污染,59,124,0.769,9,13,81
2024-03,85,41~364,良,37,106,0.435,8,13,105
2024-04,97,52~443,良,38,112,0.363,6,13,118
2024-05,89,40~122,良,21,53,0.403,7,11,144
2024-06,84,57~115,良,17,45,0.36,4,9,140
2024-07,75,28~123,良,18,40,0.419,5,8,124
2024-08,72,44~190,良,16,42,0.468,6,8,121
2024-09,60,37~106,良,19,41,0.473,7,8,109
2024-10,53,33~76,良,25,50,0.465,7,14,98
2024-11,56,30~92,良,32,58,0.493,9,17,72
2024-12,55,35~87,良,30,58,0.623,8,18,75
2025-01,76,38~195,良,44,83,0.674,9,18,85
2025-02,59,40~108,良,31,63,0.543,6,13,85
2025-03,100,39~477,轻度污染,42,126,0.439,5,12,95
2025-04,90,65~129,良,41,129,0.267,5,11,112
