month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,80,40~152,良,54,101,2.83,83,51,35
2014-01,95,60~256,良,66,124,2.542,93,50,34
2014-02,119,28~206,轻度污染,85,133,2.804,54,41,51
2014-03,99,54~312,良,53,138,2.342,37,43,70
2014-04,87,32~223,良,45,121,2.163,12,37,82
2014-05,96,28~185,良,47,140,1.503,11,41,110
2014-06,82,47~122,良,42,103,2.193,8,42,130
2014-07,83,44~111,良,31,90,1.155,8,36,132
2014-08,72,33~117,良,30,79,1.181,8,34,116
2014-09,62,22~108,良,35,74,1.6,7,35,85
2014-10,91,46~188,良,49,128,2.132,14,50,77
2014-11,90,61~143,良,54,117,1.94,37,51,50
2014-12,90,63~152,良,51,127,3.358,72,51,43
2015-01,101,56~213,轻度污染,68,130,3.861,80,57,49
2015-02,97,48~159,良,58,125,2.964,53,41,76
2015-03,90,46~123,良,49,125,2.168,30,42,89
2015-04,80,52~170,良,37,107,1.543,11,38,110
2015-05,83,56~116,良,40,105,1.361,9,41,119
2015-06,84,50~139,良,36,93,1.093,7,39,126
2015-07,84,55~134,良,36,80,1.119,9,48,136
2015-08,77,47~125,良,32,76,1.235,8,44,114
2015-09,73,51~112,良,40,81,1.347,9,43,102
2015-10,78,47~215,良,41,96,1.432,12,47,68
2015-11,76,33~115,良,51,92,1.983,29,49,41
2015-12,103,59~193,轻度污染,71,116,1.968,46,56,47
2016-01,80,43~214,良,53,93,1.623,55,47,53
2016-02,89,40~190,良,48,117,1.134,50,39,75
2016-03,112,51~355,轻度污染,62,140,1.352,26,57,111
2016-04,85,50~125,良,37,108,1.313,8,53,129
2016-05,94,46~154,良,39,92,1.181,9,45,139
2016-06,82,53~151,良,25,63,1.163,8,43,137
2016-07,76,47~115,良,30,61,1.255,8,35,118
2016-08,66,40~98,良,34,65,1.384,8,39,99
2016-09,62,42~84,良,28,67,1.473,10,43,98
2016-10,61,38~105,良,32,66,1.5,14,43,60
2016-11,95,47~153,良,61,126,2.403,62,63,44
2016-12,106,56~168,轻度污染,77,123,2.916,78,70,32
2017-01,101,47~179,轻度污染,65,105,2.739,86,66,45
2017-02,91,37~148,良,60,102,2.364,71,64,74
2017-03,77,53~128,良,43,80,1.832,42,54,93
2017-04,79,38~217,良,27,76,1.17,15,47,108
2017-05,91,45~366,良,32,79,1.126,14,48,127
2017-06,88,49~115,良,33,77,1.193,12,46,145
2017-07,82,40~140,良,35,86,1.21,10,45,132
2017-08,73,41~120,良,29,68,1.181,11,42,116
2017-09,71,51~88,良,34,90,1.27,11,44,101
2017-10,60,28~97,良,34,66,1.529,13,42,56
2017-11,85,64~118,良,51,123,2.28,40,63,52
2017-12,99,52~220,良,57,112,2.629,62,66,27
2018-01,77,45~112,良,42,88,2.032,60,52,52
2018-02,65,0~123,良,34,71,1.839,70,48,73
2018-03,73,0~102,良,38,93,1.426,25,49,94
2018-04,53,0~105,良,23,63,1.033,11,42,109
2018-05,66,0~116,良,24,59,0.974,11,37,128
2018-06,73,40~132,良,24,57,0.987,11,38,125
2018-07,54,30~85,良,20,45,1.139,8,28,98
2018-08,59,35~94,良,22,53,1.158,9,30,105
2018-09,52,30~68,良,18,52,0.973,11,34,80
2018-10,65,48~90,良,29,73,1.132,15,46,83
2018-11,59,0~100,良,31,67,1.73,27,55,54
2018-12,66,0~102,良,36,82,1.865,31,51,46
2019-01,88,54~176,良,55,99,2.023,30,56,46
2019-02,78,44~128,良,48,84,1.393,16,41,60
2019-03,79,56~148,良,35,102,1.071,12,50,84
2019-04,75,45~116,良,31,89,0.753,8,39,118
2019-05,98,43~470,良,35,105,0.574,7,35,122
2019-06,83,48~123,良,22,55,0.603,5,37,139
2019-07,79,45~118,良,18,46,0.555,4,33,134
2019-08,66,35~127,良,17,41,0.535,4,32,112
2019-09,60,32~94,良,22,49,0.633,3,36,108
2019-10,58,30~145,良,29,63,0.748,4,39,63
2019-11,66,39~107,良,36,73,1.187,9,43,49
2019-12,70,37~118,良,43,68,1.429,13,52,47
2020-01,87,55~139,良,63,78,1.548,12,46,64
2020-02,68,39~132,良,39,76,1.059,8,32,80
2020-03,71,45~116,良,33,87,0.713,7,39,97
2020-04,74,54~118,良,32,76,0.53,5,43,119
2020-05,74,46~166,良,24,73,0.419,4,31,119
2020-06,76,40~113,良,23,55,0.45,3,30,127
2020-07,67,32~95,良,19,40,0.516,3,22,119
2020-08,53,27~87,良,15,31,0.529,2,22,100
2020-09,54,35~78,良,22,42,0.6,4,32,93
2020-10,57,35~126,良,28,61,0.639,5,38,70
2020-11,73,31~127,良,48,70,1.13,8,48,64
2020-12,68,33~95,良,43,66,1.448,10,47,47
2021-01,86,42~163,良,33,59,1.374,12,48,56
2021-02,69,40~118,良,39,66,1.096,9,40,75
2021-03,146,49~500,轻度污染,28,53,0.89,6,36,88
2021-04,76,32~296,良,24,43,0.533,4,32,102
2021-05,83,36~193,良,18,40,0.448,3,27,118
2021-06,75,36~110,良,22,53,0.54,3,29,129
2021-07,73,34~109,良,16,37,0.568,3,21,125
2021-08,74,38~128,良,17,41,0.61,4,25,126
2021-09,50,28~90,良,12,32,0.633,4,25,93
2021-10,47,22~65,优,20,48,0.661,3,31,62
2021-11,68,45~108,良,34,82,1.113,7,46,57
2021-12,58,31~74,良,32,59,1.242,8,45,52
2022-01,76,47~147,良,53,54,1.365,8,34,66
2022-02,60,37~100,良,37,62,1.154,8,36,81
2022-03,102,53~499,轻度污染,42,142,0.852,7,39,95
2022-04,76,43~142,良,30,94,0.5,4,33,111
2022-05,78,37~130,良,20,49,0.561,5,28,132
2022-06,83,41~115,良,16,49,0.437,4,27,139
2022-07,71,37~117,良,15,38,0.458,4,23,123
2022-08,54,25~71,良,18,41,0.581,4,21,101
2022-09,59,38~95,良,18,42,0.487,5,28,108
2022-10,50,24~75,优,24,50,0.616,7,35,80
2022-11,66,44~132,良,36,74,0.83,8,40,57
2022-12,70,47~114,良,40,84,1.045,10,43,59
2023-01,88,55~164,良,51,107,1.094,11,45,63
2023-02,78,40~122,良,53,76,0.961,9,43,79
2023-03,88,49~308,良,41,116,0.635,7,37,98
2023-04,121,29~489,轻度污染,44,156,0.557,6,29,105
2023-05,66,37~96,良,21,52,0.539,6,30,113
2023-06,84,48~113,良,16,38,0.417,5,29,140
2023-07,76,30~113,良,15,37,0.416,5,28,129
2023-08,62,29~99,良,16,36,0.523,5,25,111
2023-09,53,36~85,良,17,38,0.573,6,27,95
2023-10,49,32~63,优,19,44,0.619,5,37,70
2023-11,65,39~103,良,25,75,0.677,5,42,58
2023-12,70,42~130,良,39,84,0.977,7,43,30
2024-01,68,37~93,良,41,72,1.071,7,46,54
2024-02,103,48~500,轻度污染,63,145,0.955,6,31,77
2024-03,76,34~147,良,33,98,0.694,6,37,96
2024-04,75,43~138,良,28,81,0.563,5,31,117
2024-05,85,37~117,良,24,63,0.561,6,30,138
2024-06,81,47~104,良,20,53,0.47,5,26,135
2024-07,77,29~120,良,16,37,0.494,4,19,130
2024-08,63,32~102,良,13,37,0.503,4,19,112
2024-09,53,25~109,良,19,42,0.55,6,19,97
2024-10,49,24~73,优,24,46,0.61,6,32,77
2024-11,56,33~90,良,31,59,0.76,7,34,53
2024-12,59,44~89,良,33,63,0.858,7,42,51
2025-01,69,37~139,良,41,80,1.026,8,42,55
2025-02,61,39~107,良,32,72,0.957,8,38,77
2025-03,97,33~330,良,42,129,0.674,4,33,95
2025-04,120,55~500,轻度污染,44,169,0.481,5,35,107
