month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,34,34~34,优,14,25,0.6,20,11,67
2015-01,87,30~195,良,63,79,0.961,61,28,54
2015-02,79,37~190,良,54,75,0.789,38,24,73
2015-03,68,42~130,良,45,68,0.733,25,21,95
2015-04,66,40~122,良,35,62,0.803,15,21,110
2015-05,64,31~168,良,21,54,0.574,6,18,105
2015-06,56,31~99,良,17,29,0.587,3,19,104
2015-07,56,31~103,良,16,30,0.548,3,18,103
2015-08,40,21~60,优,15,29,0.49,4,15,78
2015-09,40,30~47,优,17,33,0.487,3,17,76
2015-10,51,28~89,良,30,52,0.661,7,27,69
2015-11,88,30~344,良,66,73,0.82,19,35,53
2015-12,87,29~207,良,64,77,1.065,33,38,40
2016-01,60,30~104,良,42,59,0.726,27,25,63
2016-02,64,38~139,良,44,57,0.724,24,26,74
2016-03,63,40~167,良,37,67,0.835,16,24,97
2016-04,68,44~142,良,33,67,0.943,7,20,103
2016-05,64,43~113,良,18,38,0.732,5,18,115
2016-06,48,29~95,优,14,25,0.953,4,17,91
2016-07,43,20~88,优,15,27,0.884,4,14,81
2016-08,44,20~73,优,16,29,0.813,4,16,83
2016-09,39,23~68,优,17,33,0.987,6,16,67
2016-10,47,25~85,优,28,48,0.877,10,23,66
2016-11,72,31~158,良,51,68,1.337,25,32,55
2016-12,81,34~210,良,57,72,1.239,28,38,57
2017-01,80,35~197,良,54,66,1.252,32,33,67
2017-02,61,41~143,良,38,49,0.932,25,26,91
2017-03,64,44~112,良,41,54,0.952,16,24,107
2017-04,81,43~211,良,48,68,0.883,10,24,120
2017-05,80,40~464,良,19,43,0.755,9,17,115
2017-06,56,34~108,良,14,25,0.873,10,19,103
2017-07,60,35~91,良,19,28,0.897,8,16,111
2017-08,35,19~81,优,11,22,0.713,7,11,70
2017-09,43,25~76,优,15,30,0.76,8,16,80
2017-10,52,30~98,良,32,51,0.961,12,28,72
2017-11,59,27~145,良,39,56,0.903,19,28,55
2017-12,62,25~134,良,40,56,1.042,23,27,46
2018-01,55,35~98,良,36,52,0.735,19,21,70
2018-02,76,35~269,良,54,72,0.746,19,22,83
2018-03,68,0~150,良,42,59,0.803,16,23,104
2018-04,69,42~101,良,32,57,0.563,9,17,119
2018-05,59,37~92,良,21,37,0.4,6,14,107
2018-06,54,21~110,良,15,26,0.437,7,17,96
2018-07,39,17~78,优,12,26,0.448,4,13,75
2018-08,34,22~69,优,9,20,0.471,4,13,65
2018-09,32,20~57,优,12,26,0.45,4,16,63
2018-10,37,16~58,优,18,35,0.497,6,21,58
2018-11,50,26~92,优,31,51,0.697,11,27,48
2018-12,56,29~134,良,36,56,0.787,16,24,50
2019-01,63,33~176,良,40,64,0.865,15,23,57
2019-02,62,36~105,良,42,61,0.721,14,18,81
2019-03,78,44~284,良,50,72,0.687,10,22,98
2019-04,70,37~195,良,32,66,0.6,7,17,109
2019-05,62,40~124,良,16,37,0.494,5,15,113
2019-06,52,19~84,良,11,22,0.46,5,15,97
2019-07,41,18~75,优,10,22,0.471,5,11,79
2019-08,36,22~62,优,9,21,0.5,5,10,69
2019-09,38,25~75,优,12,28,0.49,4,14,74
2019-10,40,19~62,优,19,39,0.545,7,20,62
2019-11,42,26~89,优,25,39,0.583,12,22,51
2019-12,56,25~99,良,39,52,0.784,17,26,49
2020-01,64,30~104,良,46,56,0.839,21,28,60
2020-02,46,32~93,优,27,34,0.555,18,16,77
2020-03,51,43~83,良,25,39,0.577,13,15,93
2020-04,55,33~99,良,24,38,0.483,10,13,99
2020-05,52,24~122,良,18,36,0.506,9,12,94
2020-06,47,23~107,优,11,24,0.42,9,13,89
