month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-01,238,81~433,重度污染,193,206,5.594,38,21,0
2013-02,188,93~357,中度污染,145,145,4.557,26,15,0
2013-03,131,86~309,轻度污染,85,118,5.7,30,12,4
2013-04,113,53~205,轻度污染,82,89,2.003,33,16,23
2013-05,99,38~158,良,42,61,0.597,16,19,125
2013-06,158,45~321,中度污染,116,125,0.97,13,22,104
2013-07,113,78~225,轻度污染,64,89,1.01,12,18,5
2013-08,95,59~219,良,57,83,0.981,12,17,120
2013-09,156,53~264,中度污染,113,133,1.147,15,24,104
2013-10,245,49~436,重度污染,203,226,1.771,34,32,103
2013-11,147,57~239,轻度污染,109,131,1.623,47,43,66
2013-12,225,80~450,重度污染,182,198,2.761,86,67,47
2014-01,192,59~348,中度污染,151,161,2.926,73,61,43
2014-02,140,45~262,轻度污染,106,116,2.271,48,36,63
2014-03,129,72~258,轻度污染,96,153,1.816,34,37,88
2014-04,117,66~227,轻度污染,83,119,2.16,14,26,70
2014-05,102,31~180,轻度污染,57,125,1.165,23,23,94
2014-06,100,46~214,轻度污染,68,63,1.22,18,26,119
2014-07,81,35~133,良,51,87,0.671,18,24,109
2014-08,83,33~166,良,60,94,0.984,21,27,94
2014-09,85,32~185,良,59,92,1.263,21,29,82
2014-10,123,48~320,轻度污染,90,140,1.306,30,41,54
2014-11,129,40~315,轻度污染,95,139,1.357,31,50,38
2014-12,94,39~228,良,62,106,1.539,64,51,39
2015-01,168,69~426,中度污染,130,186,2.106,61,62,39
2015-02,121,66~230,轻度污染,88,141,1.939,44,48,71
2015-03,97,55~175,良,61,130,1.584,35,38,84
2015-04,97,36~145,良,56,124,1.373,31,33,120
2015-05,106,75~183,轻度污染,70,139,1.503,26,29,137
2015-06,87,25~174,良,54,115,1.437,18,31,100
2015-07,71,49~101,良,47,86,1.19,10,20,65
2015-08,69,52~108,良,45,78,1.203,15,25,98
2015-09,77,38~172,良,51,95,1.373,19,36,80
