month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,133,133~133,轻度污染,101,155,1.8,26,36,94
2014-01,178,105~278,中度污染,137,175,1.316,35,28,102
2014-02,106,29~173,轻度污染,80,99,1.186,22,14,69
2014-03,92,55~147,良,68,100,1.139,19,15,82
2014-04,73,38~150,良,51,75,1.227,14,13,100
2014-05,76,30~199,良,51,80,1.445,15,13,88
2014-06,81,31~177,良,58,82,1.673,12,12,105
2014-07,52,20~119,良,33,46,1.397,11,8,80
2014-08,59,38~104,良,35,58,1.906,9,9,94
2014-09,65,31~135,良,38,57,1.54,6,11,98
2014-10,90,28~185,良,64,98,1.823,11,16,107
2014-11,65,29~170,良,43,74,1.627,12,17,63
2014-12,89,61~209,良,62,105,2.381,19,26,57
2015-01,123,26~194,轻度污染,92,133,2.419,18,31,60
2015-02,102,27~164,轻度污染,76,105,1.914,12,21,65
2015-03,81,29~206,良,57,90,1.458,10,17,62
2015-04,61,29~101,良,39,64,1.34,8,17,91
2015-05,68,40~145,良,45,71,1.455,9,13,87
2015-06,50,30~99,优,31,50,1.607,9,9,66
2015-07,56,35~105,良,30,54,1.526,9,11,97
2015-08,65,48~89,良,30,54,1.303,8,19,116
2015-09,70,36~98,良,46,75,1.733,9,16,98
2015-10,85,37~142,良,60,94,1.532,10,20,103
2015-11,56,36~87,良,37,55,1.657,6,20,47
2015-12,91,33~199,良,66,95,1.697,8,23,56
2016-01,123,68~226,轻度污染,93,124,2.203,10,28,62
2016-02,88,44~159,良,63,101,1.459,8,20,73
2016-03,86,45~148,良,62,99,1.784,8,24,88
2016-04,60,38~108,良,37,64,1.227,7,21,80
2016-05,63,42~87,良,31,57,1.471,5,16,107
2016-06,48,33~61,优,23,43,1.52,5,15,79
2016-07,48,31~70,优,23,41,1.426,4,17,78
2016-08,57,41~81,良,28,49,1.594,5,19,99
2016-09,80,35~139,良,46,70,1.59,7,21,126
2016-10,59,33~89,良,34,55,1.539,10,20,73
2016-11,69,28~195,良,47,76,1.723,12,21,52
2016-12,112,52~195,轻度污染,84,126,1.813,8,37,61
2017-01,130,44~295,轻度污染,99,141,1.784,9,28,81
2017-02,78,41~170,良,57,79,1.632,9,22,78
2017-03,71,34~140,良,48,75,1.358,8,26,83
2017-04,67,34~90,良,31,59,1.31,9,25,103
2017-05,73,35~133,良,27,50,1.203,8,20,116
2017-06,55,32~95,良,22,38,1.21,9,16,97
2017-07,54,32~95,良,20,40,1.548,9,15,93
2017-08,52,35~76,良,22,41,1.494,7,15,95
2017-09,60,32~105,良,28,52,1.207,7,17,97
2017-10,49,24~101,优,27,43,1.216,7,17,80
2017-11,65,31~96,良,44,73,1.29,7,27,73
2017-12,103,53~205,轻度污染,75,113,1.497,10,35,38
2018-01,81,38~150,良,59,81,1.171,6,23,52
2018-02,81,32~173,良,57,92,1.093,9,21,74
2018-03,49,20~65,优,27,49,0.919,6,19,75
2018-04,58,28~82,良,24,57,0.883,7,19,91
2018-05,52,26~78,良,23,47,0.826,7,15,86
2018-06,54,28~100,良,17,36,0.95,5,16,97
2018-07,40,25~66,优,14,30,0.903,6,15,78
2018-08,53,32~98,良,17,35,0.923,5,18,98
2018-09,50,30~89,优,16,33,0.83,6,18,94
2018-10,53,32~96,良,23,44,0.719,6,24,90
2018-11,48,19~114,优,28,50,0.747,5,24,54
2018-12,80,43~175,良,56,93,0.971,6,27,47
2019-01,101,48~216,轻度污染,75,109,1.406,6,31,65
2019-02,66,26~110,良,48,64,0.832,3,15,59
2019-03,48,26~72,优,24,50,0.732,4,22,76
2019-04,49,27~78,优,23,46,0.87,4,21,81
2019-05,50,28~70,优,20,47,0.797,3,21,78
2019-06,45,23~75,优,16,34,0.79,3,16,80
2019-07,43,25~99,优,15,31,0.861,3,14,80
2019-08,52,32~92,良,19,34,0.855,4,15,97
2019-09,71,43~110,良,24,41,0.863,4,18,124
2019-10,46,24~100,优,20,34,0.677,4,19,82
2019-11,51,18~74,良,29,50,0.603,3,24,62
2019-12,72,32~156,良,51,70,0.803,4,27,49
2020-01,64,22~134,良,46,55,0.761,3,14,45
2020-02,45,18~97,优,31,40,0.583,2,12,48
2020-03,49,23~75,优,28,51,0.6,3,18,64
2020-04,47,21~74,优,23,42,0.54,3,18,80
2020-05,42,19~68,优,19,40,0.529,3,15,75
2020-06,28,18~44,优,12,23,0.57,3,13,50
2020-07,29,17~42,优,13,23,0.542,3,12,54
2020-08,34,20~66,优,12,25,0.516,3,12,66
2020-09,39,28~53,优,15,27,0.617,2,14,76
2020-10,47,23~79,优,22,46,0.584,2,19,73
2020-11,51,20~87,良,28,56,0.607,3,23,61
2020-12,74,51~110,良,52,88,0.706,3,24,51
2021-01,74,27~125,良,49,86,0.839,2,24,54
2021-02,49,24~97,优,32,51,0.546,2,14,54
2021-03,42,20~88,优,23,44,0.51,2,15,48
2021-04,41,22~69,优,23,39,0.497,2,17,55
2021-05,40,21~75,优,16,36,0.452,2,16,69
2021-06,45,26~90,优,15,29,0.53,2,13,85
2021-07,40,29~57,优,13,26,0.426,2,10,80
2021-08,40,25~75,优,14,23,0.655,2,5,77
2021-09,55,35~90,良,19,33,0.52,2,10,103
2021-10,52,27~84,良,22,32,0.581,2,12,89
2021-11,55,27~98,良,37,56,0.48,2,20,62
2021-12,76,45~149,良,55,73,0.616,3,20,53
2022-01,79,20~186,良,58,67,0.852,3,19,43
2022-02,54,35~87,良,37,52,0.543,3,13,70
2022-03,48,19~86,优,24,51,0.439,3,15,69
2022-04,53,34~85,良,21,37,0.35,4,11,99
2022-05,50,29~69,良,20,29,0.413,3,11,94
2022-06,45,24~95,优,12,22,0.317,2,8,85
2022-07,38,15~63,优,10,17,0.274,3,8,74
2022-08,44,29~75,优,10,20,0.226,3,9,86
2022-09,76,25~110,良,21,39,0.33,4,14,128
2022-10,55,15~110,良,20,33,0.255,4,13,98
2022-11,50,25~85,良,29,44,0.33,4,17,80
2022-12,81,46~120,良,60,83,0.661,5,21,66
2023-01,102,31~223,轻度污染,74,101,0.735,5,18,68
2023-02,72,22~139,良,49,72,0.743,5,19,69
2023-03,58,29~128,良,30,60,0.5,5,17,81
2023-04,58,32~107,良,26,56,0.347,5,15,96
