month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,223,74~421,重度污染,181,229,2.004,117,81,27
2014-01,223,72~402,重度污染,178,242,1.668,108,73,40
2014-02,160,49~341,中度污染,124,155,1.711,82,50,50
2014-03,149,70~238,轻度污染,111,181,1.41,59,50,77
2014-04,124,80~204,轻度污染,89,146,1.085,38,38,94
2014-05,111,47~185,轻度污染,81,140,1.59,41,33,103
2014-06,109,51~219,轻度污染,80,104,1.46,36,30,122
2014-07,107,49~187,轻度污染,78,116,1.371,36,32,143
2014-08,102,58~168,轻度污染,75,121,1.548,32,36,139
2014-09,98,38~215,良,71,111,1.863,42,41,98
2014-10,142,55~229,轻度污染,106,158,1.868,55,57,81
2014-11,172,50~397,中度污染,134,180,1.997,57,62,48
2014-12,169,63~296,中度污染,129,188,2.197,93,68,34
2015-01,173,48~352,中度污染,135,193,2.242,87,67,43
2015-02,152,55~292,中度污染,115,182,3.029,69,48,71
2015-03,139,61~421,轻度污染,90,191,1.635,49,41,94
2015-04,110,57~191,轻度污染,75,147,1.353,33,32,122
2015-05,109,62~154,轻度污染,71,137,1.513,31,30,155
2015-06,127,70~200,轻度污染,68,126,1.537,28,26,186
2015-07,125,65~172,轻度污染,76,123,1.606,18,25,178
2015-08,112,61~166,轻度污染,73,117,1.829,21,30,156
2015-09,103,43~214,轻度污染,68,110,1.747,30,39,140
2015-10,134,54~319,轻度污染,100,164,1.748,38,48,105
2015-11,159,32~500,中度污染,124,170,2.133,45,49,43
2015-12,250,52~500,重度污染,209,311,3.077,73,72,36
2016-01,168,62~352,中度污染,130,203,2.142,67,58,44
2016-02,129,40~280,轻度污染,95,158,2.007,52,38,70
2016-03,144,58~283,轻度污染,97,204,1.726,45,41,107
2016-04,125,61~220,轻度污染,77,182,1.527,31,34,139
2016-05,111,62~238,轻度污染,58,133,1.281,30,31,155
2016-06,125,93~182,轻度污染,50,102,1.127,25,26,185
2016-07,110,51~187,轻度污染,63,113,1.19,18,23,163
2016-08,87,44~137,良,42,90,1.319,17,25,129
2016-09,117,51~197,轻度污染,61,118,1.563,30,37,168
2016-10,95,51~234,良,66,118,1.516,24,42,83
2016-11,134,40~259,轻度污染,100,178,1.843,33,51,47
2016-12,185,56~367,中度污染,145,221,2.355,42,58,37
2017-01,179,44~343,中度污染,140,212,2.277,45,55,43
2017-02,137,56~318,轻度污染,104,156,1.464,39,48,84
2017-03,100,56~205,轻度污染,70,123,1.284,27,42,112
2017-04,97,72~180,良,59,129,1.39,26,39,130
2017-05,159,72~500,中度污染,38,98,1.261,19,25,184
2017-06,143,45~202,轻度污染,52,118,1.287,16,26,204
2017-07,114,56~182,轻度污染,56,94,1.287,15,20,162
2017-08,99,39~180,良,42,69,1.226,13,28,153
2017-09,100,44~149,良,45,89,1.26,17,32,156
2017-10,87,36~214,良,59,92,1.487,13,44,76
2017-11,91,49~192,良,58,118,1.393,21,52,61
2017-12,120,43~309,轻度污染,83,141,1.774,23,58,27
2018-01,109,47~284,轻度污染,78,130,1.648,24,50,49
2018-02,114,0~259,轻度污染,79,133,1.6,24,34,82
2018-03,101,52~176,轻度污染,66,119,1.165,15,31,114
2018-04,93,0~166,良,45,116,0.77,13,26,129
2018-05,89,0~148,良,38,85,0.719,11,22,145
2018-06,128,46~163,轻度污染,35,86,0.63,10,24,189
2018-07,94,37~175,良,33,57,0.671,7,13,148
2018-08,91,21~167,良,25,51,0.726,8,16,146
2018-09,76,48~122,良,31,73,0.613,12,31,121
2018-10,84,51~143,良,45,101,0.558,15,46,107
2018-11,114,0~243,轻度污染,81,142,0.953,17,51,67
2018-12,101,0~232,轻度污染,70,131,1.042,23,51,48
2019-01,138,61~309,轻度污染,101,164,1.365,27,55,51
2019-02,146,51~360,轻度污染,109,159,1.121,19,36,82
2019-03,90,45~195,良,52,112,0.732,13,33,112
2019-04,87,40~161,良,48,110,0.69,10,29,122
2019-05,105,67~182,轻度污染,32,93,0.461,10,21,161
2019-06,138,77~186,轻度污染,31,81,0.6,10,19,201
2019-07,111,43~182,轻度污染,28,55,0.568,7,17,171
2019-08,79,24~156,良,21,45,0.684,8,21,133
2019-09,102,33~169,轻度污染,35,72,0.767,11,30,154
2019-10,85,43~164,良,47,100,0.797,12,41,101
2019-11,94,37~209,良,57,126,0.853,16,45,64
