month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,204,204~204,重度污染,154,195,1.7,18,40,27
2014-01,183,73~337,中度污染,142,187,1.832,27,64,69
2014-02,136,29~252,轻度污染,103,128,1.504,18,35,62
2014-03,107,44~248,轻度污染,79,120,0.968,27,45,84
2014-04,86,45~174,良,55,88,0.867,23,32,119
2014-05,104,56~176,轻度污染,72,123,0.784,26,34,136
2014-06,89,37~201,良,57,88,0.833,26,32,130
2014-07,70,29~105,良,34,69,0.661,22,28,114
2014-08,55,24~84,良,31,52,0.816,22,23,92
2014-09,51,29~92,良,31,51,0.94,21,25,73
2014-10,68,23~157,良,48,73,0.926,17,32,63
2014-11,55,22~102,良,38,58,0.923,11,35,36
2014-12,72,32~126,良,51,72,1.026,18,47,36
2015-01,137,28~227,轻度污染,103,152,1.194,16,49,45
2015-02,99,36~217,良,72,112,0.996,14,31,72
2015-03,83,49~129,良,57,100,1.087,16,30,93
2015-04,85,41~172,良,54,96,0.86,19,29,135
2015-05,96,49~164,良,42,82,0.929,14,21,151
2015-06,72,24~131,良,32,56,0.877,11,20,117
2015-07,81,28~144,良,38,68,0.935,16,24,131
2015-08,76,33~165,良,40,71,1.042,17,28,116
2015-09,54,30~102,良,31,54,0.937,9,25,81
2015-10,74,36~135,良,49,83,0.984,14,33,95
2015-11,56,26~95,良,36,60,1.007,9,30,43
2015-12,112,49~281,轻度污染,84,127,1.261,12,39,50
2016-01,115,55~211,轻度污染,85,129,1.319,11,38,59
2016-02,98,56~186,良,68,119,1,10,31,89
2016-03,86,38~176,良,59,111,1.1,16,34,94
2016-04,73,45~119,良,45,85,0.97,14,27,101
2016-05,80,40~146,良,37,70,0.771,12,17,133
2016-06,97,54~174,良,34,70,0.997,14,19,155
2016-07,67,32~139,良,23,44,1.016,15,17,114
2016-08,74,39~166,良,27,52,0.819,14,15,127
2016-09,69,40~134,良,33,63,0.83,9,22,106
2016-10,60,21~126,良,37,61,0.723,9,19,73
2016-11,107,30~185,轻度污染,77,123,0.823,10,29,52
2016-12,141,41~228,轻度污染,107,164,1.142,12,45,44
2017-01,144,49~268,轻度污染,110,164,1.177,11,41,63
2017-02,106,32~191,轻度污染,79,120,0.968,10,34,74
2017-03,74,35~139,良,50,83,0.842,9,32,86
2017-04,80,40~151,良,43,78,0.7,12,30,122
2017-05,98,40~188,良,43,84,0.732,12,31,150
2017-06,92,40~161,良,41,78,0.747,10,26,142
2017-07,92,34~200,良,30,52,0.71,11,19,150
2017-08,65,24~149,良,21,35,0.723,7,16,114
2017-09,58,26~139,良,24,43,0.82,7,23,92
