month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,46,46~46,优,23,46,1,75,25,78
2015-01,128,33~328,轻度污染,95,154,3.129,114,49,50
2015-02,67,37~141,良,41,79,2.807,62,32,78
2015-03,78,48~135,良,50,99,2.574,64,33,108
2015-04,73,50~124,良,48,86,1.737,46,30,102
2015-05,88,26~186,良,47,82,0.832,46,25,128
2015-06,66,27~176,良,35,65,0.96,26,25,87
2015-07,84,45~163,良,56,84,0.729,32,31,121
2015-08,59,44~88,良,32,59,1.135,38,33,102
2015-09,67,31~138,良,41,59,1.447,35,33,85
2015-10,81,35~210,良,57,77,1.445,46,42,64
2015-11,132,45~312,轻度污染,99,127,2.56,95,49,36
2015-12,132,41~295,轻度污染,98,119,3.103,82,44,39
2016-01,83,39~223,良,54,65,2.416,53,26,67
2016-02,89,54~217,良,54,84,2.369,41,22,103
2016-03,102,54~183,轻度污染,65,131,1.5,54,40,124
2016-04,102,64~178,轻度污染,43,79,0.85,37,36,158
2016-05,76,41~118,良,44,93,0.89,38,36,108
2016-06,69,38~148,良,42,84,1.093,29,34,96
2016-07,65,33~117,良,40,78,1.474,20,26,93
2016-08,57,34~84,良,31,64,1.329,32,29,85
2016-09,66,46~108,良,35,78,1.14,36,41,93
2016-10,75,34~113,良,35,97,1.274,37,51,62
2016-11,118,49~216,轻度污染,80,169,2.03,94,58,43
2016-12,177,67~323,中度污染,139,226,2.942,120,62,35
2017-01,178,79~481,中度污染,90,139,2.771,116,58,58
2017-02,131,60~291,轻度污染,81,134,1.725,85,53,81
2017-03,89,42~202,良,62,101,1.358,55,43,96
2017-04,89,49~153,良,48,87,1.09,39,38,138
2017-05,136,66~500,轻度污染,45,83,0.926,15,30,179
2017-06,108,52~177,轻度污染,38,67,1.04,14,34,168
2017-07,112,44~200,轻度污染,43,70,0.942,24,29,171
2017-08,80,40~120,良,35,62,1.035,24,31,134
2017-09,84,48~126,良,53,110,1.25,51,51,118
2017-10,83,26~158,良,45,80,1.371,38,47,58
2017-11,98,56~233,良,64,131,1.55,59,52,48
2017-12,114,48~251,轻度污染,61,105,1.774,67,51,22
2018-01,100,42~232,轻度污染,68,116,1.445,66,47,37
2018-02,90,0~254,良,59,96,1.232,42,36,69
2018-03,99,0~204,良,71,115,1.31,38,49,88
2018-04,62,0~117,良,32,72,0.793,23,39,116
2018-05,84,0~127,良,34,81,0.69,24,37,134
2018-06,90,46~177,良,27,60,0.667,21,37,146
2018-07,80,29~136,良,32,50,0.806,13,26,132
2018-08,71,33~111,良,26,45,0.713,15,25,124
2018-09,50,33~90,良,21,47,0.713,17,32,81
2018-10,65,41~103,良,34,67,0.813,25,48,76
2018-11,100,0~230,良,72,111,1.31,38,57,39
2018-12,98,0~214,良,66,119,1.374,52,52,33
2019-01,140,50~282,轻度污染,103,157,1.871,65,62,35
2019-02,115,38~213,轻度污染,81,124,1.35,42,43,76
2019-03,77,44~216,良,41,86,0.732,30,42,100
2019-04,74,39~127,良,32,82,0.763,26,40,113
2019-05,89,53~180,良,24,75,0.635,31,41,139
2019-06,114,62~174,轻度污染,27,53,0.7,23,35,174
2019-07,101,50~158,轻度污染,26,46,0.735,16,30,159
2019-08,71,48~136,良,17,37,0.716,17,31,122
2019-09,73,28~153,良,19,47,0.733,20,42,120
2019-10,68,28~155,良,30,73,0.79,19,43,72
2019-11,80,47~153,良,47,96,1.103,32,50,40
2019-12,78,43~128,良,50,85,1.113,32,51,36
