month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,113,113~113,轻度污染,85,151,0.6,50,24,88
2015-01,136,34~304,轻度污染,101,164,1.003,63,31,58
2015-02,93,20~212,良,68,110,1.318,27,20,63
2015-03,79,44~135,良,54,97,1.029,23,19,61
2015-04,74,36~120,良,51,88,1.04,23,19,96
2015-05,78,42~145,良,55,94,1.242,18,15,96
2015-06,53,37~84,良,27,52,1.22,13,9,91
2015-07,60,32~90,良,33,63,1.216,16,11,100
2015-08,60,38~94,良,32,68,1.135,14,13,91
2015-09,74,35~128,良,48,92,1.24,16,14,95
2015-10,87,34~132,良,58,118,1.158,23,24,107
2015-11,57,25~102,良,33,66,1.01,22,15,50
2015-12,81,26~155,良,54,97,1.042,34,22,49
2016-01,84,30~160,良,60,96,1.048,31,17,57
2016-02,82,37~173,良,56,97,0.855,24,15,81
2016-03,83,33~138,良,59,102,0.968,25,23,81
2016-04,58,34~100,良,34,65,1.12,21,17,71
2016-05,60,35~95,良,31,67,1.206,17,15,87
2016-06,51,34~76,良,22,53,1.267,11,12,82
2016-07,48,27~72,优,21,50,1.297,7,11,76
2016-08,59,33~89,良,29,65,1.381,14,13,96
2016-09,76,34~111,良,46,94,1.2,19,19,121
2016-10,59,28~88,良,31,67,1.135,12,14,91
2016-11,66,30~132,良,42,79,1.187,17,19,58
2016-12,94,25~168,良,67,125,1.148,32,28,59
2017-01,107,41~204,轻度污染,79,134,1.181,20,19,59
2017-02,75,36~171,良,50,93,1.025,16,20,69
2017-03,60,33~96,良,33,71,0.842,14,17,73
2017-04,64,29~84,良,32,78,0.95,14,20,98
2017-05,71,37~134,良,28,80,0.929,8,19,108
2017-06,53,29~76,良,20,54,1.123,5,13,88
2017-07,54,34~81,良,17,58,1.281,6,13,94
2017-08,56,36~84,良,19,59,1.306,5,10,94
2017-09,62,38~91,良,29,71,1.367,7,14,92
2017-10,55,24~117,良,29,64,1.074,7,15,80
2017-11,81,29~133,良,54,101,1.027,13,27,72
2017-12,104,40~169,轻度污染,77,131,1.248,19,34,44
2018-01,77,27~148,良,56,85,0.948,10,19,56
2018-02,88,38~128,良,62,115,1.004,9,19,74
2018-03,60,22~95,良,35,71,0.952,8,23,76
2018-04,65,34~92,良,30,80,1.04,8,22,93
2018-05,54,0~81,良,21,56,1.103,6,13,92
2018-06,57,35~115,良,19,52,1.087,6,12,99
2018-07,49,33~79,优,16,49,1.145,7,13,86
2018-08,53,34~96,良,20,50,1.213,10,14,97
2018-09,52,31~90,良,21,51,1.043,8,14,89
2018-10,62,26~102,良,30,65,0.91,11,21,96
2018-11,55,23~122,良,33,61,1.053,10,20,66
2018-12,74,25~183,良,51,84,1.068,8,18,49
2019-01,98,29~211,良,73,100,1.223,5,19,54
2019-02,58,23~122,良,39,60,1.096,4,8,59
2019-03,57,23~85,良,33,65,0.797,7,20,77
2019-04,54,30~84,良,28,55,1.047,6,17,85
2019-05,61,30~101,良,28,68,1.016,7,18,88
2019-06,52,27~85,良,18,46,1.107,8,14,91
2019-07,51,29~94,良,19,48,1.09,6,16,86
2019-08,68,37~109,良,28,62,1.168,7,20,116
2019-09,80,48~122,良,34,74,1.07,14,26,135
2019-10,55,26~114,良,30,56,0.848,8,21,88
2019-11,64,15~94,良,41,76,0.753,14,24,71
2019-12,78,29~203,良,56,84,0.945,14,26,64
2020-01,55,22~95,良,39,50,1.048,3,12,54
2020-02,48,18~88,优,32,43,0.907,3,7,59
2020-03,52,26~86,良,32,57,0.839,9,16,73
