month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,98,98~98,良,73,96,0.7,10,18,67
2015-01,57,23~207,良,29,44,0.929,5,10,72
2015-02,55,39~107,良,32,45,0.618,4,7,91
2015-03,61,38~157,良,39,64,0.793,10,6,88
2015-04,45,26~65,优,20,34,0.85,7,6,84
2015-05,51,28~74,良,21,49,0.716,3,5,93
2015-06,37,28~52,优,15,31,0.52,5,5,72
2015-07,34,20~59,优,13,26,0.713,5,6,66
2015-08,30,21~42,优,13,26,0.597,8,8,55
2015-09,32,24~65,优,13,27,0.641,8,10,61
2015-10,36,19~54,优,17,34,0.739,5,8,61
2015-11,42,23~57,优,20,41,0.757,8,8,64
2015-12,50,28~64,良,28,54,0.829,8,13,57
2016-01,48,30~68,优,24,51,0.794,7,15,65
2016-02,59,29~172,良,37,54,0.741,8,9,79
2016-03,54,32~94,良,26,50,0.774,8,10,98
2016-04,44,27~57,优,19,36,0.373,10,9,81
2016-05,46,24~69,优,23,45,0.516,13,10,77
2016-06,34,22~49,优,13,28,0.55,8,10,66
2016-07,24,19~32,优,12,23,0.81,7,10,38
2016-08,33,0~59,优,14,28,0.874,11,7,61
2016-09,31,23~48,优,18,30,0.933,8,9,51
2016-10,35,23~55,优,19,31,0.968,13,13,56
2016-11,34,18~52,优,17,33,0.867,9,20,55
2016-12,47,32~65,优,24,46,1.306,15,26,47
2017-01,47,32~86,优,25,45,1.29,13,22,67
2017-02,54,33~86,良,30,55,1.221,11,29,89
2017-03,49,23~69,优,20,45,0.823,10,19,89
2017-04,55,31~101,良,27,51,0.973,11,18,89
2017-05,49,27~68,优,23,46,1.161,12,18,87
2017-06,43,30~74,优,12,31,1.03,11,12,76
2017-07,35,22~46,优,12,31,1.181,12,9,63
2017-08,37,22~54,优,12,33,1.061,13,10,64
2017-09,33,20~44,优,13,31,1.027,13,13,57
2017-10,35,23~53,优,16,33,0.974,13,15,55
2017-11,45,30~55,优,21,45,0.837,7,20,64
2017-12,57,31~71,良,27,65,1,10,27,32
2018-01,49,27~62,优,23,52,0.987,8,25,53
2018-02,50,0~75,良,29,51,0.986,10,17,81
2018-03,46,0~60,优,25,42,0.774,9,15,86
2018-04,52,0~75,良,27,55,0.91,10,16,86
2018-05,45,23~58,优,17,44,0.935,10,13,78
2018-06,41,26~73,优,13,40,0.967,11,13,68
2018-07,29,0~44,优,9,27,0.939,8,12,54
2018-08,38,0~55,优,11,36,0.894,10,11,67
2018-09,37,0~58,优,17,37,0.843,7,13,56
2018-10,49,15~77,优,21,53,0.706,12,17,54
2018-11,63,49~78,良,34,76,0.723,12,20,58
2018-12,59,23~79,良,31,68,0.887,11,22,51
2019-01,60,36~75,良,33,70,1.042,8,23,58
2019-02,46,26~72,优,26,46,0.925,9,10,74
2019-03,58,28~92,良,33,67,0.868,8,18,79
2019-04,58,30~84,良,29,61,0.887,9,18,95
2019-05,63,47~82,良,31,68,0.81,10,17,101
2019-06,53,24~66,良,20,58,0.813,11,18,68
2019-07,40,18~70,优,14,43,0.8,9,14,51
2019-08,53,25~68,良,19,59,0.69,10,17,72
2019-09,51,22~74,良,19,57,0.783,10,15,54
2019-10,45,20~70,优,18,48,0.761,9,17,47
2019-11,57,32~67,良,24,65,0.747,9,22,52
2019-12,62,40~78,良,30,74,0.968,8,25,57
2020-01,44,23~63,优,26,43,0.939,8,14,60
2020-02,41,25~54,优,24,31,0.817,8,8,77
2020-03,55,34~89,良,32,56,0.906,8,16,94
2020-04,57,27~144,良,33,61,1.033,8,16,83
2020-05,51,22~73,良,24,52,0.839,9,18,79
2020-06,44,26~60,优,15,46,0.867,6,17,57
2020-07,38,20~57,优,13,38,0.755,6,16,47
2020-08,37,20~55,优,15,37,0.816,6,17,52
2020-09,43,20~62,优,16,44,0.84,6,18,51
2020-10,39,18~58,优,17,39,0.806,6,16,42
