month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,241,241~241,重度污染,191,274,1.7,42,96,17
2015-01,155,36~237,中度污染,119,165,1.21,35,42,38
2015-02,108,30~202,轻度污染,81,101,1.296,11,24,55
2015-03,85,41~168,良,62,87,1.1,12,22,63
2015-04,67,33~127,良,47,73,0.917,17,19,75
2015-05,66,37~104,良,42,64,0.881,13,18,85
2015-06,52,33~79,良,32,50,0.863,13,15,76
2015-07,59,30~102,良,30,46,0.613,8,14,104
2015-08,53,33~85,良,32,48,0.668,7,9,90
2015-09,65,30~110,良,45,64,0.347,6,7,79
2015-10,81,25~210,良,58,85,0.671,12,17,53
2015-11,54,23~97,良,37,57,0.64,11,21,19
2015-12,81,30~198,良,60,84,0.539,12,23,23
2016-01,107,52~198,轻度污染,79,104,0.645,10,28,29
2016-02,87,28~124,良,64,91,0.455,7,31,46
2016-03,79,34~138,良,56,88,0.765,10,24,53
2016-04,55,32~85,良,36,60,0.68,11,18,60
2016-05,53,32~105,良,32,58,0.587,7,11,75
2016-06,44,25~71,优,24,42,0.583,6,10,66
2016-07,41,20~60,优,21,35,0.571,5,6,70
2016-08,49,26~67,优,30,50,0.455,7,9,76
2016-09,73,32~105,良,53,78,0.557,8,12,76
2016-10,50,25~97,良,34,51,0.932,8,20,45
2016-11,66,28~113,良,48,67,1.25,22,28,30
2016-12,123,73~213,轻度污染,93,120,1.255,19,42,25
2017-01,133,48~298,轻度污染,103,125,1.161,13,37,29
2017-02,73,31~130,良,55,69,0.868,11,24,44
2017-03,60,27~86,良,42,61,0.684,14,30,62
2017-04,55,34~80,良,36,56,0.757,12,27,66
2017-05,57,29~98,良,34,51,0.794,11,23,81
2017-06,60,32~103,良,29,41,0.91,7,17,106
2017-07,64,22~115,良,23,37,0.819,6,15,110
2017-08,59,36~91,良,25,41,0.994,7,14,107
2017-09,47,25~86,优,28,42,1.193,6,17,73
2017-10,43,26~80,优,28,41,1.219,5,22,51
2017-11,72,41~142,良,54,76,1.147,7,25,46
2017-12,122,46~212,轻度污染,90,120,1.403,8,30,28
2018-01,86,33~195,良,64,80,1.339,7,25,37
2018-02,85,36~152,良,63,81,1.139,5,23,52
2018-03,45,23~74,优,30,45,0.91,6,23,53
2018-04,53,29~78,良,31,58,0.817,5,26,67
2018-05,43,26~71,优,26,44,0.877,5,25,57
2018-06,42,23~72,优,24,41,0.847,6,18,72
2018-07,36,22~65,优,20,32,0.813,5,15,68
2018-08,43,25~65,优,19,36,0.91,8,15,82
2018-09,42,28~57,优,20,38,0.913,6,18,60
2018-10,49,0~65,优,28,54,0.803,6,24,47
2018-11,53,23~112,良,33,58,0.933,6,24,29
2018-12,76,33~214,良,52,81,1.035,7,26,26
2019-01,88,34~198,良,65,98,1.206,6,31,25
2019-02,56,25~107,良,37,58,0.843,4,18,39
2019-03,58,31~94,良,34,66,0.794,4,28,66
2019-04,52,20~80,良,22,48,0.703,5,23,86
2019-05,57,38~85,良,22,52,0.6,4,25,86
2019-06,54,32~90,良,19,39,0.997,4,20,92
2019-07,49,33~100,优,16,36,0.91,3,16,92
2019-08,62,32~84,良,22,44,0.874,3,15,109
2019-09,59,38~75,良,28,56,0.8,4,19,99
2019-10,47,24~85,优,24,48,0.852,3,17,63
2019-11,54,18~84,良,34,61,0.67,3,22,36
2019-12,83,28~235,良,60,89,0.894,4,30,28
2020-01,53,23~94,良,37,51,0.771,4,19,34
2020-02,61,23~122,良,43,52,0.61,4,8,48
2020-03,56,29~125,良,36,52,0.548,5,14,70
2020-04,53,32~77,良,26,45,0.46,6,22,89
2020-05,50,27~82,良,22,42,0.403,6,20,87
2020-06,44,20~76,优,15,29,0.437,6,15,79
2020-07,40,17~65,优,12,26,0.603,7,11,75
2020-08,43,24~81,优,14,31,0.516,10,12,82
2020-09,42,20~70,优,15,32,0.427,8,15,75
2020-10,43,18~79,优,22,44,0.413,9,22,45
2020-11,57,25~129,良,36,62,0.493,9,29,38
2020-12,75,32~185,良,53,81,0.603,7,33,29
2021-01,83,36~133,良,59,97,0.842,6,28,35
2021-02,58,19~123,良,39,61,0.711,6,18,53
2021-03,42,19~69,优,18,44,0.816,6,18,51
2021-04,39,24~60,优,17,34,0.793,6,15,63
2021-05,40,23~63,优,14,39,0.89,7,18,54
2021-06,45,28~78,优,12,34,1.087,8,12,77
2021-07,40,28~70,优,8,27,1.168,7,7,69
2021-08,41,25~74,优,9,29,0.665,6,6,76
2021-09,48,30~67,优,15,34,0.56,7,6,92
2021-10,43,27~70,优,17,35,0.677,7,7,73
2021-11,52,31~88,良,30,55,0.813,7,16,49
2021-12,79,37~150,良,56,84,0.871,7,18,41
2022-01,61,28~118,良,42,64,1.119,6,15,38
2022-02,50,32~110,良,31,53,0.704,5,8,56
2022-03,49,24~65,优,26,52,0.594,7,13,61
2022-04,46,29~66,优,19,40,0.623,6,11,82
2022-05,51,33~79,良,18,33,0.742,7,10,96
2022-06,53,26~87,良,17,33,0.723,7,8,95
2022-07,48,29~75,优,13,24,0.684,7,7,93
2022-08,42,25~58,优,13,24,0.694,8,8,84
2022-09,57,25~90,良,21,32,0.907,7,9,103
2022-10,44,21~83,优,24,37,0.8,7,12,78
2022-11,49,22~82,优,32,48,0.91,9,12,57
2022-12,84,33~143,良,62,84,1.09,9,16,48
2023-01,90,25~231,良,66,90,0.839,9,18,44
2023-02,61,28~118,良,42,60,0.832,6,19,51
2023-03,44,17~90,优,23,44,0.674,7,19,60
2023-04,52,23~78,良,23,48,0.74,7,15,83
2023-05,42,27~75,优,17,32,0.748,8,12,73
2023-06,47,23~80,优,16,28,0.78,8,10,85
2023-07,42,19~84,优,14,26,0.671,8,13,79
2023-08,43,25~62,优,14,23,0.655,8,12,84
2023-09,44,20~79,优,18,28,0.797,8,14,79
2023-10,37,23~65,优,20,32,0.874,8,16,62
2023-11,47,23~83,优,30,47,0.853,9,20,51
2023-12,77,23~202,良,55,76,1.094,7,24,21
2024-01,73,28~160,良,53,72,1.132,7,27,45
2024-02,57,25~172,良,39,54,1.055,7,17,55
2024-03,54,29~73,良,35,51,1.032,7,24,62
2024-04,44,30~62,优,18,32,0.733,7,20,77
2024-05,58,23~98,良,20,32,0.619,8,17,103
2024-06,49,20~92,优,15,24,0.7,7,14,92
