month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,175,72~285,中度污染,136,209,1.607,32,76,46
2014-01,222,74~462,重度污染,179,256,1.587,32,73,50
2014-02,149,43~234,轻度污染,113,150,1.421,25,49,54
2014-03,114,40~211,轻度污染,84,137,1.297,24,64,77
2014-04,90,43~160,良,60,100,1.037,16,51,110
2014-05,110,60~185,轻度污染,76,131,0.819,15,52,136
2014-06,74,36~166,良,44,72,0.863,13,46,110
2014-07,75,27~122,良,40,71,0.868,13,47,122
2014-08,69,28~108,良,38,64,0.916,12,44,110
2014-09,62,31~114,良,40,68,0.96,14,46,74
2014-10,88,37~219,良,64,104,1.11,16,52,66
2014-11,76,41~132,良,53,96,1.067,15,49,41
2014-12,117,55~230,轻度污染,84,156,1.21,23,57,40
2015-01,165,43~259,中度污染,126,195,1.584,20,61,34
2015-02,115,43~221,轻度污染,86,126,1.346,15,45,67
2015-03,94,58~146,良,68,114,1.126,15,51,93
2015-04,88,43~148,良,54,101,0.887,15,49,135
2015-05,107,60~176,轻度污染,49,98,0.81,13,44,163
2015-06,87,36~170,良,38,70,0.823,14,38,133
2015-07,106,37~153,轻度污染,45,82,0.939,15,48,161
2015-08,85,39~159,良,44,78,1.032,14,52,125
2015-09,64,38~120,良,35,60,1.03,13,47,77
2015-10,91,40~168,良,63,109,1.052,17,59,83
2015-11,74,40~123,良,50,84,1.117,16,48,32
2015-12,120,48~304,轻度污染,90,143,1.423,18,65,32
2016-01,110,50~214,轻度污染,81,127,1.355,17,57,49
2016-02,97,52~188,良,67,111,1.362,14,53,84
2016-03,105,45~176,轻度污染,75,131,1.432,18,67,87
2016-04,94,49~209,良,65,104,1.027,14,57,103
2016-05,92,40~189,良,57,97,0.955,13,49,134
2016-06,95,51~150,良,44,76,0.94,12,45,147
2016-07,85,44~202,良,30,51,0.89,13,40,133
2016-08,105,50~206,轻度污染,41,68,1.01,14,47,161
2016-09,80,47~120,良,45,69,1.02,13,49,106
2016-10,75,40~126,良,47,81,1.068,13,48,65
2016-11,117,48~244,轻度污染,86,150,1.32,16,62,45
2016-12,154,53~252,中度污染,117,193,1.581,18,69,32
2017-01,173,42~375,中度污染,136,204,1.613,17,69,43
2017-02,110,38~213,轻度污染,82,119,1.164,14,56,58
2017-03,77,47~122,良,49,81,0.945,12,58,75
2017-04,80,38~133,良,33,67,0.85,14,55,115
2017-05,97,41~145,良,43,73,0.742,10,51,146
2017-06,82,41~130,良,43,71,0.853,10,48,125
2017-07,119,40~206,轻度污染,28,53,0.835,8,44,179
2017-08,81,28~142,良,20,37,0.816,8,34,133
2017-09,67,40~138,良,30,52,0.84,10,42,96
2017-10,63,28~108,良,37,60,0.823,9,46,54
2017-11,95,45~170,良,69,102,0.99,11,57,52
2017-12,144,68~242,轻度污染,93,130,1.39,12,71,30
2018-01,108,34~251,轻度污染,80,117,1.106,10,57,50
2018-02,87,0~206,良,64,89,0.943,8,43,77
2018-03,84,37~145,良,58,94,0.939,10,56,95
2018-04,84,37~139,良,45,88,0.787,10,50,126
2018-05,78,0~182,良,33,61,0.69,9,44,129
2018-06,69,33~147,良,25,40,0.717,9,35,113
2018-07,66,29~143,良,20,33,0.735,7,31,112
2018-08,87,33~142,良,31,52,0.81,8,39,139
2018-09,54,27~127,良,22,37,0.76,8,32,84
2018-10,65,35~142,良,42,64,0.771,8,45,57
2018-11,80,32~143,良,57,86,0.83,8,49,44
2018-12,82,0~205,良,58,89,0.948,7,48,27
2019-01,105,68~152,轻度污染,78,115,1.123,8,55,43
