month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,189,67~386,中度污染,150,205,1.457,63,52,42
2014-01,150,59~305,轻度污染,115,166,1.148,49,40,41
2014-02,96,25~206,良,71,99,0.779,27,29,48
2014-03,108,60~205,轻度污染,79,133,0.932,47,48,63
2014-04,87,45~156,良,63,101,0.82,33,40,100
2014-05,114,68~215,轻度污染,81,150,0.929,38,46,134
2014-06,117,51~219,轻度污染,87,134,0.713,26,27,109
2014-07,95,50~161,良,65,117,0.742,23,23,109
2014-08,67,34~114,良,42,73,0.645,23,21,98
2014-09,60,33~126,良,33,58,0.56,24,17,101
2014-10,72,49~96,良,36,81,0.71,34,26,110
2014-11,83,37~161,良,55,107,1,33,33,69
2014-12,94,52~184,良,64,128,1,41,39,59
2015-01,113,47~214,轻度污染,81,157,1.158,35,37,60
2015-02,91,33~206,良,65,114,1.043,26,27,81
2015-03,88,40~148,良,62,108,0.955,27,29,90
2015-04,95,48~187,良,50,112,1.117,32,28,134
2015-05,100,55~172,轻度污染,52,98,0.706,31,35,146
2015-06,90,46~179,良,49,99,0.687,20,29,132
2015-07,84,37~152,良,39,80,0.765,19,26,121
2015-08,84,25~184,良,34,64,0.606,24,22,135
2015-09,81,53~174,良,31,57,0.69,18,21,136
2015-10,87,46~200,良,50,94,0.906,24,36,129
2015-11,74,32~188,良,50,86,0.963,18,34,76
2015-12,121,54~216,轻度污染,89,134,1.094,23,35,63
2016-01,107,39~238,轻度污染,77,118,1.068,24,28,75
2016-02,92,44~155,良,65,114,1.245,24,30,93
2016-03,91,47~189,良,63,114,1.155,34,39,101
2016-04,80,39~149,良,50,92,1.053,37,37,118
2016-05,89,55~171,良,50,99,0.971,27,28,127
2016-06,74,43~122,良,39,75,0.94,24,30,114
2016-07,83,37~166,良,32,59,0.71,18,27,127
2016-08,73,29~155,良,22,44,0.655,19,20,124
2016-09,81,31~168,良,32,59,0.773,16,22,130
2016-10,50,23~104,良,31,49,0.558,13,24,70
2016-11,87,32~220,良,62,103,0.827,16,39,65
2016-12,114,36~208,轻度污染,85,126,1.061,21,51,63
2017-01,102,40~236,轻度污染,76,107,1.087,16,39,71
2017-02,112,50~192,轻度污染,84,118,1.096,19,45,95
2017-03,90,48~164,良,66,105,0.919,18,47,106
2017-04,98,49~134,良,56,117,1.1,24,48,144
2017-05,119,42~179,轻度污染,42,92,0.923,23,44,167
2017-06,117,36~200,轻度污染,44,88,0.94,19,31,172
2017-07,106,41~198,轻度污染,35,64,0.858,21,32,157
2017-08,75,34~151,良,29,58,0.729,15,25,126
2017-09,66,36~130,良,35,68,0.733,14,31,103
2017-10,59,26~119,良,35,64,0.623,13,30,89
2017-11,88,27~154,良,62,113,0.883,15,52,71
2017-12,119,56~250,轻度污染,75,120,1.068,17,58,28
2018-01,95,0~210,良,66,123,0.971,11,41,53
2018-02,94,36~211,良,65,114,0.961,12,32,66
2018-03,89,34~180,良,64,108,1.077,16,44,87
2018-04,75,0~159,良,43,96,0.787,13,44,122
2018-05,62,0~112,良,32,65,0.777,12,33,117
2018-06,103,44~188,轻度污染,36,73,0.58,15,31,159
2018-07,81,23~140,良,27,53,0.568,15,25,128
2018-08,69,28~148,良,21,41,0.597,9,19,119
2018-09,63,35~110,良,28,51,0.72,9,24,110
2018-10,70,38~148,良,39,68,0.665,10,40,111
2018-11,90,24~268,良,66,86,0.867,8,43,75
2018-12,79,0~166,良,54,83,0.781,8,43,52
2019-01,107,37~203,轻度污染,79,106,0.91,9,48,57
2019-02,88,33~163,良,65,79,0.754,8,28,77
2019-03,90,46~170,良,63,95,0.677,13,44,102
2019-04,73,33~134,良,43,69,0.56,12,34,115
2019-05,96,27~175,良,37,75,0.487,11,34,146
2019-06,105,36~191,轻度污染,32,61,0.493,10,28,160
2019-07,92,22~173,良,28,54,0.558,9,26,146
2019-08,81,16~150,良,19,39,0.5,10,19,132
2019-09,70,31~124,良,22,46,0.49,8,22,121
2019-10,75,32~181,良,38,86,0.606,11,36,107
2019-11,72,31~130,良,39,90,0.527,10,44,79
2019-12,80,27~138,良,55,80,0.819,9,49,53
2020-01,100,29~262,轻度污染,73,75,0.871,7,31,59
2020-02,53,29~80,良,34,49,0.638,7,19,79
2020-03,60,33~100,良,32,62,0.581,9,33,92
2020-04,79,45~142,良,38,75,0.57,8,37,129
2020-05,99,38~175,良,31,71,0.632,9,30,153
2020-06,79,35~154,良,26,49,0.6,8,23,127
2020-07,62,29~156,良,22,44,0.565,5,21,103
2020-08,76,29~161,良,17,45,0.539,9,23,126
2020-09,80,40~155,良,26,52,0.583,10,31,132
2020-10,62,30~103,良,34,62,0.474,6,37,93
2020-11,63,32~109,良,37,73,0.507,6,40,70
2020-12,98,32~204,良,70,99,0.829,10,54,49
2021-01,86,58~130,良,54,100,0.761,10,46,56
2021-02,59,37~93,良,35,60,0.621,10,26,80
2021-03,85,36~332,良,36,62,0.703,10,34,86
2021-04,70,31~141,良,28,52,0.63,6,33,109
2021-05,89,30~178,良,23,50,0.655,8,31,135
2021-06,106,35~201,轻度污染,26,53,0.623,11,26,162
2021-07,61,26~128,良,17,35,0.497,10,18,105
2021-08,72,31~122,良,20,34,0.558,10,13,125
2021-09,84,35~202,良,22,43,0.603,10,20,138
2021-10,65,24~128,良,27,52,0.606,6,30,108
2021-11,70,29~124,良,39,78,0.717,8,47,81
2021-12,83,31~166,良,56,89,0.823,10,50,64
2022-01,89,34~176,良,65,88,0.697,8,34,75
2022-02,66,37~114,良,46,64,0.714,7,26,95
2022-03,76,29~132,良,27,45,0.665,8,31,115
2022-04,85,35~133,良,31,60,0.597,9,25,138
2022-05,95,41~150,良,28,58,0.635,8,25,152
2022-06,100,44~193,轻度污染,21,44,0.673,9,18,157
2022-07,82,33~150,良,19,34,0.584,7,15,136
2022-08,87,35~168,良,20,38,0.655,7,18,141
2022-09,63,27~161,良,20,38,0.563,7,18,111
2022-10,55,26~110,良,20,41,0.581,8,24,99
2022-11,54,30~95,良,29,54,0.66,8,33,75
2022-12,79,40~155,良,51,86,0.655,5,41,61
2023-01,82,29~196,良,55,92,0.684,6,38,77
2023-02,66,36~124,良,43,67,0.593,6,33,77
2023-03,84,36~134,良,48,106,0.574,9,38,110
2023-04,91,34~272,良,37,98,0.617,9,28,126
2023-05,87,26~168,良,30,60,0.635,8,25,135
2023-06,97,29~205,良,22,43,0.637,7,23,153
2023-07,67,20~137,良,17,31,0.539,4,19,115
2023-08,77,30~165,良,21,35,0.555,5,17,130
2023-09,67,29~134,良,21,35,0.61,7,20,116
2023-10,81,35~152,良,30,57,0.626,8,41,132
2023-11,70,29~115,良,40,79,0.683,6,42,81
2023-12,88,23~220,良,61,93,0.874,7,49,35
2024-01,92,33~211,良,65,93,0.935,8,50,59
2024-02,70,29~179,良,49,65,0.776,6,22,82
2024-03,76,36~103,良,44,86,0.765,8,37,100
