month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,76,35~141,良,47,101,1.257,48,39,40
2014-01,90,37~212,良,62,117,1.477,60,47,46
2014-02,142,40~321,轻度污染,109,165,1.629,55,47,57
2014-03,91,43~206,良,58,121,0.958,51,40,92
2014-04,92,48~170,良,42,120,0.697,30,37,133
2014-05,97,53~203,良,35,91,0.69,23,28,149
2014-06,81,48~135,良,35,65,0.573,24,25,133
2014-07,108,48~191,轻度污染,60,101,0.858,21,26,149
2014-08,85,34~157,良,36,74,0.687,25,29,138
2014-09,70,33~126,良,35,77,0.757,25,29,96
2014-10,114,35~270,轻度污染,76,157,1.09,31,43,66
2014-11,93,40~212,良,57,132,1.223,35,44,40
2014-12,68,30~165,良,41,86,1.126,32,36,49
2015-01,78,38~157,良,52,100,1.684,47,45,51
2015-02,78,39~202,良,51,97,1.254,37,34,75
2015-03,94,42~248,良,50,131,1.077,29,33,107
2015-04,80,43~151,良,35,87,0.703,24,28,124
2015-05,103,40~201,轻度污染,34,91,0.648,20,21,154
2015-06,88,29~199,良,38,75,0.653,12,17,136
2015-07,110,42~185,轻度污染,34,72,0.835,11,25,168
2015-08,80,33~157,良,26,59,0.71,10,29,134
2015-09,63,32~128,良,25,57,0.657,9,31,105
2015-10,67,34~159,良,34,79,0.816,11,41,81
2015-11,72,30~145,良,50,81,1.263,19,43,48
2015-12,99,30~247,良,73,114,1.845,27,50,37
2016-01,67,31~199,良,45,72,1.413,22,40,59
2016-02,65,42~214,良,40,62,0.972,18,30,82
2016-03,87,44~233,良,53,102,0.971,20,40,102
2016-04,93,50~230,良,38,103,0.687,15,30,135
2016-05,105,49~184,轻度污染,30,80,0.558,15,28,162
2016-06,105,48~194,轻度污染,28,62,0.6,15,26,162
2016-07,98,40~166,良,37,67,0.732,14,26,155
2016-08,73,37~114,良,25,56,0.681,10,25,121
2016-09,59,25~117,良,28,62,0.637,12,31,92
2016-10,73,34~144,良,42,90,0.855,14,43,66
2016-11,82,37~183,良,51,110,1.433,21,49,43
2016-12,87,52~166,良,57,121,1.81,30,55,38
2017-01,85,40~254,良,59,108,1.594,32,48,52
2017-02,71,45~208,良,43,85,1.229,27,42,78
2017-03,69,48~119,良,38,83,0.913,21,41,102
2017-04,76,47~119,良,29,98,0.657,16,32,119
2017-05,121,49~500,轻度污染,24,87,0.619,12,26,154
2017-06,96,40~178,良,24,61,0.677,14,26,154
2017-07,90,34~162,良,31,68,0.839,9,24,144
2017-08,64,35~110,良,21,51,0.729,8,25,112
2017-09,72,37~140,良,29,79,0.79,10,35,113
2017-10,62,27~122,良,34,75,0.923,11,35,54
2017-11,71,36~151,良,38,92,1.11,18,39,51
2017-12,71,27~158,良,41,89,1.61,26,43,24
2018-01,62,28~94,良,30,75,0.99,17,31,55
2018-02,71,37~189,良,41,86,1.018,18,30,76
2018-03,80,0~190,良,49,105,1.077,16,41,93
2018-04,72,0~163,良,27,82,0.69,12,26,124
2018-05,74,0~152,良,21,67,0.674,12,25,134
2018-06,96,45~185,良,21,54,0.597,11,26,152
2018-07,78,20~120,良,25,50,0.79,7,22,129
2018-08,60,31~126,良,17,44,0.661,6,23,106
2018-09,51,27~100,良,16,42,0.637,9,28,89
2018-10,56,26~100,良,25,62,0.816,11,39,63
2018-11,76,0~178,良,42,99,1.287,15,47,34
2018-12,64,0~126,良,36,82,1.152,15,38,41
2019-01,68,35~120,良,39,86,1.442,21,40,45
2019-02,60,35~183,良,33,68,1.039,13,29,68
2019-03,66,43~175,良,34,74,0.739,11,34,93
2019-04,71,41~124,良,27,81,0.57,12,28,109
2019-05,79,44~158,良,22,61,0.623,11,27,133
2019-06,94,33~187,良,23,53,0.707,11,27,150
2019-07,77,32~136,良,23,44,0.626,10,25,131
2019-08,53,22~99,良,16,32,0.613,10,23,97
2019-09,76,36~142,良,22,48,0.667,13,33,126
2019-10,61,30~120,良,29,61,0.781,14,37,67
2019-11,67,34~165,良,39,80,1.04,17,38,39
2019-12,66,30~119,良,45,70,1.332,19,43,42
2020-01,73,37~216,良,51,75,1.481,21,43,49
2020-02,64,34~173,良,42,58,1.076,14,28,74
2020-03,55,37~118,良,26,50,0.677,10,28,92
2020-04,74,45~194,良,21,64,0.64,11,31,122
2020-05,79,41~198,良,22,61,0.665,11,26,127
2020-06,99,48~197,良,19,50,0.593,12,25,156
2020-07,80,46~124,良,21,42,0.684,8,27,135
2020-08,63,27~97,良,18,40,0.739,11,25,111
2020-09,44,25~103,优,17,34,0.68,8,26,78
2020-10,59,29~125,良,28,64,0.813,12,39,69
2020-11,60,32~109,良,33,69,1.067,12,41,50
2020-12,55,32~92,良,30,63,1.235,15,37,50
2021-01,70,37~140,良,37,76,1.371,18,40,55
2021-02,67,37~150,良,38,69,1.132,14,33,75
2021-03,105,40~500,轻度污染,40,72,0.942,10,38,82
2021-04,64,44~113,良,24,56,0.703,10,29,109
2021-05,83,33~278,良,19,41,0.739,11,24,115
2021-06,74,42~159,良,21,36,0.763,10,23,127
2021-07,57,29~118,良,21,33,0.813,9,21,104
2021-08,57,33~97,良,21,34,0.787,11,21,105
2021-09,49,32~99,优,21,33,0.67,11,25,84
2021-10,51,30~120,良,27,52,0.687,9,33,57
2021-11,67,30~115,良,40,76,0.89,8,35,43
2021-12,58,32~87,良,36,64,1.01,9,36,42
2022-01,66,34~132,良,45,67,1.087,10,37,49
2022-02,46,38~78,优,25,38,0.643,7,22,78
2022-03,56,38~122,良,28,51,0.6,7,25,86
2022-04,68,38~113,良,25,62,0.45,8,24,112
2022-05,69,42~139,良,19,42,0.387,7,19,120
2022-06,76,39~164,良,24,37,0.49,5,18,127
2022-07,68,39~105,良,18,30,0.461,5,17,120
2022-08,58,27~104,良,16,27,0.435,7,18,106
2022-09,76,32~148,良,21,43,0.5,10,23,127
2022-10,55,23~102,良,29,58,0.555,7,35,66
2022-11,60,30~107,良,35,67,0.78,8,34,44
2022-12,51,28~180,良,26,58,0.665,10,29,51
2023-01,64,33~117,良,38,75,0.858,12,32,53
2023-02,66,38~143,良,44,67,0.796,12,36,63
2023-03,96,40~456,良,41,117,0.581,11,30,89
2023-04,100,42~500,轻度污染,34,124,0.38,9,19,107
2023-05,92,46~500,良,26,69,0.4,9,18,131
2023-06,91,46~174,良,15,37,0.423,9,19,146
2023-07,82,19~173,良,17,34,0.468,8,19,134
2023-08,58,24~95,良,14,31,0.432,8,21,106
2023-09,60,35~108,良,19,39,0.523,9,26,100
2023-10,57,31~149,良,27,58,0.616,8,37,74
2023-11,52,30~148,良,25,59,0.58,8,28,52
2023-12,59,24~113,良,35,71,0.826,10,36,22
2024-01,59,35~120,良,34,67,0.826,10,34,53
2024-02,59,35~118,良,33,66,0.662,11,28,74
2024-03,71,40~392,良,28,81,0.481,10,25,92
2024-04,65,30~115,良,23,63,0.4,10,21,109
2024-05,88,30~171,良,21,61,0.384,9,19,137
2024-06,103,47~169,轻度污染,21,53,0.43,10,19,157
2024-07,77,32~130,良,19,35,0.458,8,17,131
2024-08,58,26~85,良,13,30,0.452,8,17,106
2024-09,40,23~87,优,12,30,0.43,9,20,70
2024-10,52,28~115,良,25,54,0.529,7,31,65
2024-11,57,29~105,良,33,63,0.697,5,32,45
2024-12,47,33~72,优,23,50,0.584,6,26,53
2025-01,55,30~117,良,31,59,0.7,7,28,56
2025-02,50,33~100,优,22,47,0.546,7,20,74
2025-03,60,41~128,良,28,62,0.448,6,21,95
2025-04,56,46~64,良,17,44,0.411,7,18,104
