month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,74,74~74,良,49,99,0.9,25,31,97
2015-01,80,19~168,良,59,83,1.235,30,37,71
2015-02,85,26~156,良,63,86,1.5,16,23,80
2015-03,49,30~71,优,31,44,1.123,14,18,74
2015-04,70,33~135,良,41,61,0.943,20,16,112
2015-05,65,35~154,良,42,60,0.981,19,14,104
2015-06,48,29~77,优,31,47,0.793,15,10,79
2015-07,55,33~162,良,35,55,0.916,13,11,88
2015-08,59,28~100,良,36,57,0.787,16,12,99
2015-09,67,26~118,良,41,61,0.983,19,14,107
2015-10,67,36~109,良,44,61,1.187,21,20,108
2015-11,45,26~61,优,23,40,1.483,16,23,42
2015-12,59,30~92,良,37,68,1.2,16,30,43
2016-01,61,30~102,良,38,71,1.413,16,29,45
2016-02,67,42~176,良,40,82,1.766,17,20,78
2016-03,68,29~119,良,46,68,1.239,22,28,81
2016-04,51,35~78,良,29,46,1.513,16,18,80
2016-05,55,36~90,良,33,49,1.365,11,15,88
2016-06,48,26~76,优,29,43,1.123,9,13,86
2016-07,45,26~70,优,28,44,1.194,9,13,74
2016-08,59,30~106,良,35,54,1.194,12,12,101
2016-09,68,30~100,良,45,65,1.297,14,15,100
2016-10,59,30~92,良,41,58,1.294,12,16,68
2016-11,71,23~148,良,51,74,1.063,15,25,50
2016-12,107,35~211,轻度污染,80,111,1.2,20,32,69
2017-01,116,33~427,轻度污染,71,90,1.174,20,25,71
2017-02,86,35~135,良,64,82,1.046,15,22,88
2017-03,62,30~133,良,43,61,0.877,12,23,79
2017-04,68,35~117,良,40,63,0.797,14,19,110
2017-05,82,38~139,良,42,64,0.823,16,17,130
2017-06,41,25~67,优,23,33,0.797,11,10,71
2017-07,43,22~80,优,27,43,0.729,9,10,71
2017-08,42,28~69,优,26,38,0.687,9,8,79
2017-09,59,29~95,良,36,46,0.827,13,10,101
2017-10,64,23~109,良,45,59,0.939,12,15,91
2017-11,91,40~193,良,67,89,1.017,23,33,69
2017-12,97,18~165,良,72,98,0.929,23,35,39
2018-01,79,23~160,良,58,77,0.871,15,28,48
2018-02,80,32~162,良,58,84,0.893,12,20,68
2018-03,56,25~85,良,38,59,0.719,13,22,75
2018-04,63,27~98,良,38,68,0.717,14,17,95
2018-05,55,31~102,良,27,43,0.719,12,11,102
2018-06,51,23~119,良,25,38,0.773,13,10,92
2018-07,41,24~69,优,19,37,0.677,10,8,76
2018-08,55,21~111,良,20,38,0.852,11,8,102
2018-09,64,28~103,良,26,47,0.77,13,11,111
2018-10,74,29~133,良,36,61,0.752,17,18,114
2018-11,53,22~85,良,35,58,0.743,12,22,61
2018-12,54,18~117,良,37,56,0.874,9,22,40
2019-01,76,33~183,良,54,80,1.087,7,26,53
2019-02,42,20~108,优,27,42,0.857,6,11,44
2019-03,53,28~95,良,35,56,0.977,8,18,64
2019-04,44,26~59,优,25,42,0.883,7,12,72
2019-05,61,26~125,良,32,57,0.945,9,12,106
2019-06,48,20~110,优,21,37,0.76,6,10,89
2019-07,42,24~70,优,18,33,0.665,5,7,81
2019-08,71,29~110,良,26,46,0.687,7,9,122
2019-09,94,32~144,良,34,59,0.74,9,14,151
2019-10,79,44~117,良,40,71,0.729,9,19,125
2019-11,71,33~126,良,38,77,0.68,9,26,108
2019-12,61,27~98,良,42,69,0.794,9,32,70
2020-01,54,26~89,良,36,53,0.89,7,23,52
2020-02,47,29~69,优,28,42,0.617,6,12,74
2020-03,46,25~80,优,24,42,0.648,7,17,76
2020-04,77,40~117,良,31,55,0.573,8,21,127
2020-05,64,39~114,良,24,44,0.571,7,13,114
2020-06,36,25~55,优,13,26,0.483,5,9,71
2020-07,43,24~73,优,17,32,0.519,5,10,83
2020-08,48,23~83,优,17,33,0.558,7,11,91
2020-09,54,29~106,良,24,39,0.717,7,12,98
2020-10,64,30~111,良,29,53,0.652,8,16,111
2020-11,60,23~99,良,29,56,0.717,8,21,89
2020-12,68,32~107,良,48,74,0.835,9,28,60
2021-01,70,46~116,良,39,74,0.79,10,29,65
2021-02,53,24~92,良,34,53,0.782,7,15,70
2021-03,48,25~78,优,25,47,0.777,7,18,74
2021-04,51,27~96,良,21,38,0.693,7,16,88
2021-05,50,29~101,良,18,34,0.629,7,12,93
2021-06,47,22~111,优,15,30,0.6,6,9,88
2021-07,47,28~68,优,15,31,0.513,7,9,91
2021-08,46,26~85,优,17,33,0.555,6,10,88
2021-09,66,36~101,良,23,43,0.603,7,11,117
2021-10,57,30~101,良,26,46,0.668,8,15,102
2021-11,55,25~90,良,29,56,0.617,9,21,81
2021-12,64,32~92,良,41,69,0.913,11,26,79
2022-01,60,23~108,良,42,60,0.939,9,21,58
2022-02,45,18~102,优,28,42,0.729,7,12,67
2022-03,50,25~70,优,21,41,0.826,7,14,90
2022-04,60,36~104,良,23,43,0.667,7,11,108
