month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,150,150~150,轻度污染,35,250,1.4,66,36,36
2014-01,101,46~203,轻度污染,72,113,1.51,57,41,45
2014-02,97,47~234,良,70,112,1.546,50,38,62
2014-03,84,40~229,良,57,107,1.5,36,39,93
2014-04,81,49~135,良,48,110,1.01,26,36,107
2014-05,84,41~202,良,40,84,0.987,23,35,132
2014-06,90,41~190,良,40,71,1.027,18,31,145
2014-07,100,45~166,良,50,79,1.035,19,26,154
2014-08,97,50~150,良,43,77,1.139,24,29,154
2014-09,68,38~121,良,29,68,1,29,31,108
2014-10,114,52~474,轻度污染,81,148,1.477,32,42,97
2014-11,115,55~493,轻度污染,81,146,1.7,61,49,51
2014-12,100,57~176,轻度污染,69,121,1.823,76,48,34
2015-01,116,56~206,轻度污染,87,137,2.135,77,49,39
2015-02,115,46~317,轻度污染,81,142,1.929,66,44,51
2015-03,83,37~136,良,53,108,1.397,37,35,77
2015-04,83,53~122,良,48,104,1.192,24,36,106
2015-05,78,36~173,良,33,80,0.871,18,33,118
2015-06,72,44~122,良,25,46,0.857,9,27,125
2015-07,73,36~148,良,19,36,0.839,7,19,126
2015-08,71,32~150,良,24,43,1.01,8,17,122
2015-09,69,42~121,良,27,59,0.96,14,30,114
2015-10,82,36~192,良,53,93,1.203,21,37,90
2015-11,122,41~420,轻度污染,94,129,1.363,31,38,59
2015-12,116,46~297,轻度污染,87,125,1.803,57,47,47
2016-01,88,46~185,良,64,101,2.087,54,42,51
2016-02,73,40~158,良,48,83,1.452,49,36,67
2016-03,89,39~273,良,48,116,1.513,33,35,103
2016-04,78,52~152,良,32,87,1.237,17,28,118
2016-05,91,48~140,良,29,70,0.974,17,28,144
2016-06,92,48~154,良,30,50,0.807,15,27,149
2016-07,84,31~137,良,32,53,0.861,11,25,136
2016-08,69,21~139,良,22,47,0.829,10,23,118
2016-09,59,28~90,良,30,53,0.943,16,27,103
2016-10,70,30~175,良,48,75,0.99,18,38,67
2016-11,84,39~186,良,59,97,1.173,35,40,54
2016-12,108,44~212,轻度污染,79,122,1.394,47,50,42
2017-01,111,45~274,轻度污染,80,121,1.494,52,50,50
2017-02,86,39~144,良,62,93,1.154,38,42,69
2017-03,97,37~198,良,72,116,0.945,32,43,98
2017-04,78,40~129,良,44,95,0.823,18,30,106
2017-05,95,47~254,良,28,63,0.655,12,25,134
2017-06,86,39~174,良,29,51,0.753,14,27,140
2017-07,84,31~163,良,28,48,0.861,12,21,139
2017-08,55,27~119,良,22,41,0.848,14,23,98
2017-09,55,30~80,良,25,52,0.893,17,27,95
2017-10,81,27~168,良,56,93,1.035,19,39,78
2017-11,68,41~157,良,41,75,0.837,25,33,60
2017-12,103,50~201,轻度污染,71,107,1.294,34,45,28
2018-01,104,53~185,轻度污染,78,109,1.123,30,45,50
2018-02,90,52~133,良,64,99,0.921,26,33,75
2018-03,79,0~163,良,55,82,0.829,23,32,106
2018-04,74,0~114,良,37,84,0.673,18,27,117
2018-05,73,0~139,良,29,61,0.661,17,24,123
2018-06,86,36~197,良,26,45,0.76,18,23,140
2018-07,61,22~158,良,20,34,0.61,10,17,105
2018-08,57,19~152,良,17,34,0.697,12,21,98
2018-09,48,32~80,优,21,43,0.73,15,27,81
2018-10,69,24~162,良,47,76,0.865,17,34,70
2018-11,75,32~125,良,52,86,0.927,22,39,49
2018-12,82,0~159,良,57,93,1.048,24,37,49
2019-01,111,53~290,轻度污染,79,132,1.439,27,44,50
2019-02,100,51~198,良,73,111,1.046,29,37,70
2019-03,87,43~237,良,56,102,0.868,21,33,94
2019-04,82,50~362,良,36,96,0.723,19,27,108
2019-05,81,44~193,良,30,72,0.658,20,24,130
2019-06,83,27~166,良,27,43,0.677,16,24,137
2019-07,96,40~185,良,30,47,0.858,16,19,154
2019-08,53,18~113,良,20,33,0.748,14,17,97
2019-09,63,25~145,良,26,54,0.813,19,25,104
2019-10,84,23~173,良,54,94,0.955,20,35,81
2019-11,53,26~103,良,32,57,0.65,17,26,46
2019-12,92,45~163,良,67,95,1.042,22,40,48
2020-01,137,55~235,轻度污染,104,132,1.442,26,45,59
2020-02,73,38~163,良,51,70,0.855,16,23,77
2020-03,65,44~100,良,38,70,0.645,17,22,92
2020-04,86,39~174,良,50,100,0.687,19,27,120
2020-05,67,27~164,良,24,55,0.623,17,19,112
2020-06,90,38~202,良,23,49,0.68,17,23,146
2020-07,92,36~173,良,27,48,0.855,16,21,148
2020-08,57,21~130,良,19,33,0.806,11,17,101
2020-09,48,22~87,优,21,40,0.76,14,21,80
2020-10,72,29~147,良,47,85,1,17,35,74
2020-11,78,24~206,良,53,90,0.937,19,35,53
2020-12,83,38~137,良,59,97,1.094,19,39,44
2021-01,94,41~294,良,68,102,1.181,17,37,53
2021-02,87,38~178,良,62,91,0.954,16,28,75
2021-03,105,40~297,轻度污染,64,103,0.939,16,33,95
2021-04,69,44~111,良,36,69,0.663,13,25,112
2021-05,75,36~140,良,26,53,0.713,14,23,121
2021-06,69,32~157,良,22,38,0.66,12,21,119
2021-07,63,28~105,良,21,36,0.687,8,16,110
2021-08,56,19~104,良,21,38,0.819,12,19,100
2021-09,45,26~80,优,18,37,0.73,12,21,78
2021-10,59,27~114,良,34,63,0.761,14,29,69
2021-11,75,28~150,良,53,79,0.903,14,35,50
2021-12,68,30~117,良,47,74,0.897,15,31,49
2022-01,92,53~203,良,67,98,1.226,13,38,52
2022-02,73,43~143,良,51,81,1.05,11,30,75
2022-03,65,36~109,良,38,70,0.845,10,20,87
2022-04,71,45~104,良,36,75,0.757,10,18,117
2022-05,72,29~147,良,26,55,0.619,10,18,123
2022-06,59,26~108,良,21,35,0.593,7,18,105
2022-07,57,30~106,良,17,31,0.571,6,16,104
2022-08,55,21~102,良,17,33,0.652,8,19,100
2022-09,60,16~129,良,19,42,0.727,9,22,102
2022-10,53,25~114,良,31,53,0.839,10,25,75
2022-11,62,33~137,良,39,66,0.93,11,28,51
2022-12,69,37~117,良,44,77,1.161,10,30,50
2023-01,76,39~189,良,50,85,0.968,9,28,60
2023-02,76,40~134,良,53,84,0.893,11,30,75
2023-03,86,43~149,良,50,108,0.819,12,29,114
2023-04,112,51~347,轻度污染,49,131,0.63,10,24,123
2023-05,94,45~177,良,26,62,0.474,9,21,144
2023-06,94,53~156,良,21,38,0.623,9,22,151
2023-07,77,21~197,良,20,35,0.639,6,17,128
2023-08,52,27~131,良,15,26,0.542,6,14,96
2023-09,57,30~110,良,19,38,0.67,9,21,102
2023-10,61,28~149,良,39,59,0.713,10,27,86
2023-11,56,25~98,良,38,52,0.673,9,26,56
2023-12,74,30~132,良,51,74,0.952,10,34,32
2024-01,77,35~153,良,55,80,1.071,10,36,60
2024-02,93,41~393,良,66,92,0.852,11,24,88
2024-03,74,47~146,良,44,86,0.703,9,25,106
2024-04,91,41~204,良,51,96,0.66,9,22,128
2024-05,78,38~131,良,20,50,0.439,8,17,128
2024-06,87,37~173,良,17,38,0.507,9,21,140
2024-07,65,16~121,良,23,33,0.623,5,15,113
2024-08,61,24~108,良,16,31,0.571,6,15,109
2024-09,41,20~82,优,14,29,0.517,8,20,79
2024-10,59,27~115,良,37,60,0.69,9,28,80
2024-11,55,26~134,良,34,57,0.65,9,27,55
2024-12,64,32~84,良,41,74,0.861,8,35,50
2025-01,85,36~169,良,61,92,1.087,8,34,58
2025-02,79,37~139,良,54,83,1.011,8,31,78
2025-03,83,43~195,良,55,92,0.832,9,27,102
2025-04,72,45~83,良,46,76,0.822,9,25,116
