month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,78,45~346,良,35,94,1.457,11,25,85
2014-01,51,33~74,良,24,53,1.503,11,19,84
2014-02,63,41~172,良,23,76,1.086,9,15,93
2014-03,57,42~76,良,21,52,0.977,9,13,103
2014-04,75,63~92,良,29,77,1.177,12,15,127
2014-05,80,48~115,良,25,61,1.152,13,15,135
2014-06,71,43~106,良,21,50,0.733,11,16,124
2014-07,50,30~84,良,14,32,0.642,9,16,95
2014-08,54,35~83,良,15,37,0.665,8,19,100
2014-09,49,32~77,优,16,38,0.687,9,19,93
2014-10,60,51~75,良,23,55,0.894,9,28,108
2014-11,62,53~75,良,32,74,0.9,10,33,90
2014-12,64,47~95,良,38,77,1.516,12,35,84
2015-01,53,43~69,良,24,53,1.039,10,22,85
2015-02,45,36~63,优,22,42,0.686,9,20,78
2015-03,57,37~85,良,18,49,0.584,11,14,104
2015-04,76,53~96,良,22,50,0.573,10,16,131
2015-05,80,58~102,良,24,59,0.561,10,17,134
2015-06,67,37~108,良,19,45,0.5,9,14,118
2015-07,80,45~128,良,24,55,0.468,9,20,133
2015-08,58,37~85,良,20,45,0.532,8,21,108
2015-09,53,43~71,良,18,46,0.627,11,18,94
2015-10,62,48~78,良,29,72,0.587,10,25,99
2015-11,67,48~82,良,36,83,0.793,10,29,86
2015-12,72,50~134,良,40,90,0.742,9,26,85
2016-01,57,41~104,良,28,61,0.629,8,21,88
2016-02,60,44~108,良,21,65,0.486,7,14,93
2016-03,65,47~98,良,25,75,0.532,10,20,106
2016-04,85,51~140,良,32,95,0.473,9,23,134
2016-05,97,82~120,良,26,67,0.477,9,18,155
2016-06,84,51~122,良,19,46,0.483,9,18,140
2016-07,53,31~100,良,16,45,0.429,8,18,95
2016-08,61,46~76,良,19,63,0.439,6,21,102
2016-09,54,43~72,良,17,48,0.43,5,21,99
2016-10,65,40~102,良,23,80,0.397,5,27,89
2016-11,97,73~122,良,48,144,0.827,8,44,74
2016-12,104,52~154,轻度污染,56,157,0.965,8,45,65
2017-01,57,42~91,良,28,70,0.713,7,25,80
2017-02,63,40~167,良,24,68,0.779,7,19,93
2017-03,61,49~96,良,21,68,0.768,7,19,100
2017-04,76,54~109,良,22,82,0.607,7,21,123
2017-05,72,51~87,良,19,55,0.561,9,18,127
2017-06,68,39~92,良,13,39,0.577,8,16,122
2017-07,47,29~76,优,10,28,0.548,8,17,91
2017-08,46,32~85,优,10,26,0.558,9,18,91
2017-09,45,30~75,优,12,36,0.627,9,21,87
2017-10,48,36~61,优,14,41,0.713,8,24,92
2017-11,53,42~67,良,25,55,0.833,7,34,89
2017-12,70,38~155,良,41,84,1.294,8,39,53
2018-01,50,0~70,良,20,49,0.8,6,26,88
2018-02,50,42~63,优,12,34,0.604,6,11,93
2018-03,53,38~75,良,10,30,0.555,6,14,102
2018-04,67,51~89,良,12,38,0.51,7,18,120
2018-05,74,52~111,良,13,37,0.406,8,17,128
2018-06,69,39~101,良,9,29,0.393,8,16,122
2018-07,45,30~65,优,7,20,0.303,6,16,87
2018-08,38,28~51,优,7,20,0.345,6,16,76
2018-09,44,33~54,优,9,28,0.35,7,19,86
2018-10,49,38~57,优,11,32,0.365,5,20,96
2018-11,49,40~59,优,18,49,0.583,5,28,78
2018-12,47,36~58,优,21,45,0.729,6,29,77
2019-01,44,36~63,优,14,34,0.671,6,21,84
2019-02,45,32~75,优,11,34,0.586,5,13,86
2019-03,51,41~62,良,14,37,0.487,4,15,98
2019-04,64,44~93,良,11,34,0.433,5,15,116
2019-05,76,45~100,良,14,33,0.368,6,14,131
2019-06,64,43~90,良,12,26,0.393,6,12,116
2019-07,55,32~96,良,8,20,0.416,8,16,102
2019-08,50,37~66,优,7,20,0.4,8,18,96
2019-09,45,29~62,优,7,21,0.453,8,19,88
2019-10,47,39~60,优,10,28,0.477,7,20,93
2019-11,44,34~54,优,15,40,0.7,6,29,76
2019-12,45,35~61,优,18,43,0.826,6,30,68
2020-01,44,33~61,优,16,35,0.781,6,20,80
2020-02,45,40~52,优,10,20,0.624,6,9,90
2020-03,53,43~70,良,8,25,0.458,6,10,102
2020-04,56,43~67,良,10,32,0.443,6,15,106
2020-05,68,53~90,良,10,26,0.416,6,16,121
2020-06,57,33~91,良,10,22,0.437,7,15,105
2020-07,46,32~82,优,7,18,0.458,8,16,90
2020-08,48,23~88,优,8,22,0.416,8,19,91
2020-09,48,31~65,优,9,22,0.417,8,20,92
2020-10,45,32~57,优,14,36,0.561,7,26,83
2020-11,49,38~66,优,16,40,0.72,6,29,82
2020-12,45,36~65,优,19,43,0.929,5,31,72
2021-01,42,31~54,优,15,34,0.758,5,21,79
2021-02,46,37~79,优,11,26,0.55,5,11,88
2021-03,57,44~84,良,12,34,0.59,7,13,106
2021-04,63,48~78,良,12,35,0.543,5,13,115
2021-05,63,33~91,良,8,21,0.468,6,12,114
2021-06,53,34~80,良,8,19,0.353,6,10,100
2021-07,54,33~100,良,6,13,0.355,7,12,102
2021-08,41,28~55,优,6,13,0.358,7,13,81
2021-09,42,29~59,优,6,16,0.32,7,15,83
2021-10,44,24~57,优,7,20,0.377,6,19,86
2021-11,41,35~50,优,11,28,0.56,7,25,81
2021-12,41,34~59,优,14,30,0.719,6,26,75
2022-01,41,35~49,优,12,24,0.687,6,18,79
2022-02,42,35~50,优,9,22,0.468,6,10,83
