month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,156,156~156,中度污染,119,164,1.8,43,63,146
2014-01,132,62~233,轻度污染,100,126,1.768,31,37,139
2014-02,76,22~147,良,54,63,2.179,19,23,95
2014-03,98,55~196,良,71,89,1.432,28,28,94
2014-04,95,63~132,良,62,79,1.653,28,21,130
2014-05,68,38~115,良,44,60,1.239,26,26,104
2014-06,61,35~138,良,32,50,1.06,21,19,103
2014-07,52,30~93,良,29,47,1.006,19,15,93
2014-08,56,35~98,良,30,49,1.032,21,13,98
2014-09,64,32~104,良,34,52,0.943,20,11,112
2014-10,100,60~133,轻度污染,57,82,1.003,26,17,156
2014-11,68,24~115,良,42,55,1.167,23,24,112
2014-12,66,24~106,良,47,58,1.139,29,38,93
2015-01,79,27~131,良,57,76,1.329,26,41,97
2015-02,77,37~134,良,56,75,1.196,13,21,98
2015-03,61,31~90,良,39,62,1.071,16,24,93
2015-04,64,27~110,良,39,58,1.013,18,19,95
2015-05,52,25~104,良,31,44,1.113,15,19,83
2015-06,41,25~55,优,23,39,0.95,14,15,69
2015-07,51,26~83,良,29,46,1.094,15,15,83
2015-08,58,33~118,良,34,53,1.087,18,18,96
2015-09,71,35~125,良,37,55,1.1,16,16,120
2015-10,75,38~140,良,48,72,0.929,20,20,116
2015-11,66,39~114,良,44,68,0.943,18,23,104
2015-12,51,27~84,良,34,51,0.968,17,25,64
2016-01,65,22~120,良,45,62,0.971,14,30,59
2016-02,61,23~119,良,44,62,0.866,6,18,72
2016-03,79,28~155,良,57,81,1.116,16,36,83
2016-04,66,43~118,良,44,68,1.057,12,26,80
2016-05,58,26~97,良,32,52,0.787,11,16,92
2016-06,44,22~75,优,24,41,0.75,15,19,70
2016-07,56,36~115,良,30,50,0.755,19,18,83
2016-08,56,25~113,良,33,52,0.813,16,19,88
2016-09,59,34~103,良,33,53,0.907,15,22,95
2016-10,54,20~87,良,34,57,1.097,18,23,76
2016-11,66,28~122,良,45,73,1.21,21,32,79
2016-12,73,36~133,良,51,85,1.194,17,39,92
2017-01,65,30~95,良,46,69,1.129,11,27,94
2017-02,65,31~101,良,44,63,1.029,12,26,100
2017-03,71,37~95,良,46,75,1.255,15,39,93
2017-04,67,27~128,良,35,56,1.087,16,30,107
2017-05,65,35~144,良,29,48,1.045,14,22,111
2017-06,38,23~64,优,18,33,0.963,11,17,68
2017-07,43,18~108,优,17,32,0.894,14,17,80
2017-08,57,22~154,良,20,37,0.874,13,16,102
2017-09,72,33~141,良,27,49,0.95,15,18,124
2017-10,73,25~137,良,33,56,0.942,16,21,120
2017-11,68,34~121,良,41,61,1.003,17,29,104
2017-12,76,32~142,良,53,80,1.048,21,37,62
2018-01,63,25~109,良,43,58,0.865,15,32,82
2018-02,69,32~99,良,48,62,0.932,10,19,93
2018-03,79,20~166,良,47,65,0.929,13,27,115
2018-04,73,23~118,良,41,69,0.82,12,22,114
2018-05,67,26~137,良,25,47,0.794,10,16,115
2018-06,52,25~110,良,20,35,0.823,8,16,91
2018-07,45,26~81,优,18,37,0.781,8,16,81
2018-08,49,27~76,优,18,33,0.913,8,18,91
2018-09,54,29~107,良,24,42,0.853,9,17,96
2018-10,77,30~117,良,35,58,0.9,13,24,128
2018-11,56,29~84,良,35,52,0.92,13,26,90
