month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,92,92~92,良,64,133,3.1,49,52,46
2014-01,101,72~131,轻度污染,74,144,3.29,61,45,50
2014-02,70,53~104,良,41,88,2.679,49,34,61
2014-03,75,48~104,良,46,100,1.606,44,37,77
2014-04,78,47~126,良,52,99,1.52,35,32,96
2014-05,60,48~81,良,34,71,1.477,35,23,90
2014-06,57,36~81,良,29,65,1.313,53,26,79
2014-07,62,36~79,良,33,74,1.548,62,26,89
2014-08,60,34~96,良,32,72,1.484,58,26,71
2014-09,47,22~57,优,20,48,1.073,33,25,64
2014-10,48,36~64,优,24,50,1.406,30,29,71
2014-11,55,27~68,良,31,62,1.663,34,36,59
2014-12,77,55~97,良,49,104,1.681,69,44,50
2015-01,73,39~98,良,47,93,2.242,49,43,44
2015-02,62,42~101,良,37,72,1.9,39,39,82
2015-03,62,45~100,良,36,70,1.697,34,34,107
2015-04,57,41~78,良,26,52,1.427,38,28,104
2015-05,65,45~86,良,27,57,1.577,32,28,117
2015-06,49,27~66,优,17,41,1.363,22,20,92
2015-07,59,32~113,良,27,53,1.397,25,26,101
2015-08,47,32~66,优,24,48,1.445,27,27,74
2015-09,51,28~64,良,25,54,1.35,35,25,64
2015-10,58,33~85,良,33,66,1.716,31,32,72
2015-11,66,44~97,良,37,80,2.113,34,38,49
2015-12,67,38~101,良,41,83,1.91,32,39,44
2016-01,70,49~88,良,44,88,1.981,38,42,55
2016-02,58,41~95,良,34,65,1.479,33,29,79
2016-03,61,41~97,良,34,69,1.277,31,31,101
2016-04,60,45~71,良,30,68,1.363,35,29,100
2016-05,56,38~82,良,27,54,1.497,31,28,97
2016-06,46,30~69,优,18,38,1.407,31,27,72
2016-07,52,34~71,良,21,46,1.335,42,28,73
2016-08,62,37~93,良,27,55,1.442,45,33,105
2016-09,56,35~76,良,30,62,1.527,40,33,59
2016-10,64,50~86,良,35,77,1.594,47,37,69
2016-11,65,41~80,良,36,79,1.563,47,45,58
2016-12,67,52~77,良,39,81,1.69,39,48,46
2017-01,70,45~96,良,47,85,2.116,55,47,60
2017-02,69,55~83,良,43,89,1.636,47,41,76
2017-03,59,35~78,良,36,66,1.219,29,32,96
2017-04,64,33~113,良,37,69,1.45,32,31,104
2017-05,66,41~91,良,32,66,1.494,30,26,114
2017-06,56,39~93,良,22,45,1.38,26,23,98
2017-07,57,33~90,良,28,53,1.542,31,28,90
2017-08,51,32~91,良,21,43,1.345,18,27,90
2017-09,48,30~69,优,24,48,1.59,28,30,73
2017-10,54,39~75,良,29,56,1.665,44,35,60
2017-11,68,40~92,良,43,83,2.157,47,51,60
2017-12,78,53~117,良,49,97,2.316,41,55,38
2018-01,66,40~110,良,40,76,2.203,50,46,60
2018-02,55,45~70,良,33,55,1.661,35,34,82
2018-03,64,48~85,良,34,58,1.519,35,36,116
2018-04,70,38~98,良,29,52,1.243,30,33,123
2018-05,61,38~85,良,23,41,1.032,27,28,106
2018-06,50,33~85,良,21,43,1.103,39,30,82
2018-07,52,32~101,良,24,42,1.265,39,27,90
2018-08,63,32~104,良,28,48,1.271,37,30,111
2018-09,48,32~73,优,27,44,1.25,37,29,70
2018-10,51,33~72,良,28,50,1.413,44,34,60
2018-11,60,45~69,良,33,57,1.66,31,48,69
2018-12,61,44~84,良,29,53,1.819,34,48,55
2019-01,65,39~112,良,41,69,1.884,38,50,67
2019-02,48,40~60,优,22,40,1.175,31,34,84
2019-03,58,42~77,良,31,57,0.968,28,38,104
2019-04,74,52~98,良,28,55,1.017,24,36,127
2019-05,81,55~99,良,27,54,0.832,20,27,137
2019-06,54,34~98,良,16,33,0.83,21,25,100
2019-07,52,34~118,良,26,47,1.29,31,29,82
2019-08,78,43~133,良,37,60,1.429,35,35,127
2019-09,49,35~70,优,28,48,1.14,30,30,75
2019-10,49,33~66,优,27,48,1.323,32,34,75
2019-11,56,45~75,良,30,58,1.563,34,42,68
2019-12,65,35~83,良,40,69,1.939,41,50,57
2020-01,59,36~92,良,37,58,1.803,29,43,66
2020-02,53,40~75,良,33,48,1.517,31,31,87
2020-03,60,44~84,良,28,49,1.077,21,33,109
2020-04,70,35~98,良,32,54,1.06,19,31,120
2020-05,68,35~96,良,20,37,0.926,17,26,117
2020-06,49,32~74,优,15,29,0.817,20,20,95
2020-07,42,25~91,优,18,32,0.997,24,26,70
2020-08,52,25~112,良,24,39,1.142,26,29,85
2020-09,48,32~72,优,29,47,1.39,31,32,69
2020-10,45,29~70,优,26,44,1.148,32,28,58
2020-11,64,33~98,良,41,63,1.87,28,43,58
2020-12,77,53~180,良,53,81,2.048,31,46,65
2021-01,83,40~147,良,60,85,1.939,30,45,78
2021-02,57,48~73,良,37,54,1.557,35,35,94
2021-03,70,52~100,良,46,69,1.403,25,34,118
2021-04,77,63~107,良,36,56,1.067,21,29,129
2021-05,71,49~95,良,20,33,0.755,17,21,124
2021-06,54,35~105,良,20,32,0.853,26,21,101
2021-07,52,31~96,良,20,32,1.071,17,22,97
2021-08,52,26~130,良,22,34,1.016,17,22,88
2021-09,44,28~70,优,21,32,1.083,15,23,85
2021-10,41,24~67,优,22,34,1.116,17,25,67
2021-11,48,32~63,优,29,47,1.177,20,35,68
2021-12,57,44~79,良,38,58,1.552,26,41,64
2022-01,62,35~107,良,43,61,1.703,22,41,74
2022-02,48,34~69,优,30,42,1.411,23,30,82
2022-03,64,45~93,良,37,58,1.432,21,36,113
2022-04,61,34~91,良,28,49,1.12,17,27,107
2022-05,54,28~85,良,21,35,1.081,15,23,99
2022-06,44,28~70,优,17,29,1.097,14,21,83
2022-07,57,33~107,良,19,33,1.094,19,23,101
2022-08,58,32~95,良,19,38,1.155,17,23,104
2022-09,46,25~91,优,24,41,1.24,30,23,77
2022-10,46,28~73,优,27,43,1.245,24,26,67
2022-11,54,45~63,良,27,53,1.677,21,40,92
2022-12,62,38~83,良,40,66,1.723,26,38,74
2023-01,68,46~103,良,47,73,1.619,21,35,92
2023-02,66,45~94,良,43,70,1.539,22,35,106
2023-03,71,48~89,良,30,51,1.061,15,27,124
2023-04,87,63~136,良,28,50,0.95,15,21,143
2023-05,75,46~95,良,20,36,0.806,13,17,130
2023-06,59,39~119,良,19,34,0.987,13,18,108
2023-07,48,27~100,优,15,31,0.977,18,18,91
2023-08,61,30~97,良,20,37,1.177,19,21,108
2023-09,56,31~104,良,22,40,1.127,17,23,100
2023-10,44,27~66,优,22,38,1.074,19,24,75
2023-11,54,39~69,良,32,55,1.347,29,36,82
2023-12,54,37~85,良,31,55,1.552,26,38,37
2024-01,61,45~90,良,41,66,1.542,23,41,89
2024-02,50,46~59,优,24,40,1.014,18,21,97
2024-03,65,47~80,良,25,45,0.945,17,23,117
2024-04,84,65~105,良,27,49,0.913,20,21,140
2024-05,77,27~113,良,20,38,0.771,20,19,131
2024-06,56,33~83,良,18,36,0.803,22,20,101
2024-07,44,27~90,优,16,34,0.855,17,19,80
2024-08,76,37~130,良,23,44,0.977,19,21,129
2024-09,59,35~100,良,21,38,1.007,16,22,107
